idx,S_rank,z1,z2,D_pw_mm,alpha,D_we_mm,L_we_mm,slenderness,Z,bore_mm,D_mm,T_mm,B_mm,C_mm,t_i_mm,t_o_mm,c12_margin,L_eff_m,S_index,mass_brg_kg,mass_shaft_kg,mass_total_kg,Myz_max_UW,Myz_max_DW,sigma_max_MPa,governing,feasible,t_s,warn
0.50_3.50_3900_27_170_325,3094,0.5,3.5,3900.0,27.0,170.0,325.0,1.912,66,3473.0,4318.0,423.2345,409.58125000000007,345.41325,64.11,59.46,1.749,4.96295,106.974,13759.7,63846.2,91365.6,2489.0,2154.8,2489.0,Myz_max/UW,0,0.32,
1.00_4.00_3900_27_170_325,3095,1.0,4.0,3900.0,27.0,170.0,325.0,1.912,66,3473.0,4318.0,423.2345,409.58125000000007,345.41325,64.11,59.46,1.749,4.96295,106.974,13759.7,71827.0,99346.4,2504.0,2166.1,2504.0,Myz_max/UW,0,0.28,
0.70_4.50_3900_23_230_400,3096,0.7,4.5,3900.0,23.0,230.0,400.0,1.739,49,3374.0,4414.0,520.904,504.1000000000001,425.1240000000001,78.9,73.19,1.591,5.43623,106.927,20559.6,75322.7,116441.8,2226.5,1894.1,2226.5,Myz_max/UW,0,0.26,
0.30_3.00_4200_15_140_325,3097,0.3,3.0,4200.0,15.0,140.0,325.0,2.321,86,3852.0,4538.0,423.2345,409.58125000000007,345.41325,64.11,59.46,2.124,3.79877,106.92,12093.4,68723.7,92910.4,2555.1,2298.1,2555.1,Myz_max/UW,0,0.35,
0.30_4.00_4200_23_200_325,3098,0.3,4.0,4200.0,23.0,200.0,325.0,1.625,60,3761.0,4630.0,423.2345,409.58125000000007,345.41325,64.11,59.46,1.487,5.45884,106.914,14890.6,84233.5,114014.7,2290.4,1982.0,2290.4,Myz_max/UW,0,0.27,
0.30_5.00_3600_19_230_400,3099,0.3,5.0,3600.0,19.0,230.0,400.0,1.739,45,3095.0,4094.0000000000005,520.904,504.1000000000001,425.1240000000001,78.9,73.19,1.591,5.91967,106.912,18131.7,69718.8,105982.1,2280.8,1864.6,2280.8,Myz_max/UW,0,0.23,
0.50_3.50_4200_27_230_400,3100,0.5,3.5,4200.0,27.0,230.0,400.0,1.739,52,3656.0,4733.0,520.904,504.1000000000001,425.1240000000001,78.9,73.19,1.591,5.12144,106.912,22893.0,70751.9,116537.9,2198.9,1913.1,2198.9,Myz_max/UW,0,0.26,
1.00_4.00_4200_27_230_400,3101,1.0,4.0,4200.0,27.0,230.0,400.0,1.739,52,3656.0,4733.0,520.904,504.1000000000001,425.1240000000001,78.9,73.19,1.591,5.12144,106.912,22893.0,79595.9,125381.9,2211.5,1923.0,2211.5,Myz_max/UW,0,0.26,
0.70_3.50_3600_23_200_475,3102,0.7,3.5,3600.0,23.0,200.0,475.0,2.375,52,3043.0,4144.0,618.5735,598.61875,504.83475,93.7,86.91,2.173,4.31107,106.904,24663.0,49015.1,98341.1,2407.9,2034.5,2407.9,Myz_max/UW,0,0.3,
0.70_5.00_3900_15_140_250,3103,0.7,5.0,3900.0,15.0,140.0,250.0,1.786,80,3601.0,4191.0,325.565,315.0625,265.7025,49.31,45.74,1.634,5.31532,106.9,7256.6,94378.9,108892.0,2617.3,2259.6,2617.3,Myz_max/UW,0,0.34,
0.30_4.00_3300_19_140_325,3104,0.3,4.0,3300.0,19.0,140.0,325.0,2.321,68,2934.0,3657.0,423.2345,409.58125000000007,345.41325,64.11,59.46,2.124,4.81042,106.882,10095.7,51262.4,71453.8,2806.7,2284.8,2806.7,Myz_max/UW,0,0.28,
0.50_4.50_3900_27_110_175,3105,0.5,4.5,3900.0,27.0,110.0,175.0,1.591,102,3654.0,4141.0,227.89549999999997,220.54375000000002,185.99175,34.52,32.02,1.455,5.95456,106.871,4204.8,88343.2,96752.7,2977.0,2534.8,2977.0,Myz_max/UW,0,0.36,
1.00_5.00_3900_27_110_175,3106,1.0,5.0,3900.0,27.0,110.0,175.0,1.591,102,3654.0,4141.0,227.89549999999997,220.54375000000002,185.99175,34.52,32.02,1.455,5.95456,106.871,4204.8,97177.5,105587.0,2995.0,2548.3,2995.0,Myz_max/UW,0,0.31,
0.50_3.50_3900_31_140_250,3107,0.5,3.5,3900.0,31.0,140.0,250.0,1.786,80,3553.0,4240.0,325.565,315.0625,265.7025,49.31,45.74,1.634,5.3153,106.867,8560.6,66821.5,83942.7,2725.2,2350.4,2725.2,Myz_max/UW,0,0.35,
1.00_4.00_3900_31_140_250,3108,1.0,4.0,3900.0,31.0,140.0,250.0,1.786,80,3553.0,4240.0,325.565,315.0625,265.7025,49.31,45.74,1.634,5.3153,106.867,8560.6,75174.2,92295.4,2741.4,2362.9,2741.4,Myz_max/UW,0,0.38,
0.50_4.50_3900_19_140_250,3109,0.5,4.5,3900.0,19.0,140.0,250.0,1.786,80,3588.0,4205.0,325.565,315.0625,265.7025,49.31,45.74,1.634,5.31357,106.858,7634.1,85180.6,100448.8,2632.4,2269.5,2632.4,Myz_max/UW,0,0.35,
