rank_mass,S_rank,z1,z2,D_pw_mm,alpha,D_we_mm,L_we_mm,slenderness,Z,bore_mm,D_mm,T_mm,t_i_mm,t_o_mm,c12_margin,L_eff_m,mass_brg_kg,mass_shaft_kg,mass_total_kg,Myz_max_UW,Myz_max_DW,sigma_max_MPa
321,792,1.0,4.5,4200.0,31.0,230.0,475.0,2.065,52,3571.0,4816.0,618.5735,93.7,86.91,1.889,6.00931,32126.3,84375.3,148628.0,2009.8,1686.9,2009.8
322,353,0.5,5.0,3900.0,23.0,230.0,550.0,2.391,49,3256.0,4528.0,716.243,108.49,100.63,2.188,6.14253,35750.1,77160.9,148661.1,1961.5,1566.9,1961.5
323,466,0.7,5.0,3900.0,23.0,230.0,550.0,2.391,49,3256.0,4528.0,716.243,108.49,100.63,2.188,5.94253,35750.1,77160.9,148661.1,1981.0,1593.6,1981.0
324,665,1.0,5.0,3900.0,23.0,230.0,550.0,2.391,49,3256.0,4528.0,716.243,108.49,100.63,2.188,5.64253,35750.1,77160.9,148661.1,2012.6,1636.9,2012.6
325,523,0.5,3.5,4200.0,31.0,230.0,550.0,2.391,52,3503.0,4882.0,716.243,108.49,100.63,2.188,5.51246,41907.6,64954.0,148769.2,1948.1,1645.3,1948.1
326,668,0.7,3.5,4200.0,31.0,230.0,550.0,2.391,52,3503.0,4882.0,716.243,108.49,100.63,2.188,5.31246,41907.6,64954.0,148769.2,1971.5,1677.4,1971.5
327,967,1.0,3.5,4200.0,31.0,230.0,550.0,2.391,52,3503.0,4882.0,716.243,108.49,100.63,2.188,5.01246,41907.6,64954.0,148769.2,2009.6,1729.0,2009.6
328,388,0.3,4.5,4500.0,15.0,170.0,400.0,2.353,76,4074.0,4914.0,520.904,78.9,73.19,2.153,5.38275,19533.2,109819.1,148885.5,2017.9,1741.2,2017.9
329,515,0.5,4.5,4500.0,15.0,170.0,400.0,2.353,76,4074.0,4914.0,520.904,78.9,73.19,2.153,5.18275,19533.2,109819.1,148885.5,2047.1,1775.8,2047.1
330,675,0.7,4.5,4500.0,15.0,170.0,400.0,2.353,76,4074.0,4914.0,520.904,78.9,73.19,2.153,4.98275,19533.2,109819.1,148885.5,2078.4,1812.4,2078.4
331,1049,0.5,4.0,4200.0,19.0,230.0,550.0,2.391,52,3586.0,4798.0,716.243,108.49,100.63,2.188,4.93192,36369.2,76577.1,149315.4,1965.4,1679.1,1965.4
332,1315,0.7,4.0,4200.0,19.0,230.0,550.0,2.391,52,3586.0,4798.0,716.243,108.49,100.63,2.188,4.73192,36369.2,76577.1,149315.4,1995.0,1716.3,1995.0
333,1765,1.0,4.0,4200.0,19.0,230.0,550.0,2.391,52,3586.0,4798.0,716.243,108.49,100.63,2.188,4.43192,36369.2,76577.1,149315.4,2043.5,1776.8,2043.5
334,1093,0.3,4.5,4500.0,15.0,200.0,400.0,2.0,65,4045.0,4943.0,520.904,78.9,73.19,1.83,5.38338,20582.8,108261.2,149426.7,2012.7,1745.1,2012.7
335,1332,0.5,4.5,4500.0,15.0,200.0,400.0,2.0,65,4045.0,4943.0,520.904,78.9,73.19,1.83,5.18338,20582.8,108261.2,149426.7,2042.0,1779.5,2042.0
336,1590,0.7,4.5,4500.0,15.0,200.0,400.0,2.0,65,4045.0,4943.0,520.904,78.9,73.19,1.83,4.98338,20582.8,108261.2,149426.7,2073.1,1815.9,2073.1
337,2127,0.3,4.5,4500.0,15.0,230.0,400.0,1.739,56,4017.0000000000005,4972.0,520.904,78.9,73.19,1.591,5.38409,21522.9,106767.6,149813.3,2022.2,1759.9,2022.2
338,2423,0.5,4.5,4500.0,15.0,230.0,400.0,1.739,56,4017.0000000000005,4972.0,520.904,78.9,73.19,1.591,5.18409,21522.9,106767.6,149813.3,2051.5,1794.3,2051.5
339,2725,0.7,4.5,4500.0,15.0,230.0,400.0,1.739,56,4017.0000000000005,4972.0,520.904,78.9,73.19,1.591,4.98409,21522.9,106767.6,149813.3,2083.1,1831.0,2083.1
340,901,0.5,4.0,4500.0,15.0,200.0,475.0,2.375,65,3996.0,4990.0,618.5735,93.7,86.91,2.173,4.68653,27478.0,95088.8,150044.8,1988.1,1742.1,1988.1
341,1152,0.7,4.0,4500.0,15.0,200.0,475.0,2.375,65,3996.0,4990.0,618.5735,93.7,86.91,2.173,4.48653,27478.0,95088.8,150044.8,2021.9,1781.9,2021.9
342,1609,1.0,4.0,4500.0,15.0,200.0,475.0,2.375,65,3996.0,4990.0,618.5735,93.7,86.91,2.173,4.18653,27478.0,95088.8,150044.8,2077.5,1847.7,2077.5
343,221,0.3,4.5,4500.0,19.0,170.0,400.0,2.353,76,4051.0,4937.0,520.904,78.9,73.19,2.153,5.72693,20766.2,108582.6,150115.1,1993.2,1701.5,1993.2
344,311,0.5,4.5,4500.0,19.0,170.0,400.0,2.353,76,4051.0,4937.0,520.904,78.9,73.19,2.153,5.52693,20766.2,108582.6,150115.1,2019.5,1732.9,2019.5
345,417,0.7,4.5,4500.0,19.0,170.0,400.0,2.353,76,4051.0,4937.0,520.904,78.9,73.19,2.153,5.32693,20766.2,108582.6,150115.1,2047.3,1766.5,2047.3
346,648,1.0,4.5,4500.0,19.0,170.0,400.0,2.353,76,4051.0,4937.0,520.904,78.9,73.19,2.153,5.02693,20766.2,108582.6,150115.1,2092.3,1820.5,2092.3
347,472,0.5,5.0,4200.0,15.0,200.0,475.0,2.375,60,3696.0,4690.0,618.5735,93.7,86.91,2.173,5.6063,25575.6,99424.3,150575.5,1971.3,1657.2,1971.3
348,614,0.7,5.0,4200.0,15.0,200.0,475.0,2.375,60,3696.0,4690.0,618.5735,93.7,86.91,2.173,5.4063,25575.6,99424.3,150575.5,1997.3,1688.8,1997.3
349,876,1.0,5.0,4200.0,15.0,200.0,475.0,2.375,60,3696.0,4690.0,618.5735,93.7,86.91,2.173,5.1063,25575.6,99424.3,150575.5,2039.6,1740.3,2039.6
350,761,0.3,4.5,4500.0,19.0,200.0,400.0,2.0,65,4022.9999999999995,4966.0,520.904,78.9,73.19,1.83,5.72773,21766.6,107086.8,150620.0,1988.0,1706.0,1988.0
