bin,UW_RX_pin_kN,UW_RX_masta_kN,UW_RX_err_pct,UW_RY_pin_kN,UW_RY_masta_kN,UW_RY_err_pct,UW_RZ_pin_kN,UW_RZ_masta_kN,UW_RZ_err_pct,UW_Fr_pin_kN,UW_Fr_masta_kN,UW_Fr_err_pct,DW_RX_pin_kN,DW_RX_masta_kN,DW_RX_err_pct,DW_RY_pin_kN,DW_RY_masta_kN,DW_RY_err_pct,DW_RZ_pin_kN,DW_RZ_masta_kN,DW_RZ_err_pct,DW_Fr_pin_kN,DW_Fr_masta_kN,DW_Fr_err_pct
16,12207.913346769143,11271.650603002347,8.30634994592017,-2171.7239661535573,-1504.792828610732,44.32046224984707,7140.488332839054,6397.454044513472,11.614531079950737,12399.577947147634,11371.653739593088,9.039355498273617,-6810.5100807875115,-5874.247336722703,15.938429051357557,2141.0820203803537,1474.1508827935215,45.241714764162744,-3072.7111936209863,-2329.676905236677,31.894306318361448,7139.137187258999,6056.3935306611875,17.87769653864627
17,9793.150891713452,9612.052628394482,1.8840748206475237,-4821.130551694642,-3324.925583711268,44.99965278360655,6607.590115014223,5857.563300400448,12.804416719875642,10915.544154294437,10170.874390544945,7.32159040762269,-4346.152262773365,-4165.053999331997,4.348041189151763,4855.58896337202,3359.383995364098,44.53807513736635,-2804.7592339961657,-2054.732419382147,36.50240817437192,6516.577604266691,5350.993893255712,21.782564776985794
18,7683.902019128479,8151.697728181427,-5.73862923591635,440.21504636156334,296.95693101717427,48.242051415901734,4300.334289533481,4351.834647587534,-1.1834171613712983,7696.5017720136875,8157.104833856029,-5.646648795423224,-2262.387211540164,-2730.1829202738422,-17.134225888672603,-486.65472257550283,-343.39660722942114,41.717976337014825,-996.0130456646639,-1047.5134037537998,-4.916439055059599,2314.13671029728,2751.6940251437263,-15.901379690047182
19,10438.603457443704,10055.117679606337,3.8138367949203307,-1956.5301087045334,-1356.1868725741983,44.26699950212723,6003.567858856421,5540.956636129886,8.348941403187892,10620.379099072828,10146.163530323889,4.673841174860324,-5011.0518556778725,-4627.566077462987,8.286986545314287,1927.6030890080933,1327.2598528789588,45.23177845144117,-2310.8429113682723,-1848.2316886522592,25.029936752861953,5369.012420273043,4814.144422257235,11.525786294455283
20,11356.25942325648,10688.33628810829,6.249084208655681,-2724.593422953393,-1878.9975189745046,45.00250242163104,6468.097960766289,5811.5766723785355,11.296784425267782,11678.528906018193,10852.242362019237,7.613970610265771,-5932.427002782525,-5264.503867231582,12.687294992950218,2745.626841654509,1900.0309376759094,44.50432291449529,-2813.542126499537,-2157.020838111298,30.4364833565119,6536.983776709024,5596.884716717138,16.796827299013987
21,10973.247881601585,10428.518596619579,5.22345796227071,-6086.013594636088,-4196.7431658934665,45.0175375061439,7480.658600514025,6448.709875784054,16.002405823916888,12547.977149531669,11241.292333202347,11.623973272805038,-5515.246290045963,-4970.517004895224,10.959207756743645,6130.221458580638,4240.95102983959,44.54827267393623,-3549.13622595895,-2517.1875012053856,40.9961007775306,8246.063107393024,6533.8889593755775,26.204518605425953
22,12113.52347288674,11213.906253188197,8.02233583362421,-5877.496032148416,-4048.8695068384254,45.16387900922695,7595.016586346218,6490.15639123262,17.023629763469565,13464.115661123027,11922.459382975452,12.930690125469985,-6670.594075348246,-5770.9768552476235,15.588647167811635,5948.419553900897,4119.793028592883,44.38636874757228,-3846.772104521194,-2741.9119094069993,40.295247681868304,8937.590307644543,7090.618341318779,26.048108605183316
23,10906.554599404442,10381.28248706639,5.059799817531869,-6418.409505114608,-4423.692038434639,45.091689234900194,7254.9008575619155,6184.271449927788,17.312134764825505,12654.995606681803,11284.506073691544,12.144878331763142,-5458.836308133314,-4933.564195394218,10.646909454010325,6483.733144809454,4489.015678131907,44.43552016079488,-3647.977847172285,-2577.3484395375926,41.53995599550273,8475.711730120087,6670.181214074311,27.068687612804936
24,10039.647097310743,9785.122557286828,2.601137988142756,-8405.976759114792,-5793.19083492865,45.10098145624652,8350.542220455673,7009.983937680597,19.123557124991482,13094.081071740698,11371.441575764473,15.148822464581988,-4568.09120066594,-4313.566660708475,5.900558864103904,8481.156939030447,5868.371015076187,44.52318909697187,-4146.141378186848,-2805.5830952933693,47.78180639676621,9633.144878079322,7283.174837044761,32.2657370393169
25,13359.207398861185,12069.664333603781,10.684166764001215,-7408.85122439026,-5101.217443749549,45.236922481479844,8897.00015702768,7458.733019239129,19.282995303339998,15276.108758153578,13103.404768772194,16.581217078475163,-7938.737189577578,-6649.194124145011,19.393975290176723,7506.55873828728,5198.9249576352095,44.386749173269926,-4702.4826257116065,-3264.215487884782,44.061647987548305,10925.748132578346,8440.41487224928,29.445629130156174
26,12943.432542594568,11784.90740799426,9.830583257823692,-6358.120768480964,-4375.879835938333,45.29925424969019,8220.265963602022,6962.571634241348,18.063646529328878,14420.753991774669,12571.09251233041,14.713609637587277,-7511.4490885838495,-6352.9239526478505,18.236093247316994,6457.588133842333,4475.347200915125,44.29245025999051,-4263.437503205144,-3005.743173279023,41.84304038704938,9905.670694946832,7770.995773828836,27.469773285775734
27,14673.565298188001,12977.245197308208,13.071496107907782,-4166.433531963391,-2864.482116328635,45.45154630965014,8227.452301887612,6991.923144668337,17.670805751939973,15253.612258624382,13289.625679673058,14.778343847225967,-9258.167100524131,-7561.846999363928,22.432616016998104,4251.93700679941,2949.985591186653,44.13416185836477,-4384.895680945763,-3149.3665237814284,39.231037347816894,10187.866625109385,8116.892572283935,25.514370608981945
28,9571.6543223649,9453.844276598296,1.2461602108067924,-3582.2684854382683,-2466.55490166652,45.23368131874622,6416.478622291278,5860.515061578295,9.486598957110374,10220.039822261499,9770.315485648634,4.602966375788518,-4155.229859284895,-4037.4198131152793,2.917953832467905,3631.332770357874,2515.6191865862384,44.35144992218349,-2375.1310800261595,-1819.1675193115934,30.561427400867018,5518.379551332779,4757.005217493105,16.005328962849244
29,7594.097136345904,8092.411590670861,-6.157799176940365,-4191.725624421485,-2883.9460944979905,45.34687844611536,6358.132090188417,5811.198128078317,9.411724571348676,8674.149815785335,8590.941184107496,0.968562464747969,-2145.6605819300826,-2643.975036791035,-18.847169429623335,4259.453833327543,2951.6743037076153,44.30636293364813,-2052.7507978275758,-1505.8168355403736,36.32141369245156,4769.361203672589,3962.6992303658367,20.356376459898048
30,6370.699338995937,7254.306449010782,-12.180449174921964,-7766.776922693483,-5349.621444266665,45.183673342295094,7473.011606613936,6261.8413198872895,19.342078868719188,10045.328956025647,9013.512725520344,11.447437441164055,-880.3306376713998,-1763.9377481652887,-50.092873822386785,7856.709303849301,5439.553826211591,44.436649675018536,-3402.7180975097044,-2191.5478105232023,55.26551970122669,7905.875227754047,5718.4108113754455,38.25301274310602
