bin,rev,UW_P_kN,UW_aiso_pin,UW_L10m_pin_rev,UW_L10m_masta_rev,UW_dmg_pin,UW_dmg_masta,UW_dmg_err_pct,DW_P_kN,DW_aiso_pin,DW_L10m_pin_rev,DW_L10m_masta_rev,DW_dmg_pin,DW_dmg_masta,DW_dmg_err_pct,kappa
14,1.6551600833333333,9703.940578938404,1.4745624143417393,23361677.543736055,31128302.138278455,7.084936774059403e-08,5.317219281606702e-08,33.245149369099366,4474.525394272236,4.951274361434301,1035686611.396251,597375016.0648452,1.5981282997391896e-09,2.770721973336872e-09,-42.320871053889576,1.4284117676050934
15,1.9118464666666668,13330.243390183345,1.0989147526574146,6041874.508351708,13024043.342389114,3.164326673822691e-07,1.4679361980040524e-07,115.5629568999807,7241.537352518773,2.4217030703204703,101785583.09862185,114933240.40542237,1.8783077214523053e-08,1.66344084611441e-08,12.917013300460777,1.6099864336690557
16,2.074962716666667,13254.936475118182,1.1516943503733035,6452772.608638407,14156112.224230854,3.215614190230241e-07,1.4657715930755178e-07,119.38030491388912,7139.137187258999,2.620109325215105,115478627.82686196,129183063.25753896,1.796837004140433e-08,1.6062188527996335e-08,11.867508030338003,1.7231963377830042
17,1.9471569333333334,12042.255098329797,1.2438458179371323,9595665.517347561,21298153.020556476,2.029204675603957e-07,9.142374606164128e-08,121.95597566476786,6516.577604266691,2.8966510913797507,173047597.89552322,210666401.9737963,1.1252146559751273e-08,9.242845157508932e-09,21.73899235572474,1.63462828271929
18,1.8058717000000002,8074.2990529565195,1.9869057125298468,58098169.60530484,59105741.60309074,3.108310833660256e-08,3.055323647111752e-08,1.7342577307184248,2314.13671029728,27.71624875861969,52212245517.6062,3592764297.1989207,3.458712955356521e-11,5.026412952856212e-10,-93.11892399650303,1.5355583942252304
19,1.8794064833333335,11222.496421262636,1.3262224352468504,12941543.572519345,22964113.300688323,1.4522274509233578e-07,8.184102119357687e-08,77.4449328397839,5369.012420273043,3.927599548403297,447521391.8085016,327415316.18157315,4.199590271513877e-09,5.740130013621843e-09,-26.838063570896942,1.5872795249214369
20,1.901142616666667,12185.400963429474,1.2118114360880183,8987459.07945483,17737603.85896211,2.1153282589209724e-07,1.071814790646649e-07,97.3594950714152,6536.983776709024,2.8320169025557926,167432249.03680685,176204571.14833015,1.135469796053887e-08,1.0789405770104981e-08,5.239326451139559,1.602501389112562
21,1.9531521,13709.47195602981,1.0770838689913018,5393223.154364887,13973565.634289851,3.621493203779746e-07,1.397747826944859e-07,159.09489064958592,8246.063107393024,2.028437135505973,55293489.59689204,90744258.15893845,3.532336472592216e-08,2.1523699015524008e-08,64.1138203077692,1.6388045075327333
22,1.9342841,14208.777032807615,1.0316326178978035,4584979.109608667,11694877.202255202,4.218741359031172e-07,1.653958452532532e-07,155.06936722451877,8937.590307644543,1.8023673081393765,37564399.58507057,65309983.986237556,5.149248015050807e-08,2.9616974035816667e-08,73.86138127492943,1.6256536868007212
23,1.8718417,13490.0165689024,1.0734659234384536,5672153.118041714,14435321.420265948,3.300054954521829e-07,1.2967094015461932e-07,154.49456528863382,8475.711730120087,1.8994708441257135,47247626.9799426,83093102.82913916,3.961768705959832e-08,2.252704058782098e-08,75.86725120483524,1.5819748829872904
24,2.0093901999999995,14938.457326199632,0.9964063864584353,3747589.040075706,11746798.916744484,5.361821102880072e-07,1.7105853383901146e-07,213.4494948919795,9633.144878079322,1.6681392152367291,27081535.156577535,57425935.91705652,7.41977952277185e-08,3.49909873981379e-08,112.04830370596244,1.6778748647878363
25,2.027999,16446.08858568049,0.9070709614153668,2476094.0704079345,7460067.659963292,8.190314835921757e-07,2.718472663302867e-07,201.2836931003293,10925.748132578346,1.4282382988951967,15239288.336056968,31482922.183776826,1.3307701483681796e-07,6.441584387122201e-08,106.59050140344517,1.69076183951534
26,1.9900879999999999,15317.784566626337,0.9664879992335381,3343576.279490331,9219806.555204831,5.951974274393864e-07,2.158492141981592e-07,175.74685858849995,9905.670694946832,1.599415691595376,23660088.186241165,44654325.1982056,8.411160534715495e-08,4.456652275376832e-08,88.7327082076263,1.664486239486894
27,1.9155923666666665,15659.27624255259,0.9286176309131199,2984919.3435368766,7606717.517014283,6.417568269690168e-07,2.5182903958007856e-07,154.83829348638167,10187.866625109385,1.5094635307474042,20333544.131508764,37178992.830728486,9.420848398476061e-08,5.152351424332902e-08,82.84561014189403,1.612604201923194
28,2.0406411500000003,11542.039144420378,1.3405144950481953,11912356.038482675,24036640.951252066,1.7130458016934197e-07,8.489710164321873e-08,101.77906766387844,5518.379551332779,3.9963764737293475,415555589.5524762,350748286.11646634,4.910633381679754e-09,5.8179647079512834e-09,-15.59533912317308,1.6995053152249016
29,2.0235595833333333,10855.901975486018,1.4378606023180873,15673465.560507832,32226756.824364517,1.2910734869205076e-07,6.279128844275927e-08,105.61347265512065,4769.361203672589,5.231888340470729,884692566.7415662,737042408.6011755,2.287302571995555e-09,2.7455130935733047e-09,-16.689431299757008,1.6876892851772582
30,2.01509485,12699.529165813668,1.1880321547375206,7677221.830122017,24490780.207428485,2.6247709061807495e-07,8.227973273749712e-08,219.0057647069349,7905.875227754047,2.1928917712805234,68788943.36395465,157436319.02900976,2.9293877060130976e-08,1.2799428127055561e-08,128.86863982781608,1.6748797968389142
