design,DLC,k,ksel,nbin,ScaleFactor,eps_UW,eps_Sys,D30_UW,D30_DW,life_UW_yr,life_DW_yr,life_Sys_yr,t_s
c50,DLC1.2-f-s5,0.26,center,30,18970.0,2.2902,1.9097,0.0015099170793914682,8.051366228318483e-05,19868.640741576815,372607.5693151702,19237.82330975073,2.792
c50,DLC1.2-f-s6,0.29,center,30,18970.0,2.2392,1.7015,0.0014787731713474224,7.093299424311669e-05,20287.087013260272,422934.35262548766,19713.122562192362,2.769
c50,DLC1.2-g-s1,0.31,center,30,11340.0,2.2004,1.5977,0.0006217478850489446,3.188769777611367e-05,48251.06883578441,940801.6913178442,46782.65382545006,2.807
c50,DLC1.2-g-s2,0.3,center,30,11340.0,1.8317,1.2044,0.0006606059814492284,4.007789744001608e-05,45412.849478272066,748542.2618514481,43754.46156001706,2.666
c50,DLC1.2-g-s3,0.32,center,30,11340.0,2.6684,1.8262,0.0006085332245921061,2.7278531875727755e-05,49298.869457963796,1099765.9308305294,48003.5598677668,2.789
c50,DLC1.2-g-s4,0.33,center,30,11340.0,2.6142,1.9214,0.0006969145987921388,3.589122694580721e-05,43046.88128501635,835858.8589155094,41730.920606086904,2.684
c50,DLC1.2-g-s5,0.35,center,30,11340.0,2.4697,1.798,0.0006581402776407813,3.04302218139801e-05,45582.987425629435,985862.0217555413,44344.07264720536,2.677
c50,DLC1.2-g-s6,0.34,center,30,11340.0,2.2615,1.4916,0.0006852827073858379,3.8922642004275376e-05,43777.552937884015,770759.6004583839,42289.0331743393,2.687
c50,DLC1.2-h-s1,0.41,center,30,6126.0,2.6086,1.4673,0.0003304948807454688,2.8830835281070473e-05,90772.96426598677,1040552.5787765562,85880.76763273512,2.554
c50,DLC1.2-h-s2,0.43,center,30,6126.0,2.4571,1.5834,0.0003033288776367303,1.5954866728462316e-05,98902.55169152837,1880304.016985751,95808.78767573679,2.624
c50,DLC1.2-h-s3,0.39,center,30,6126.0,2.0939,1.2062,0.00029116137744326145,1.7052708303923223e-05,103035.64388736997,1759251.3438524052,99413.76774689011,2.555
c50,DLC1.2-h-s4,0.4,center,30,6126.0,2.491,1.4999,0.0002951183190632353,1.8399461921840873e-05,101654.14365067548,1630482.463424044,97830.86623310803,2.543
c50,DLC1.2-h-s5,0.4,center,30,6126.0,1.8032,0.9002,0.0002999917981203608,1.6949653644816126e-05,100002.73403462714,1769947.6714189488,96621.76585318297,2.719
c50,DLC1.2-h-s6,0.42,center,30,6126.0,2.896,2.0118,0.0002820658624724978,1.3882414203420913e-05,106358.13826256654,2161007.412716974,103263.44805131799,2.487
c50,DLC1.2-i-s1,0.51,center,30,2997.0,2.2856,0.9135,0.0001176068930094953,6.93230692924454e-06,255087.08913496992,4327563.725351281,246057.85533582835,2.532
c50,DLC1.2-i-s2,0.43,center,30,2997.0,2.3746,1.3421,0.00011950098593981795,1.0125337823200216e-05,251043.95385581453,2962864.1062484765,237926.1288344113,2.57
c50,DLC1.2-i-s3,0.44,center,30,2997.0,1.879,0.8502,0.00012267817925845138,9.421976193947553e-06,244542.26645145845,3184045.4043251844,233034.4080689564,2.475
c50,DLC1.2-i-s4,0.48,center,30,2997.0,2.0281,0.7658,0.00010594337015517501,7.799336771737692e-06,283170.1498268279,3846480.909596112,270434.88889597706,2.461
c50,DLC1.2-i-s5,0.49,min_pos,30,2997.0,3.2401,1.2839,0.0001232447998074649,1.4402259726026726e-05,243417.97825844586,2083006.4566733346,225586.49102168958,2.547
c50,DLC1.2-i-s6,0.49,center,30,2997.0,2.5917,1.326,0.00010763468307947892,8.958666085059082e-06,278720.56795900624,3348712.8234450934,264430.17870242515,2.531
c50,DLC1.2-j-s1,0.51,min_pos,30,1332.0,3.6667,1.424,4.09069222891844e-05,5.384007407468157e-06,733372.209914014,5572057.712696866,672633.4600091743,2.61
c50,DLC1.2-j-s2,0.55,center,30,1332.0,2.9293,1.5326,4.391630480315598e-05,5.760614191954245e-06,683117.5831952987,5207778.025110674,626736.664887354,2.567
c50,DLC1.2-j-s3,0.53,center,30,1332.0,2.5762,0.7448,4.331094502012758e-05,4.718457782695671e-06,692665.5603117946,6358009.625522367,645496.6413554294,2.557
c50,DLC1.2-j-s4,0.52,min_pos,30,1332.0,3.1494,1.5981,4.175194935193117e-05,4.477352042959689e-06,718529.3253526234,6700388.915625435,670399.5627114895,2.459
c50,DLC1.2-j-s5,0.56,min_pos,30,1332.0,3.0108,1.3178,4.225346941297478e-05,6.6938421110178895e-06,710000.8689650439,4481731.045107978,639005.6757922453,2.65
c50,DLC1.2-j-s6,0.56,center,30,1332.0,1.8024,0.4802,4.322308134607749e-05,3.1650906361631215e-06,694073.6075662156,9478401.552622668,663036.0855421248,2.632
c50,DLC1.2-k-s1,0.61,min_pos,30,538.2,3.3001,1.4137,1.5107134240559862e-05,3.7858474049345376e-06,1985816.7354769078,7924249.656998191,1675327.2292475058,2.629
