rank,stage,tag,K1L,K2L,zmL_um,K1R,K2R,zmR_um,sigma_MPa,edge_L_MPa,margin_L_mm,y_star_mm,y_star_pct,edge_R_MPa,margin_R_mm,contact_mm,score,feasible
210,S1,sym K1=8.0 K2=0.7 zm=150,8.0,0.7,150.0,8.0,0.7,150.0,2084.6,1839.3,0.0,-103.86,59.8,195.4,15.37,332.2,-0.95446,1
210,S1,sym K1=8.0 K2=0.7 zm=250,8.0,0.7,250.0,8.0,0.7,250.0,2134.5,967.8,0.0,-88.92,51.2,415.1,25.06,322.5,,0
210,S1,sym K1=8.0 K2=0.7 zm=400,8.0,0.7,400.0,8.0,0.7,400.0,2167.6,1392.7,11.79,-87.63,50.4,496.1,30.02,305.8,,0
210,S1,sym K1=8.0 K2=0.7 zm=600,8.0,0.7,600.0,8.0,0.7,600.0,2179.0,1401.1,14.42,-86.08,49.5,519.6,31.84,301.3,,0
210,S1,sym K1=8.0 K2=0.85 zm=40,8.0,0.85,40.0,8.0,0.85,40.0,2463.4,2463.4,0.0,-173.8,100.0,916.3,0.0,347.6,,0
210,S1,sym K1=8.0 K2=0.85 zm=80,8.0,0.85,80.0,8.0,0.85,80.0,2288.6,2288.6,0.0,-173.8,100.0,208.7,0.0,347.6,,0
210,S1,sym K1=8.0 K2=0.85 zm=150,8.0,0.85,150.0,8.0,0.85,150.0,2069.3,1900.7,0.0,-94.88,54.6,678.9,23.13,324.5,-0.93364,1
210,S1,sym K1=8.0 K2=0.85 zm=250,8.0,0.85,250.0,8.0,0.85,250.0,2125.3,1095.4,0.0,-80.62,46.4,269.4,25.71,321.9,,0
210,S1,sym K1=8.0 K2=0.85 zm=400,8.0,0.85,400.0,8.0,0.85,400.0,2166.4,1306.2,11.48,-71.76,41.3,387.8,31.52,304.6,,0
210,S1,sym K1=8.0 K2=0.85 zm=600,8.0,0.85,600.0,8.0,0.85,600.0,2182.0,1317.3,14.95,-70.03,40.3,417.8,33.9,298.8,,0
210,S1,sym K1=8.0 K2=1.0 zm=40,8.0,1.0,40.0,8.0,1.0,40.0,2479.7,2479.7,0.0,-173.8,100.0,951.1,0.0,347.6,,0
210,S1,sym K1=8.0 K2=1.0 zm=80,8.0,1.0,80.0,8.0,1.0,80.0,2320.8,2320.8,0.0,-173.8,100.0,399.4,0.0,347.6,,0
210,S1,sym K1=8.0 K2=1.0 zm=150,8.0,1.0,150.0,8.0,1.0,150.0,2060.3,1963.0,0.0,-94.51,54.4,622.0,21.65,326.0,-0.99625,1
