rank,key,z1,z2,D_pw_mm,alpha,D_we_mm,slenderness,Z,bore_mm,D_mm,T_mm,B_mm,C_mm,L_eff_m,mass_brg_kg,mass_shaft_kg,mass_total_kg,sigma_max_MPa,feasible,warn,t_s,L_w_mm,L_we_mm,taper_2beta_deg,cone_angle_deg,mass_brg_t,mass_shaft_t,mass_total_t,sigma_margin
85,1.00_6.00_4090.0_15_206.70_417.40,1.0,6.0,4090.0,15.0,206.7,2.0194,57,3618.0,4551.0,544.0,526.0,444.0,6.0751,20283.0,85231.8,125797.7,2096.3,1,,0.28,417.4,408.8,1.4289,13.5711,20.283,85.2318,125.7978,3.7
86,1.00_6.00_4095.0_15_202.50_418.80,1.0,6.0,4095.0,15.0,202.5,2.0681,58,3626.0,4552.0,545.0,528.0,445.0,6.07533,20234.7,84900.2,125369.6,2099.6,1,,0.28,418.8,410.2,1.3996,13.6004,20.2347,84.9002,125.3696,0.4
87,1.00_5.80_4100.0_16_184.20_434.40,1.0,5.8,4100.0,16.0,184.2,2.3583,64,3632.0,4556.0,566.0,547.0,462.0,5.95545,21302.2,82173.3,124777.7,2098.0,1,,0.29,434.4,425.8,1.3601,14.6399,21.3022,82.1733,124.7777,2.0
88,1.00_6.00_4101.0_15_206.80_416.10,1.0,6.0,4101.0,15.0,206.8,2.0121,57,3630.0,4561.0,542.0,524.0,442.0,6.07804,20199.9,84733.3,125133.0,2097.5,1,,0.27,416.1,407.5,1.4259,13.5741,20.1999,84.7333,125.1331,2.5
89,1.00_6.00_4120.0_15_185.90_420.70,1.0,6.0,4120.0,15.0,185.9,2.263,64,3666.0,4562.0,548.0,530.0,447.0,6.08262,19998.3,83735.5,123732.1,2095.3,1,,0.28,420.7,412.1,1.2822,13.7178,19.9983,83.7355,123.7321,4.7
90,1.00_6.00_4127.0_15_185.90_420.70,1.0,6.0,4127.0,15.0,185.9,2.263,64,3673.0,4569.0,548.0,530.0,447.0,6.08449,20024.5,83633.4,123682.5,2094.7,1,,0.3,420.7,412.1,1.2801,13.7199,20.0245,83.6334,123.6824,5.3
91,1.00_6.00_4134.0_15_191.10_417.30,1.0,6.0,4134.0,15.0,191.1,2.1837,62,3677.0,4579.0,543.0,526.0,444.0,6.08548,19934.9,83459.2,123329.1,2099.2,1,,0.29,417.3,408.7,1.3123,13.6877,19.9349,83.4592,123.329,0.8
92,1.00_6.00_4138.0_15_185.90_420.70,1.0,6.0,4138.0,15.0,185.9,2.263,64,3684.0,4580.0,548.0,530.0,447.0,6.08744,20065.7,83085.2,123216.6,2094.5,1,,0.27,420.7,412.1,1.2769,13.7231,20.0657,83.0852,123.2166,5.5
93,1.00_5.90_4137.0_15_185.90_423.60,1.0,5.9,4137.0,15.0,185.9,2.2786,64,3681.0,4581.0,552.0,534.0,450.0,5.98717,20308.5,82003.0,122620.1,2099.3,1,,0.27,423.6,415.0,1.2772,13.7228,20.3085,82.003,122.62,0.7
94,1.00_6.00_4141.0_15_191.10_417.30,1.0,6.0,4141.0,15.0,191.1,2.1837,62,3684.0,4586.0,543.0,526.0,444.0,6.08736,19960.8,83085.2,123006.8,2099.2,1,,0.27,417.3,408.7,1.3101,13.6899,19.9608,83.0852,123.0068,0.8
95,1.00_5.90_4141.0_15_192.90_418.80,1.0,5.9,4141.0,15.0,192.9,2.1711,62,3681.0,4589.0,545.0,528.0,445.0,5.9874,20196.6,82003.0,122396.2,2097.4,1,,0.27,418.8,410.2,1.3219,13.6781,20.1966,82.003,122.3962,2.6
