key,z1,z2,D_pw_mm,alpha,D_we_mm,L_w_mm,slenderness,Z,bore_mm,D_mm,T_mm,B_mm,C_mm,L_eff_m,mass_brg_kg,mass_shaft_kg,mass_total_kg,sigma_max_MPa,feasible,warn,t_s,L_we_mm,taper_2beta_deg,cone_angle_deg,rank,mass_brg_t,mass_shaft_t,mass_total_t,sigma_margin
1.00_5.90_3558.0_15_222.00_531.10,1.0,5.9,3558.0,15.0,222.0,531.1,2.3923,46,2997.0,4104.0,692.0,669.0,564.0,5.83838,26979.2,110045.8,164004.2,2099.9,1,,0.25,522.5,1.745,13.255,14,26.9792,110.0458,164.0042,0.1
1.00_6.00_3568.0_15_217.00_529.40,1.0,6.0,3568.0,15.0,217.0,529.4,2.4396,47,3013.0,4108.0,689.0,667.0,563.0,5.9399,26700.4,110821.7,164222.4,2098.7,1,,0.25,520.8,1.7034,13.2966,15,26.7004,110.8217,164.2225,1.3
1.00_6.00_3569.0_15_217.10_528.70,1.0,6.0,3569.0,15.0,217.1,528.7,2.4353,47,3014.0,4109.0,689.0,666.0,562.0,5.94117,26679.8,110661.9,164021.4,2099.1,1,,0.25,520.1,1.7037,13.2963,16,26.6798,110.6619,164.0215,0.9
1.00_6.00_3571.0_16_223.80_511.60,1.0,6.0,3571.0,16.0,223.8,511.6,2.286,46,3013.0,4114.0,666.0,645.0,544.0,6.00728,25922.9,110821.7,162667.5,2099.8,1,,0.24,503.0,1.8666,14.1334,17,25.9229,110.8217,162.6675,0.2
1.00_6.00_3574.0_16_223.80_511.50,1.0,6.0,3574.0,16.0,223.8,511.5,2.2855,46,3016.0,4117.0,666.0,645.0,544.0,6.00813,25938.4,110541.8,162418.7,2099.8,1,,0.25,502.9,1.8652,14.1348,18,25.9384,110.5418,162.4186,0.2
1.00_6.00_3586.0_15_224.30_513.40,1.0,6.0,3586.0,15.0,224.3,513.4,2.2889,46,3034.0,4124.0,669.0,647.0,546.0,5.94493,25808.4,109645.7,161262.5,2098.8,1,,0.25,504.8,1.7491,13.2509,19,25.8084,109.6457,161.2625,1.2
1.00_6.00_3588.0_15_224.00_513.40,1.0,6.0,3588.0,15.0,224.0,513.4,2.292,46,3036.0,4125.0,669.0,647.0,546.0,5.94545,25788.8,109521.9,161099.5,2099.9,1,,0.25,504.8,1.746,13.254,20,25.7888,109.5219,161.0995,0.1
1.00_6.00_3591.0_15_224.60_511.80,1.0,6.0,3591.0,15.0,224.6,511.8,2.2787,46,3040.0,4128.0,666.0,645.0,544.0,5.94527,25689.9,109273.1,160653.0,2099.0,1,,0.25,503.2,1.749,13.251,21,25.6899,109.2731,160.6529,1.0
1.00_6.00_3601.0_15_224.30_513.40,1.0,6.0,3601.0,15.0,224.3,513.4,2.2889,46,3049.0,4139.0,669.0,647.0,546.0,5.94893,25892.1,108605.5,160389.6,2097.9,1,,0.25,504.8,1.7422,13.2578,22,25.8921,108.6055,160.3897,2.1
1.00_6.00_3614.0_15_217.20_509.50,1.0,6.0,3614.0,15.0,217.2,509.5,2.3458,48,3071.0,4142.0,664.0,642.0,542.0,5.95219,25438.9,107394.3,158272.1,2098.2,1,,0.26,500.9,1.6844,13.3156,23,25.4389,107.3943,158.2721,1.8
1.00_6.00_3619.0_15_217.20_510.30,1.0,6.0,3619.0,15.0,217.2,510.3,2.3494,48,3076.0,4147.0,665.0,643.0,542.0,5.95353,25499.2,107169.6,158168.0,2096.8,1,,0.23,501.7,1.6822,13.3178,24,25.4992,107.1696,158.168,3.2
1.00_6.00_3620.0_16_217.40_502.90,1.0,6.0,3620.0,16.0,217.4,502.9,2.3132,48,3074.0,4151.0,655.0,634.0,534.0,6.02107,25298.7,107301.1,157898.4,2099.6,1,,0.26,494.3,1.793,14.207,25,25.2987,107.3011,157.8985,0.4
1.00_6.00_3629.0_15_218.50_506.20,1.0,6.0,3629.0,15.0,218.5,506.2,2.3167,48,3087.0,4156.0,659.0,638.0,538.0,5.95524,25300.6,106543.3,157144.5,2095.1,1,,0.24,497.6,1.6873,13.3127,26,25.3006,106.5433,157.1445,4.9
1.00_6.00_3636.0_15_217.80_504.60,1.0,6.0,3636.0,15.0,217.8,504.6,2.3168,48,3096.0,4162.0,657.0,636.0,536.0,5.95708,25170.4,106042.0,156382.7,2099.4,1,,0.24,496.0,1.6791,13.3209,27,25.1704,106.042,156.3828,0.6
1.00_6.00_3651.0_15_206.70_506.70,1.0,6.0,3651.0,15.0,206.7,506.7,2.4514,51,3120.0,4167.0,660.0,639.0,539.0,5.96077,25095.5,104812.4,155003.4,2098.2,1,,0.26,498.1,1.5918,13.4082,28,25.0955,104.8124,155.0034,1.8
1.00_6.00_3661.0_15_206.70_506.70,1.0,6.0,3661.0,15.0,206.7,506.7,2.4514,51,3130.0,4177.0,660.0,639.0,539.0,5.96344,25149.5,104322.0,154620.9,2097.4,1,,0.27,498.1,1.5877,13.4123,29,25.1495,104.322,154.621,2.6
1.00_6.00_3660.0_15_220.00_500.40,1.0,6.0,3660.0,15.0,220.0,500.4,2.2745,48,3120.0,4185.0,652.0,631.0,532.0,5.96356,25091.8,104812.4,154996.0,2093.0,1,,0.24,491.8,1.6846,13.3154,30,25.0918,104.8124,154.996,7.0
1.00_5.90_3656.0_16_220.00_498.90,1.0,5.9,3656.0,16.0,220.0,498.9,2.2677,48,3110.0,4187.0,650.0,629.0,530.0,5.93145,25318.5,103675.2,154312.1,2099.3,1,,0.25,490.3,1.7964,14.2036,31,25.3185,103.6752,154.3122,0.7
1.00_5.90_3660.0_15_220.00_504.80,1.0,5.9,3660.0,15.0,220.0,504.8,2.2945,48,3118.0,4188.0,657.0,636.0,537.0,5.86356,25440.0,103337.3,154217.2,2096.6,1,,0.24,496.2,1.6846,13.3154,32,25.44,103.3373,154.2173,3.4
1.00_5.90_3674.0_15_216.60_498.90,1.0,5.9,3674.0,15.0,216.6,498.9,2.3033,49,3139.0,4195.0,650.0,629.0,530.0,5.8672,24933.1,102191.6,152057.8,2099.4,1,,0.25,490.3,1.654,13.346,33,24.9331,102.1916,152.0578,0.6
1.00_6.00_3687.0_15_217.40_487.70,1.0,6.0,3687.0,15.0,217.4,487.7,2.2433,49,3158.0,4202.0,635.0,615.0,518.0,5.96969,24121.8,102951.4,151195.0,2099.6,1,,0.26,479.1,1.6543,13.3457,34,24.1218,102.9514,151.195,0.4
1.00_6.00_3702.0_15_213.90_487.70,1.0,6.0,3702.0,15.0,213.9,487.7,2.28,50,3177.0,4213.0,635.0,615.0,518.0,5.9736,24069.2,101870.9,150009.3,2099.3,1,,0.27,479.1,1.6228,13.3772,35,24.0692,101.8709,150.0093,0.7
1.00_6.00_3708.0_15_213.90_487.70,1.0,6.0,3708.0,15.0,213.9,487.7,2.28,50,3183.0,4219.0,635.0,615.0,518.0,5.9752,24099.4,101639.0,149837.7,2098.8,1,,0.27,479.1,1.6203,13.3797,36,24.0994,101.639,149.8378,1.2
1.00_6.00_3733.0_15_199.80_489.20,1.0,6.0,3733.0,15.0,199.8,489.2,2.4484,54,3220.0,4232.0,637.0,617.0,520.0,5.9815,23952.4,100010.8,147915.5,2098.7,1,,0.28,480.6,1.5092,13.4908,37,23.9524,100.0108,147.9156,1.3
1.00_6.00_3734.0_15_199.80_489.20,1.0,6.0,3734.0,15.0,199.8,489.2,2.4484,54,3221.0,4233.0,637.0,617.0,520.0,5.98176,23957.4,99820.6,147735.5,2098.9,1,,0.29,480.6,1.5088,13.4912,38,23.9574,99.8206,147.7354,1.1
1.00_6.00_3736.0_15_199.80_489.80,1.0,6.0,3736.0,15.0,199.8,489.8,2.4515,54,3223.0,4235.0,638.0,617.0,521.0,5.9833,23998.0,99663.3,147659.3,2098.2,1,,0.3,481.2,1.508,13.492,39,23.998,99.6633,147.6593,1.8
1.00_6.00_3740.0_15_199.80_489.80,1.0,6.0,3740.0,15.0,199.8,489.8,2.4515,54,3227.0,4239.0,638.0,617.0,521.0,5.98437,24018.2,99571.5,147607.9,2097.7,1,,0.29,481.2,1.5065,13.4935,40,24.0182,99.5715,147.6079,2.3
1.00_6.00_3747.0_15_199.90_487.60,1.0,6.0,3747.0,15.0,199.9,487.6,2.4392,54,3236.0,4245.0,635.0,614.0,518.0,5.98624,23857.3,99193.7,146908.2,2099.3,1,,0.29,479.0,1.5045,13.4955,41,23.8573,99.1937,146.9083,0.7
1.00_6.00_3750.0_15_199.80_487.40,1.0,6.0,3750.0,15.0,199.8,487.4,2.4394,54,3239.0,4247.0,635.0,614.0,518.0,5.98704,23841.8,99066.6,146750.1,2099.7,1,,0.32,478.8,1.5027,13.4973,42,23.8418,99.0666,146.7502,0.3
1.00_6.00_3764.0_15_199.70_486.90,1.0,6.0,3764.0,15.0,199.7,486.9,2.4382,54,3253.0,4261.0,634.0,614.0,517.0,5.98978,23881.3,98390.7,146153.2,2099.8,1,,0.29,478.3,1.4966,13.5034,43,23.8813,98.3907,146.1533,0.2
1.00_6.00_3770.0_15_199.80_485.90,1.0,6.0,3770.0,15.0,199.8,485.9,2.4319,54,3260.0,4266.0,633.0,612.0,516.0,5.99238,23808.6,98161.5,145778.7,2099.9,1,,0.28,477.3,1.4951,13.5049,44,23.8086,98.1615,145.7787,0.1
1.00_6.00_3775.0_15_199.80_487.40,1.0,6.0,3775.0,15.0,199.8,487.4,2.4394,54,3264.0,4272.0,635.0,614.0,518.0,5.99372,23966.5,97834.1,145767.0,2098.1,1,,0.28,478.8,1.4932,13.5068,45,23.9665,97.8341,145.7671,1.9
1.00_6.00_3782.0_15_199.90_487.10,1.0,6.0,3782.0,15.0,199.9,487.1,2.4367,54,3271.0,4280.0,634.0,614.0,518.0,5.99459,24012.0,97600.3,145624.4,2097.3,1,,0.36,478.5,1.4913,13.5087,46,24.012,97.6003,145.6243,2.7
1.00_6.00_3791.0_15_198.60_477.70,1.0,6.0,3791.0,15.0,198.6,477.7,2.4053,55,3287.0,4281.0,622.0,602.0,508.0,5.99697,23276.7,96957.8,143511.1,2099.3,1,,0.3,469.1,1.4787,13.5213,47,23.2767,96.9578,143.5112,0.7
1.00_6.00_3795.0_15_198.70_476.90,1.0,6.0,3795.0,15.0,198.7,476.9,2.4001,55,3292.0,4285.0,621.0,601.0,507.0,5.99804,23231.6,96652.9,143116.0,2099.7,1,,0.28,468.3,1.4779,13.5221,48,23.2316,96.6529,143.1161,0.3
1.00_5.90_3799.0_15_199.60_480.10,1.0,5.9,3799.0,15.0,199.6,480.1,2.4053,55,3293.0,4292.0,625.0,605.0,510.0,5.89913,23569.8,95196.7,142336.3,2099.9,1,,0.27,471.5,1.4828,13.5172,49,23.5698,95.1967,142.3363,0.1
1.00_6.00_3806.0_15_198.70_477.90,1.0,6.0,3806.0,15.0,198.7,477.9,2.4051,55,3302.0,4297.0,622.0,602.0,508.0,6.00098,23379.0,96269.5,143027.5,2097.6,1,,0.28,469.3,1.4739,13.5261,50,23.379,96.2695,143.0275,2.4
1.00_5.90_3806.0_15_199.60_480.10,1.0,5.9,3806.0,15.0,199.6,480.1,2.4053,55,3300.0,4299.0,625.0,605.0,510.0,5.901,23603.8,94955.6,142163.2,2099.3,1,,0.3,471.5,1.4802,13.5198,51,23.6038,94.9556,142.1632,0.7
1.00_6.00_3812.0_15_199.80_473.60,1.0,6.0,3812.0,15.0,199.8,473.6,2.3704,55,3310.0,4301.0,617.0,597.0,503.0,6.00261,23108.1,96051.9,142268.1,2097.0,1,,0.29,465.0,1.4794,13.5206,52,23.1081,96.0519,142.2681,3.0
1.00_5.90_3812.0_15_199.60_479.70,1.0,5.9,3812.0,15.0,199.6,479.7,2.4033,55,3306.0,4305.0,625.0,605.0,510.0,5.9026,23627.4,94681.6,141936.5,2099.4,1,,0.3,471.1,1.478,13.522,53,23.6274,94.6816,141.9364,0.6
1.00_6.00_3823.0_15_195.70_477.00,1.0,6.0,3823.0,15.0,195.7,477.0,2.4374,56,3322.0,4310.0,621.0,601.0,507.0,6.00544,23297.8,95486.1,142081.8,2097.9,1,,0.27,468.4,1.4465,13.5535,54,23.2978,95.4861,142.0817,2.1
1.00_5.90_3817.0_15_199.60_479.80,1.0,5.9,3817.0,15.0,199.6,479.8,2.4038,55,3311.0,4310.0,625.0,605.0,510.0,5.90394,23653.0,94375.2,141681.3,2099.1,1,,0.28,471.2,1.4761,13.5239,55,23.653,94.3752,141.6812,0.9
1.00_6.00_3828.0_15_197.20_475.90,1.0,6.0,3828.0,15.0,197.2,475.9,2.4133,56,3327.0,4316.0,620.0,600.0,506.0,6.00682,23319.8,95404.1,142043.7,2091.3,1,,0.28,467.3,1.4552,13.5448,56,23.3198,95.4041,142.0437,8.7
1.00_5.90_3828.0_15_197.30_476.10,1.0,5.9,3828.0,15.0,197.3,476.1,2.4131,56,3326.0,4316.0,620.0,600.0,506.0,5.90682,23348.1,93906.4,140602.6,2099.6,1,,0.26,467.5,1.456,13.544,57,23.3481,93.9064,140.6026,0.4
1.00_6.00_3861.0_15_194.80_472.10,1.0,6.0,3861.0,15.0,194.8,472.1,2.4235,57,3364.0,4344.0,615.0,595.0,502.0,6.01558,23113.9,93912.6,140140.5,2090.6,1,,0.3,463.5,1.4267,13.5733,58,23.1139,93.9126,140.1404,9.4
1.00_6.00_3848.0_15_222.20_453.30,1.0,6.0,3848.0,15.0,222.2,453.3,2.0401,50,3337.0,4346.0,590.0,571.0,482.0,6.01184,22415.2,95002.0,139832.4,2099.1,1,,0.27,444.7,1.6219,13.3781,59,22.4152,95.002,139.8324,0.9
1.00_6.00_3849.0_15_222.20_453.30,1.0,6.0,3849.0,15.0,222.2,453.3,2.0401,50,3338.0,4347.0,590.0,571.0,482.0,6.01211,22419.6,94796.5,139635.7,2099.4,1,,0.26,444.7,1.6215,13.3785,60,22.4196,94.7965,139.6357,0.6
1.00_6.00_3853.0_15_222.20_453.30,1.0,6.0,3853.0,15.0,222.2,453.3,2.0401,50,3342.0,4351.0,590.0,571.0,482.0,6.01318,22437.2,94680.8,139555.2,2099.0,1,,0.26,444.7,1.6199,13.3801,61,22.4372,94.6808,139.5552,1.0
1.00_6.00_3859.0_15_221.80_454.50,1.0,6.0,3859.0,15.0,221.8,454.5,2.0491,50,3348.0,4357.0,592.0,573.0,483.0,6.01477,22528.1,94387.6,139443.8,2098.6,1,,0.28,445.9,1.6147,13.3853,62,22.5281,94.3876,139.4438,1.4
1.00_6.00_3862.0_15_222.30_453.40,1.0,6.0,3862.0,15.0,222.3,453.4,2.0396,50,3351.0,4360.0,590.0,571.0,482.0,6.01558,22479.4,94240.1,139198.9,2098.0,1,,0.26,444.8,1.617,13.383,63,22.4794,94.2401,139.1989,2.0
1.00_6.00_3863.0_15_221.90_453.20,1.0,6.0,3863.0,15.0,221.9,453.2,2.0424,50,3353.0,4361.0,590.0,571.0,482.0,6.01584,22452.9,94299.7,139205.6,2099.5,1,,0.26,444.6,1.6138,13.3862,64,22.4529,94.2997,139.2055,0.5
1.00_6.00_3866.0_15_221.90_453.20,1.0,6.0,3866.0,15.0,221.9,453.2,2.0424,50,3356.0,4364.0,590.0,571.0,482.0,6.01664,22466.1,94151.5,139083.8,2099.4,1,,0.26,444.6,1.6127,13.3873,65,22.4661,94.1515,139.0837,0.6
1.00_6.00_3894.0_15_194.00_456.50,1.0,6.0,3894.0,15.0,194.0,456.5,2.3531,58,3408.0,4367.0,594.0,575.0,485.0,6.02338,22012.6,92061.7,136086.9,2099.2,1,,0.28,447.9,1.4096,13.5904,66,22.0126,92.0617,136.0869,0.8
1.00_6.00_3919.0_15_197.50_457.40,1.0,6.0,3919.0,15.0,197.5,457.4,2.3159,57,3430.0,4395.0,596.0,576.0,486.0,6.03115,22279.4,91464.7,136023.5,2092.2,1,,0.29,448.8,1.4251,13.5749,67,22.2794,91.4647,136.0235,7.8
1.00_5.90_3909.0_15_211.70_455.70,1.0,5.9,3909.0,15.0,211.7,455.7,2.1526,53,3407.0,4398.0,593.0,574.0,484.0,5.92785,22562.2,90856.3,135980.8,2097.3,1,,0.27,447.1,1.5262,13.4738,68,22.5622,90.8563,135.9807,2.7
1.00_6.00_3911.0_15_216.50_446.10,1.0,6.0,3911.0,15.0,216.5,446.1,2.0605,52,3410.0,4399.0,581.0,562.0,474.0,6.02851,21987.9,92118.7,136094.4,2097.5,1,,0.27,437.5,1.5582,13.4418,69,21.9879,92.1187,136.0945,2.5
1.00_6.00_3926.0_15_197.50_457.40,1.0,6.0,3926.0,15.0,197.5,457.4,2.3159,57,3437.0,4402.0,596.0,576.0,486.0,6.03302,22310.3,91170.1,135790.7,2091.8,1,,0.28,448.8,1.4227,13.5773,70,22.3103,91.1701,135.7907,8.2
1.00_5.60_3910.0_15_198.00_481.30,1.0,5.6,3910.0,15.0,198.0,481.3,2.4308,57,3404.0,4402.0,627.0,607.0,512.0,5.62876,24332.6,86744.5,135409.6,2097.4,1,,0.29,472.7,1.4317,13.5683,71,24.3326,86.7445,135.4097,2.6
1.00_5.80_3916.0_16_197.00_464.60,1.0,5.8,3916.0,16.0,197.0,464.6,2.3584,57,3415.0,4404.0,605.0,586.0,494.0,5.90312,23265.5,89186.4,135717.5,2098.0,1,,0.29,456.0,1.5155,14.4845,72,23.2655,89.1864,135.7174,2.0
1.00_5.60_3910.0_16_197.50_476.50,1.0,5.6,3910.0,16.0,197.5,476.5,2.4127,57,3401.0,4405.0,621.0,601.0,506.0,5.70242,24253.8,86663.8,135171.3,2099.8,1,,0.28,467.9,1.5213,14.4787,73,24.2538,86.6638,135.1714,0.2
1.00_5.70_3919.0_15_197.50_476.50,1.0,5.7,3919.0,15.0,197.5,476.5,2.4127,57,3417.0,4407.0,621.0,601.0,506.0,5.73115,23905.0,87592.5,135402.5,2095.6,1,,0.26,467.9,1.4251,13.5749,74,23.905,87.5925,135.4025,4.4
1.00_5.70_3911.0_15_216.80_466.40,1.0,5.7,3911.0,15.0,216.8,466.4,2.1513,52,3397.0,4412.0,607.0,588.0,496.0,5.72852,23694.8,88205.8,135595.3,2097.2,1,,0.29,457.8,1.5603,13.4397,75,23.6948,88.2058,135.5954,2.8
1.00_6.00_3936.0_15_210.20_441.40,1.0,6.0,3936.0,15.0,210.2,441.4,2.0999,54,3445.0,4415.0,575.0,556.0,469.0,6.03502,21526.6,90900.7,133954.0,2099.4,1,,0.27,432.8,1.506,13.494,76,21.5266,90.9007,133.9539,0.6
1.00_6.00_3939.0_15_205.50_445.40,1.0,6.0,3939.0,15.0,205.5,445.4,2.1674,55,3450.0,4416.0,580.0,561.0,473.0,6.0357,21683.3,90545.6,133912.3,2099.8,1,,0.28,436.8,1.4729,13.5271,77,21.6833,90.5456,133.9122,0.2
1.00_6.00_3939.0_15_210.20_441.40,1.0,6.0,3939.0,15.0,210.2,441.4,2.0999,54,3448.0,4418.0,575.0,556.0,469.0,6.03583,21539.1,90737.3,133815.4,2099.3,1,,0.27,432.8,1.5049,13.4951,78,21.5391,90.7373,133.8155,0.7
1.00_5.90_3939.0_15_210.50_448.10,1.0,5.9,3939.0,15.0,210.5,448.1,2.1287,54,3443.0,4422.0,584.0,565.0,476.0,5.93583,22109.9,89447.5,133667.4,2098.0,1,,0.28,439.5,1.5069,13.4931,79,22.1099,89.4475,133.6673,2.0
1.00_6.00_3946.0_15_210.60_441.00,1.0,6.0,3946.0,15.0,210.6,441.0,2.094,54,3454.0,4425.0,574.0,556.0,469.0,6.03671,21577.5,90408.7,133563.7,2097.9,1,,0.27,432.4,1.5051,13.4949,80,21.5775,90.4087,133.5637,2.1
1.00_6.00_3951.0_15_210.60_441.00,1.0,6.0,3951.0,15.0,210.6,441.0,2.094,54,3459.0,4430.0,574.0,556.0,469.0,6.03804,21598.3,90298.5,133495.0,2097.4,1,,0.28,432.4,1.5033,13.4967,81,21.5983,90.2985,133.4951,2.6
1.00_6.00_3958.0_15_210.50_441.90,1.0,6.0,3958.0,15.0,210.5,441.9,2.0993,54,3466.0,4438.0,575.0,557.0,470.0,6.03991,21694.4,89993.6,133382.3,2096.2,1,,0.29,433.3,1.5001,13.4999,82,21.6944,89.9936,133.3824,3.8
1.00_5.90_3961.0_15_206.40_448.20,1.0,5.9,3961.0,15.0,206.4,448.2,2.1715,55,3469.0,4440.0,584.0,565.0,476.0,5.94161,22059.7,88689.7,132809.2,2099.2,1,,0.27,439.6,1.4712,13.5288,83,22.0597,88.6897,132.8091,0.8
1.00_6.00_3964.0_15_210.70_441.20,1.0,6.0,3964.0,15.0,210.7,441.2,2.094,54,3472.0,4443.0,575.0,556.0,469.0,6.04252,21669.0,89908.2,133246.2,2095.7,1,,0.28,432.6,1.4993,13.5007,84,21.669,89.9082,133.2462,4.3
1.00_5.90_3964.0_15_206.30_448.00,1.0,5.9,3964.0,15.0,206.3,448.0,2.1716,55,3472.0,4443.0,583.0,565.0,476.0,5.94141,22055.7,88525.0,132636.4,2099.9,1,,0.27,439.4,1.4695,13.5305,85,22.0557,88.525,132.6364,0.1
1.00_6.00_3971.0_15_204.40_442.20,1.0,6.0,3971.0,15.0,204.4,442.2,2.1634,56,3485.0,4445.0,576.0,557.0,470.0,6.04423,21595.2,89511.0,132701.5,2092.6,1,,0.27,433.6,1.4541,13.5459,86,21.5952,89.511,132.7014,7.4
1.00_5.90_3971.0_15_204.70_442.80,1.0,5.9,3971.0,15.0,204.7,442.8,2.1632,56,3484.0,4445.0,577.0,558.0,471.0,5.94424,21660.7,88107.4,131428.7,2099.8,1,,0.28,434.2,1.4562,13.5438,87,21.6607,88.1074,131.4288,0.2
1.00_6.00_3979.0_15_200.80_439.00,1.0,6.0,3979.0,15.0,200.8,439.0,2.1863,57,3498.0,4447.0,572.0,553.0,467.0,6.04628,21253.6,89106.9,131614.2,2098.1,1,,0.27,430.4,1.427,13.573,88,21.2536,89.1069,131.6141,1.9
1.00_5.90_3973.0_15_204.70_442.80,1.0,5.9,3973.0,15.0,204.7,442.8,2.1632,56,3486.0,4447.0,577.0,558.0,471.0,5.94477,21669.0,87913.7,131251.7,2099.9,1,,0.29,434.2,1.4555,13.5445,89,21.669,87.9137,131.2517,0.1
1.00_5.90_3980.0_15_204.70_442.80,1.0,5.9,3980.0,15.0,204.7,442.8,2.1632,56,3493.0,4454.0,577.0,558.0,471.0,5.94664,21698.2,87851.8,131248.2,2099.1,1,,0.3,434.2,1.453,13.547,90,21.6982,87.8518,131.2482,0.9
1.00_6.00_3984.0_15_205.60_435.90,1.0,6.0,3984.0,15.0,205.6,435.9,2.1201,56,3501.0,4455.0,568.0,549.0,463.0,6.04773,21196.3,88935.1,131327.7,2095.4,1,,0.27,427.3,1.4577,13.5423,91,21.1963,88.9351,131.3277,4.6
1.00_5.90_3984.0_15_204.70_442.10,1.0,5.9,3984.0,15.0,204.7,442.1,2.1597,56,3497.0,4458.0,576.0,557.0,470.0,5.94771,21675.0,87709.7,131059.6,2099.9,1,,0.28,433.5,1.4516,13.5484,92,21.675,87.7097,131.0597,0.1
1.00_6.00_3989.0_15_205.60_435.90,1.0,6.0,3989.0,15.0,205.6,435.9,2.1201,56,3506.0,4460.0,568.0,549.0,463.0,6.04907,21216.6,88815.9,131249.0,2095.0,1,,0.29,427.3,1.456,13.544,93,21.2166,88.8159,131.2491,5.0
1.00_5.90_3988.0_15_204.70_442.80,1.0,5.9,3988.0,15.0,204.7,442.8,2.1632,56,3501.0,4462.0,577.0,558.0,471.0,5.94878,21731.6,87566.8,131030.0,2098.6,1,,0.26,434.2,1.4502,13.5498,94,21.7316,87.5668,131.03,1.4
1.00_6.00_3995.0_15_205.50_434.60,1.0,6.0,3995.0,15.0,205.5,434.6,2.1148,56,3512.0,4465.0,566.0,548.0,462.0,6.04967,21153.8,88469.2,130776.7,2097.2,1,,0.28,426.0,1.4532,13.5468,95,21.1538,88.4692,130.7768,2.8
