idx,S_rank,z1,z2,D_pw_mm,alpha,D_we_mm,L_we_mm,slenderness,Z,bore_mm,D_mm,T_mm,B_mm,C_mm,t_i_mm,t_o_mm,c12_margin,L_eff_m,S_index,mass_brg_kg,mass_shaft_kg,mass_total_kg,Myz_max_UW,Myz_max_DW,sigma_max_MPa,governing,feasible,t_s,warn
1.00_5.00_4500_27_140_325,96,1.0,5.0,4500.0,27.0,140.0,325.0,2.321,92,4099.0,4891.0,423.2345,409.58125000000007,345.41325,64.11,59.46,2.124,6.26719,188.157,15213.5,122288.1,152715.0,2154.3,1815.5,2154.3,Myz_max/UW,0,0.32,
1.00_5.00_4200_31_230_550,106,1.0,5.0,4200.0,31.0,230.0,550.0,2.391,52,3503.0,4882.0,716.243,693.1375,584.5455000000001,108.49,100.63,2.188,6.51246,186.575,41907.6,89311.8,173127.0,1881.4,1532.0,1881.4,Myz_max/UW,1,0.26,
1.00_5.00_4200_31_200_475,111,1.0,5.0,4200.0,31.0,200.0,475.0,2.375,60,3597.0,4790.0,618.5735,598.61875,504.83475,93.7,86.91,2.173,6.50758,185.923,31323.7,94169.3,156816.7,1970.5,1615.5,1970.5,Myz_max/UW,1,0.26,
1.00_5.00_4500_27_110_250,115,1.0,5.0,4500.0,27.0,110.0,250.0,2.273,118,4190.0,4803.0,325.565,315.0625,265.7025,49.31,45.74,2.079,6.26322,185.64,9065.4,127778.1,145909.0,2374.8,2006.3,2374.8,Myz_max/UW,0,0.4,
1.00_4.50_4500_31_140_325,118,1.0,4.5,4500.0,31.0,140.0,325.0,2.321,92,4083.9999999999995,4906.0,423.2345,409.58125000000007,345.41325,64.11,59.46,2.124,6.17859,185.496,15820.0,110358.9,141999.0,2191.0,1852.9,2191.0,Myz_max/UW,0,0.35,
1.00_5.00_4200_31_170_400,121,1.0,5.0,4200.0,31.0,170.0,400.0,2.353,71,3690.0,4698.0,520.904,504.1000000000001,425.1240000000001,78.9,73.19,2.153,6.50293,185.271,22305.0,99101.7,143711.7,2083.9,1720.1,2083.9,Myz_max/UW,1,0.29,
1.00_4.50_4500_31_110_250,134,1.0,4.5,4500.0,31.0,110.0,250.0,2.273,118,4178.0,4815.0,325.565,315.0625,265.7025,49.31,45.74,2.079,6.17447,183.014,9439.6,115497.5,134376.6,2417.7,2048.3,2417.7,Myz_max/UW,0,0.38,
1.00_5.00_4500_23_200_475,141,1.0,5.0,4500.0,23.0,200.0,475.0,2.375,65,3943.0,5044.0,618.5735,598.61875,504.83475,93.7,86.91,2.173,5.89223,182.475,30858.8,113157.2,174874.9,1889.3,1595.8,1889.3,Myz_max/UW,1,0.28,
1.00_5.00_4200_31_140_325,143,1.0,5.0,4200.0,31.0,140.0,325.0,2.321,86,3784.0,4606.0,423.2345,409.58125000000007,345.41325,64.11,59.46,2.124,6.49851,182.335,14766.2,104215.1,133747.5,2247.8,1865.2,2247.8,Myz_max/UW,0,0.37,
1.00_5.00_4500_23_230_550,149,1.0,5.0,4500.0,23.0,230.0,550.0,2.391,56,3856.0,5128.0,716.243,693.1375,584.5455000000001,108.49,100.63,2.188,5.89652,182.032,41199.3,108218.8,190617.3,1804.5,1517.4,1804.5,Myz_max/UW,1,0.26,
1.00_5.00_4500_23_170_400,165,1.0,5.0,4500.0,23.0,170.0,400.0,2.353,76,4029.0,4959.0,520.904,504.1000000000001,425.1240000000001,78.9,73.19,2.153,5.88809,179.668,21923.5,118147.1,161994.0,2009.9,1705.9,2009.9,Myz_max/UW,1,0.27,
1.00_5.00_4200_31_110_250,173,1.0,5.0,4200.0,31.0,110.0,250.0,2.273,110,3878.0,4515.0,325.565,315.0625,265.7025,49.31,45.74,2.079,6.49433,179.399,8806.3,109457.1,127069.7,2477.8,2065.2,2477.8,Myz_max/UW,0,0.47,
1.00_4.50_4500_27_200_475,178,1.0,4.5,4500.0,27.0,200.0,475.0,2.375,65,3919.0,5068.0,618.5735,598.61875,504.83475,93.7,86.91,2.173,5.77569,178.855,32329.2,101621.7,166280.0,1917.5,1627.7,1917.5,Myz_max/UW,1,0.25,
1.00_4.50_4500_27_230_550,182,1.0,4.5,4500.0,27.0,230.0,550.0,2.391,56,3828.0,5156.0,716.243,693.1375,584.5455000000001,108.49,100.63,2.188,5.78021,178.42,43190.3,96957.1,183337.7,1830.2,1547.2,1830.2,Myz_max/UW,1,0.26,
1.00_5.00_4500_31_230_475,184,1.0,5.0,4500.0,31.0,230.0,475.0,2.065,56,3871.0,5116.0,618.5735,598.61875,504.83475,93.7,86.91,1.889,6.68911,178.323,34464.8,109062.3,177991.9,1870.2,1556.6,1870.2,Myz_max/UW,1,0.25,
1.00_5.00_4500_23_140_325,197,1.0,5.0,4500.0,23.0,140.0,325.0,2.321,92,4116.0,4875.0,423.2345,409.58125000000007,345.41325,64.11,59.46,2.124,5.8841,176.713,14527.5,123304.6,152359.5,2170.7,1848.6,2170.7,Myz_max/UW,0,0.33,
1.00_4.00_4500_31_200_475,205,1.0,4.0,4500.0,31.0,200.0,475.0,2.375,65,3897.0,5090.0,618.5735,598.61875,504.83475,93.7,86.91,2.173,5.68749,176.107,33637.1,90435.5,157709.8,1946.2,1660.6,1946.2,Myz_max/UW,1,0.25,
1.00_4.50_4500_27_170_400,207,1.0,4.5,4500.0,27.0,170.0,400.0,2.353,76,4009.0000000000005,4979.0,520.904,504.1000000000001,425.1240000000001,78.9,73.19,2.153,5.77135,176.103,22951.7,106342.8,152246.2,2041.8,1740.5,2041.8,Myz_max/UW,1,0.88,
1.00_4.00_4500_31_230_550,211,1.0,4.0,4500.0,31.0,230.0,550.0,2.391,56,3803.0,5182.0,716.243,693.1375,584.5455000000001,108.49,100.63,2.188,5.69226,175.679,44954.4,86125.3,176034.2,1856.1,1578.1,1856.1,Myz_max/UW,1,0.27,
1.00_5.00_4200_27_230_550,213,1.0,5.0,4200.0,27.0,230.0,550.0,2.391,52,3528.0,4856.0,716.243,693.1375,584.5455000000001,108.49,100.63,2.188,6.12774,175.604,40260.3,90591.1,171111.7,1889.9,1554.5,1889.9,Myz_max/UW,1,0.25,
1.00_5.00_4200_27_200_475,218,1.0,5.0,4200.0,27.0,200.0,475.0,2.375,60,3619.0,4768.0,618.5735,598.61875,504.83475,93.7,86.91,2.173,6.12313,174.99,30102.6,95324.7,155530.0,1979.2,1638.9,1979.2,Myz_max/UW,1,0.25,
1.00_5.00_4200_27_170_400,225,1.0,5.0,4200.0,27.0,170.0,400.0,2.353,71,3709.0,4679.0,520.904,504.1000000000001,425.1240000000001,78.9,73.19,2.153,6.11871,174.376,21420.0,100124.9,142964.9,2092.8,1744.8,2092.8,Myz_max/UW,1,0.28,
1.00_5.00_4500_23_110_250,228,1.0,5.0,4500.0,23.0,110.0,250.0,2.273,118,4202.0,4790.0,325.565,315.0625,265.7025,49.31,45.74,2.079,5.88027,174.349,8668.9,128511.1,145848.8,2392.2,2042.6,2392.2,Myz_max/UW,0,0.33,
1.00_5.00_4500_31_200_400,230,1.0,5.0,4500.0,31.0,200.0,400.0,2.0,65,3965.0,5024.0,520.904,504.1000000000001,425.1240000000001,78.9,73.19,1.83,6.68434,174.301,24658.3,114423.4,163739.9,1979.3,1654.2,1979.3,Myz_max/UW,1,0.28,
1.00_4.00_4500_31_170_400,241,1.0,4.0,4500.0,31.0,170.0,400.0,2.353,76,3990.0,4998.0,520.904,504.1000000000001,425.1240000000001,78.9,73.19,2.153,5.68293,173.398,23899.8,94803.4,142603.0,2074.5,1776.3,2074.5,Myz_max/UW,1,0.31,
1.00_4.50_4500_27_140_325,245,1.0,4.5,4500.0,27.0,140.0,325.0,2.321,92,4099.0,4891.0,423.2345,409.58125000000007,345.41325,64.11,59.46,2.124,5.76719,173.207,15213.5,111171.0,141597.9,2207.5,1887.0,2207.5,Myz_max/UW,0,0.34,
1.00_4.50_4200_31_230_550,257,1.0,4.5,4200.0,31.0,230.0,550.0,2.391,52,3503.0,4882.0,716.243,693.1375,584.5455000000001,108.49,100.63,2.188,6.01246,172.275,41907.6,81192.5,165007.7,1917.1,1588.5,1917.1,Myz_max/UW,1,0.27,
1.00_4.50_4200_31_200_475,263,1.0,4.5,4200.0,31.0,200.0,475.0,2.375,60,3597.0,4790.0,618.5735,598.61875,504.83475,93.7,86.91,2.173,6.00758,171.673,31323.7,85608.5,148255.8,2009.9,1675.5,2009.9,Myz_max/UW,1,0.24,
1.00_5.00_4200_27_140_325,265,1.0,5.0,4200.0,27.0,140.0,325.0,2.321,86,3799.0,4591.0,423.2345,409.58125000000007,345.41325,64.11,59.46,2.124,6.11449,171.613,14200.0,105043.0,133443.0,2256.8,1892.3,2256.8,Myz_max/UW,0,0.32,
1.00_5.00_4500_19_200_475,268,1.0,5.0,4500.0,19.0,200.0,475.0,2.375,65,3969.0,5018.0,618.5735,598.61875,504.83475,93.7,86.91,2.173,5.53088,171.34,29230.9,114654.4,173116.2,1909.6,1629.3,1909.6,Myz_max/UW,1,0.28,
1.00_4.50_4200_31_170_400,272,1.0,4.5,4200.0,31.0,170.0,400.0,2.353,71,3690.0,4698.0,520.904,504.1000000000001,425.1240000000001,78.9,73.19,2.153,6.00293,171.071,22305.0,90092.5,134702.4,2128.0,1784.6,2128.0,Myz_max/UW,0,0.31,
1.00_5.00_3900_31_230_550,274,1.0,5.0,3900.0,31.0,230.0,550.0,2.391,49,3203.0,4582.0,716.243,693.1375,584.5455000000001,108.49,100.63,2.188,6.33273,170.953,39005.9,74669.4,152681.1,1993.9,1590.5,1993.9,Myz_max/UW,1,0.25,
1.00_5.00_4500_19_230_550,276,1.0,5.0,4500.0,19.0,230.0,550.0,2.391,56,3886.0,5098.0,716.243,693.1375,584.5455000000001,108.49,100.63,2.188,5.53496,170.924,39020.7,109909.2,187950.5,1824.5,1549.4,1824.5,Myz_max/UW,1,0.25,
1.00_4.50_4500_27_110_250,278,1.0,4.5,4500.0,27.0,110.0,250.0,2.273,118,4190.0,4803.0,325.565,315.0625,265.7025,49.31,45.74,2.079,5.76322,170.89,9065.4,116161.9,134292.8,2435.3,2085.4,2435.3,Myz_max/UW,0,0.36,
1.00_4.00_4500_31_140_325,283,1.0,4.0,4500.0,31.0,140.0,325.0,2.321,92,4083.9999999999995,4906.0,423.2345,409.58125000000007,345.41325,64.11,59.46,2.124,5.67859,170.546,15820.0,99323.0,130963.1,2245.3,1926.9,2245.3,Myz_max/UW,0,0.34,
1.00_5.00_4200_27_110_250,307,1.0,5.0,4200.0,27.0,110.0,250.0,2.273,110,3890.0,4503.0,325.565,315.0625,265.7025,49.31,45.74,2.079,6.11046,168.85,8457.1,110135.6,127049.8,2486.7,2094.8,2486.7,Myz_max/UW,0,0.34,
1.00_5.00_3900_31_200_475,310,1.0,5.0,3900.0,31.0,200.0,475.0,2.375,56,3297.0,4490.0,618.5735,598.61875,504.83475,93.7,86.91,2.173,6.32773,168.733,29105.0,79116.4,137326.3,2091.3,1684.9,2091.3,Myz_max/UW,1,0.26,
1.00_5.00_4500_19_170_400,312,1.0,5.0,4500.0,19.0,170.0,400.0,2.353,76,4051.0,4937.0,520.904,504.1000000000001,425.1240000000001,78.9,73.19,2.153,5.52693,168.704,20766.2,119440.9,160973.3,2031.4,1741.6,2031.4,Myz_max/UW,1,0.26,
1.00_4.50_4200_31_140_325,319,1.0,4.5,4200.0,31.0,140.0,325.0,2.321,86,3784.0,4606.0,423.2345,409.58125000000007,345.41325,64.11,59.46,2.124,5.99851,168.36,14766.2,94741.0,124273.4,2298.0,1936.3,2298.0,Myz_max/UW,0,0.36,
1.00_4.00_4500_31_110_250,322,1.0,4.0,4500.0,31.0,110.0,250.0,2.273,118,4178.0,4815.0,325.565,315.0625,265.7025,49.31,45.74,2.079,5.67447,168.264,9439.6,103947.8,122826.9,2478.7,2130.0,2478.7,Myz_max/UW,0,0.36,
1.00_5.00_3900_31_170_400,327,1.0,5.0,3900.0,31.0,170.0,400.0,2.353,66,3390.0,4398.0,520.904,504.1000000000001,425.1240000000001,78.9,73.19,2.153,6.32297,167.465,20710.1,83642.7,125062.8,2208.5,1798.0,2208.5,Myz_max/UW,0,0.29,
1.00_5.00_4500_27_230_475,330,1.0,5.0,4500.0,27.0,230.0,475.0,2.065,56,3892.0,5094.0,618.5735,598.61875,504.83475,93.7,86.91,1.889,6.27706,167.39,33222.7,110248.9,176694.2,1880.5,1580.9,1880.5,Myz_max/UW,1,0.25,
1.00_4.50_4500_23_200_475,338,1.0,4.5,4500.0,23.0,200.0,475.0,2.375,65,3943.0,5044.0,618.5735,598.61875,504.83475,93.7,86.91,2.173,5.39223,167.038,30858.8,102870.1,164587.8,1938.3,1661.9,1938.3,Myz_max/UW,1,0.27,
1.00_4.50_4500_23_230_550,344,1.0,4.5,4500.0,23.0,230.0,550.0,2.391,56,3856.0,5128.0,716.243,693.1375,584.5455000000001,108.49,100.63,2.188,5.39652,166.632,41199.3,98380.7,180779.2,1850.7,1579.9,1850.7,Myz_max/UW,1,0.26,
1.00_5.00_4500_19_140_325,352,1.0,5.0,4500.0,19.0,140.0,325.0,2.321,92,4134.0,4857.0,423.2345,409.58125000000007,345.41325,64.11,59.46,2.124,5.5231,165.929,13760.4,124385.4,151906.2,2193.6,1887.5,2193.6,Myz_max/UW,0,0.32,
1.00_4.50_4200_31_110_250,358,1.0,4.5,4200.0,31.0,110.0,250.0,2.273,110,3878.0,4515.0,325.565,315.0625,265.7025,49.31,45.74,2.079,5.99433,165.649,8806.3,99506.5,117119.1,2534.8,2143.7,2534.8,Myz_max/UW,0,0.35,
1.00_5.00_4500_31_170_325,360,1.0,5.0,4500.0,31.0,170.0,325.0,1.912,76,4059.0,4932.0,423.2345,409.58125000000007,345.41325,64.11,59.46,1.749,6.67978,165.586,16424.4,119913.1,152761.9,2138.9,1794.9,2138.9,Myz_max/UW,0,0.29,
1.00_5.00_4200_23_230_550,367,1.0,5.0,4200.0,23.0,230.0,550.0,2.391,52,3556.0,4828.0,716.243,693.1375,584.5455000000001,108.49,100.63,2.188,5.7695,165.388,38402.1,92034.8,168838.9,1903.2,1581.0,1903.2,Myz_max/UW,1,0.24,
1.00_4.50_4500_31_230_475,373,1.0,4.5,4500.0,31.0,230.0,475.0,2.065,56,3871.0,5116.0,618.5735,598.61875,504.83475,93.7,86.91,1.889,6.18911,165.023,34464.8,99147.6,168077.2,1909.7,1611.7,1909.7,Myz_max/UW,1,0.26,
1.00_5.00_3900_31_140_325,376,1.0,5.0,3900.0,31.0,140.0,325.0,2.321,80,3484.0,4306.0,423.2345,409.58125000000007,345.41325,64.11,59.46,2.124,6.31846,164.927,13712.3,88345.6,115770.2,2374.9,1951.7,2374.9,Myz_max/UW,0,0.37,
1.00_5.00_4200_23_200_475,379,1.0,5.0,4200.0,23.0,200.0,475.0,2.375,60,3643.0,4744.0,618.5735,598.61875,504.83475,93.7,86.91,2.173,5.76514,164.81,28730.4,96593.3,154054.0,1993.1,1667.0,1993.1,Myz_max/UW,1,0.27,
1.00_4.50_4500_23_170_400,386,1.0,4.5,4500.0,23.0,170.0,400.0,2.353,76,4029.0,4959.0,520.904,504.1000000000001,425.1240000000001,78.9,73.19,2.153,5.38809,164.468,21923.5,107406.4,151253.4,2063.8,1777.2,2063.8,Myz_max/UW,1,0.28,
1.00_5.00_4200_23_170_400,392,1.0,5.0,4200.0,23.0,170.0,400.0,2.353,71,3729.0,4659.0,520.904,504.1000000000001,425.1240000000001,78.9,73.19,2.153,5.76093,164.231,20460.4,101207.6,142128.3,2107.3,1774.6,2107.3,Myz_max/UW,0,0.27,
1.00_5.00_4500_19_110_250,399,1.0,5.0,4500.0,19.0,110.0,250.0,2.273,118,4216.0,4777.0,325.565,315.0625,265.7025,49.31,45.74,2.079,5.5194,163.709,8227.5,129368.8,145823.8,2416.7,2085.1,2416.7,Myz_max/UW,0,0.34,
1.00_5.00_4500_27_200_400,401,1.0,5.0,4500.0,27.0,200.0,400.0,2.0,65,3982.0,5006.0,520.904,504.1000000000001,425.1240000000001,78.9,73.19,1.83,6.27254,163.614,23812.5,115406.7,163031.8,1989.6,1679.9,1989.6,Myz_max/UW,1,0.29,
1.00_4.00_4500_27_200_475,405,1.0,4.0,4500.0,27.0,200.0,475.0,2.375,65,3919.0,5068.0,618.5735,598.61875,504.83475,93.7,86.91,2.173,5.27569,163.417,32329.2,91459.5,156117.8,1967.9,1696.7,1967.9,Myz_max/UW,1,0.27,
1.00_4.00_4500_27_230_550,413,1.0,4.0,4500.0,27.0,230.0,550.0,2.391,56,3828.0,5156.0,716.243,693.1375,584.5455000000001,108.49,100.63,2.188,5.28021,163.02,43190.3,87261.4,173642.0,1877.4,1612.5,1877.4,Myz_max/UW,1,0.27,
1.00_4.50_4500_23_140_325,430,1.0,4.5,4500.0,23.0,140.0,325.0,2.321,92,4116.0,4875.0,423.2345,409.58125000000007,345.41325,64.11,59.46,2.124,5.3841,161.763,14527.5,112095.1,141150.0,2230.8,1927.0,2230.8,Myz_max/UW,0,0.35,
1.00_5.00_3900_31_110_250,432,1.0,5.0,3900.0,31.0,110.0,250.0,2.273,102,3578.0,4215.0,325.565,315.0625,265.7025,49.31,45.74,2.079,6.3142,161.756,8173.0,93177.1,109523.1,2615.0,2164.9,2615.0,Myz_max/UW,0,0.36,
1.00_5.00_4200_23_140_325,435,1.0,5.0,4200.0,23.0,140.0,325.0,2.321,86,3816.0,4575.0,423.2345,409.58125000000007,345.41325,64.11,59.46,2.124,5.75689,161.629,13560.0,105985.2,133105.1,2271.9,1924.6,2271.9,Myz_max/UW,0,0.35,
1.00_5.00_3900_27_230_550,441,1.0,5.0,3900.0,27.0,230.0,550.0,2.391,49,3228.0,4556.0,716.243,693.1375,584.5455000000001,108.49,100.63,2.188,5.97533,161.354,37475.5,75839.5,150790.4,2000.7,1611.6,2000.7,Myz_max/UW,1,0.23,
1.00_4.50_4200_27_230_550,443,1.0,4.5,4200.0,27.0,230.0,550.0,2.391,52,3528.0,4856.0,716.243,693.1375,584.5455000000001,108.49,100.63,2.188,5.62774,161.304,40260.3,82355.6,162876.1,1931.2,1616.4,1931.2,Myz_max/UW,1,0.26,
1.00_4.50_4500_31_200_400,445,1.0,4.5,4500.0,31.0,200.0,400.0,2.0,65,3965.0,5024.0,520.904,504.1000000000001,425.1240000000001,78.9,73.19,1.83,6.18434,161.301,24658.3,104021.3,153337.8,2022.1,1713.2,2022.1,Myz_max/UW,1,0.28,
1.00_5.00_4200_31_230_475,448,1.0,5.0,4200.0,31.0,230.0,475.0,2.065,52,3571.0,4816.0,618.5735,598.61875,504.83475,93.7,86.91,1.889,6.50931,161.133,32126.3,92812.9,157065.5,1968.7,1626.7,1968.7,Myz_max/UW,1,0.24,
1.00_4.00_4500_27_170_400,452,1.0,4.0,4500.0,27.0,170.0,400.0,2.353,76,4009.0000000000005,4979.0,520.904,504.1000000000001,425.1240000000001,78.9,73.19,2.153,5.27135,160.903,22951.7,95708.5,141611.9,2097.4,1815.0,2097.4,Myz_max/UW,1,0.3,
1.00_4.50_4200_27_200_475,458,1.0,4.5,4200.0,27.0,200.0,475.0,2.375,60,3619.0,4768.0,618.5735,598.61875,504.83475,93.7,86.91,2.173,5.62313,160.74,30102.6,86658.9,146864.1,2024.4,1704.6,2024.4,Myz_max/UW,1,0.25,
1.00_5.00_4500_15_200_475,460,1.0,5.0,4500.0,15.0,200.0,475.0,2.375,65,3996.0,4990.0,618.5735,598.61875,504.83475,93.7,86.91,2.173,5.18653,160.728,27478.0,116219.6,171175.6,1936.1,1669.6,1936.1,Myz_max/UW,1,0.25,
1.00_3.50_4500_31_200_475,462,1.0,3.5,4500.0,31.0,200.0,475.0,2.375,65,3897.0,5090.0,618.5735,598.61875,504.83475,93.7,86.91,2.173,5.18749,160.67,33637.1,80387.1,147661.4,1997.5,1732.2,1997.5,Myz_max/UW,1,0.29,
1.00_5.00_4500_15_230_550,471,1.0,5.0,4500.0,15.0,230.0,550.0,2.391,56,3919.0,5066.0,716.243,693.1375,584.5455000000001,108.49,100.63,2.188,5.19039,160.338,36625.3,111783.8,185034.4,1850.0,1587.7,1850.0,Myz_max/UW,1,0.26,
1.00_3.50_4500_31_230_550,475,1.0,3.5,4500.0,31.0,230.0,550.0,2.391,56,3803.0,5182.0,716.243,693.1375,584.5455000000001,108.49,100.63,2.188,5.19226,160.279,44954.4,76555.9,166464.7,1903.7,1645.9,1903.7,Myz_max/UW,1,0.26,
1.00_4.50_4200_27_170_400,479,1.0,4.5,4200.0,27.0,170.0,400.0,2.353,71,3709.0,4679.0,520.904,504.1000000000001,425.1240000000001,78.9,73.19,2.153,5.61871,160.176,21420.0,91022.7,133862.6,2143.0,1815.3,2143.0,Myz_max/UW,0,0.27,
1.00_4.50_4500_23_110_250,491,1.0,4.5,4500.0,23.0,110.0,250.0,2.273,118,4202.0,4790.0,325.565,315.0625,265.7025,49.31,45.74,2.079,5.38027,159.599,8668.9,116828.3,134166.0,2460.1,2129.0,2460.1,Myz_max/UW,0,0.32,
1.00_5.00_3900_27_200_475,501,1.0,5.0,3900.0,27.0,200.0,475.0,2.375,56,3319.0,4468.0,618.5735,598.61875,504.83475,93.7,86.91,2.173,5.97062,159.258,27970.9,80175.7,136117.5,2098.6,1707.4,2098.6,Myz_max/UW,1,0.26,
1.00_5.00_4200_23_110_250,505,1.0,5.0,4200.0,23.0,110.0,250.0,2.273,110,3902.0,4490.0,325.565,315.0625,265.7025,49.31,45.74,2.079,5.75301,159.027,8087.0,110816.1,126990.2,2502.6,2129.7,2502.6,Myz_max/UW,0,0.33,
1.00_4.00_4500_27_140_325,514,1.0,4.0,4500.0,27.0,140.0,325.0,2.321,92,4099.0,4891.0,423.2345,409.58125000000007,345.41325,64.11,59.46,2.124,5.26719,158.257,15213.5,100053.9,130480.8,2269.7,1968.9,2269.7,Myz_max/UW,0,0.33,
1.00_5.00_4500_15_170_400,516,1.0,5.0,4500.0,15.0,170.0,400.0,2.353,76,4074.0,4914.0,520.904,504.1000000000001,425.1240000000001,78.9,73.19,2.153,5.18275,158.255,19533.2,120801.0,159867.4,2059.5,1784.8,2059.5,Myz_max/UW,1,0.27,
1.00_3.50_4500_31_170_400,518,1.0,3.5,4500.0,31.0,170.0,400.0,2.353,76,3990.0,4998.0,520.904,504.1000000000001,425.1240000000001,78.9,73.19,2.153,5.18293,158.198,23899.8,84269.7,132069.3,2131.3,1853.7,2131.3,Myz_max/UW,0,0.3,
1.00_5.00_3900_27_170_400,521,1.0,5.0,3900.0,27.0,170.0,400.0,2.353,66,3409.0,4379.0,520.904,504.1000000000001,425.1240000000001,78.9,73.19,2.153,5.9661,158.061,19888.2,84582.9,124359.2,2216.0,1821.7,2216.0,Myz_max/UW,0,0.28,
1.00_4.00_4200_31_230_550,524,1.0,4.0,4200.0,31.0,230.0,550.0,2.391,52,3503.0,4882.0,716.243,693.1375,584.5455000000001,108.49,100.63,2.188,5.51246,157.975,41907.6,73073.3,156888.5,1959.3,1653.6,1959.3,Myz_max/UW,1,0.25,
1.00_4.50_4200_27_140_325,532,1.0,4.5,4200.0,27.0,140.0,325.0,2.321,86,3799.0,4591.0,423.2345,409.58125000000007,345.41325,64.11,59.46,2.124,5.61449,157.638,14200.0,95493.6,123893.6,2313.6,1969.9,2313.6,Myz_max/UW,0,0.33,
1.00_4.50_3900_31_230_550,534,1.0,4.5,3900.0,31.0,230.0,550.0,2.391,49,3203.0,4582.0,716.243,693.1375,584.5455000000001,108.49,100.63,2.188,5.83273,157.478,39005.9,67881.2,145893.0,2027.9,1651.2,2027.9,Myz_max/UW,1,0.25,
1.00_4.00_4200_31_200_475,538,1.0,4.0,4200.0,31.0,200.0,475.0,2.375,60,3597.0,4790.0,618.5735,598.61875,504.83475,93.7,86.91,2.173,5.50758,157.423,31323.7,77047.6,139695.0,2056.4,1744.4,2056.4,Myz_max/UW,1,0.28,
1.00_5.00_4500_23_230_475,545,1.0,5.0,4500.0,23.0,230.0,475.0,2.065,56,3915.0,5071.0,618.5735,598.61875,504.83475,93.7,86.91,1.889,5.89337,157.21,31852.6,111555.8,175261.0,1895.5,1609.6,1895.5,Myz_max/UW,1,0.26,
