rank,case,DLC,D30_UW,D30_DW,k
103,adin,DLC1.2-j-s6,8.817069220077507e-05,9.225661557177961e-06,0.54
103,adin,DLC1.2-k-s1,3.139032795232473e-05,9.154711012414534e-06,0.58
103,adin,DLC1.2-k-s2,2.4017780083827694e-05,6.7258598811614435e-06,0.6
103,adin,DLC1.2-k-s3,2.937574370721975e-05,9.982664704504045e-06,0.6
103,adin,DLC1.2-k-s4,3.876121722545935e-05,1.4029108352227793e-05,0.59
103,adin,DLC1.2-k-s5,2.9417391282402807e-05,1.3054074284839352e-05,0.5
103,adin,DLC1.2-k-s6,2.9823677288693278e-05,9.720132434659566e-06,0.56
103,adin,DLC2.4.1-a-s1,2.2753915249136614e-06,3.7610830022876007e-07,0.32
103,adin,DLC2.4.1-a-s2,2.5782037146022894e-06,4.2724405305622366e-07,0.37
103,adin,DLC2.4.1-a-s3,2.7460040984793384e-06,4.6232666025886115e-07,0.35
103,adin,DLC2.4.1-a-s4,2.702518556128594e-06,4.3027223392983026e-07,0.33
103,adin,DLC2.4.1-a-s5,2.652187039290631e-06,4.477291755580569e-07,0.38
103,adin,DLC2.4.1-a-s6,2.3025789068122433e-06,3.723735468689327e-07,0.32
103,adin,DLC2.4.1-b-s1,2.2723576710547847e-06,3.129408446398108e-07,0.63
103,adin,DLC2.4.1-b-s2,1.6631412280785156e-06,2.297667315708075e-07,0.51
103,adin,DLC2.4.1-b-s3,2.3652792594258965e-06,3.003825171255213e-07,0.41
103,adin,DLC2.4.1-b-s4,2.086041316154237e-06,2.718702397712346e-07,0.49
103,adin,DLC2.4.1-b-s5,2.901719596430453e-06,4.931155079184651e-07,0.52
103,adin,DLC2.4.1-b-s6,2.3235276211446614e-06,3.387182036584807e-07,0.38
103,adin,DLC2.4.2-a-s1,3.579538719748723e-06,2.881929048131701e-07,0.25
103,adin,DLC2.4.2-a-s2,2.4268749252756724e-06,1.8844734613843764e-07,0.19
103,adin,DLC2.4.2-a-s3,2.4993331412687206e-06,1.94402872422596e-07,0.24
103,adin,DLC2.4.2-a-s4,2.1828066758701754e-06,1.5499166361059496e-07,0.22
103,adin,DLC2.4.2-a-s5,2.685306679344336e-06,2.129332573289774e-07,0.26
103,adin,DLC2.4.2-a-s6,2.426204868138523e-06,1.6496042693698303e-07,0.22
103,adin,DLC2.4.2-b-s1,1.2138647852473173e-06,1.771657924556871e-07,0.37
103,adin,DLC2.4.2-b-s2,1.4945165962172063e-06,2.5177045868788806e-07,0.5
103,adin,DLC2.4.2-b-s3,1.677298808053486e-06,1.5597594143015882e-07,0.42
103,adin,DLC2.4.2-b-s4,1.3408320619986153e-06,1.4396820725274883e-07,0.42
103,adin,DLC2.4.2-b-s5,1.5693278194393756e-06,2.2600512563961564e-07,0.37
103,adin,DLC2.4.2-b-s6,1.2294172456068106e-06,1.7193445147173552e-07,0.29
103,adin,DLC4.1-a-y1,0.0007001881333757497,6.977629780163064e-05,0.16
103,adin,DLC4.1-a-y2,0.0006865136874022431,6.769046213275598e-05,0.16
103,adin,DLC4.1-a-y3,0.0006804798445756154,6.641408193993146e-05,0.16
103,adin,DLC4.1-b-y1,3.151458244361659e-05,2.732137138862227e-06,0.28
103,adin,DLC4.1-b-y2,2.8229174325146122e-05,2.233928490736214e-06,0.29
103,adin,DLC4.1-b-y3,2.752598646904541e-05,2.048964551197524e-06,0.28
103,adin,DLC4.1-c-y1,2.3475381608485962e-05,2.6454275565966184e-06,0.24
103,adin,DLC4.1-c-y2,1.703090641564112e-05,1.6979807619190285e-06,0.31
103,adin,DLC4.1-c-y3,2.1714356087114597e-05,2.5645269258089833e-06,0.48
103,adin,DLC6.4-a-s1,0.00035759716162810356,3.596257796079743e-05,3.0
103,adin,DLC6.4-a-s2,0.0005550054931082217,5.5813726386823936e-05,3.0
103,adin,DLC6.4-a-s3,0.0006032997706646314,6.07700370897595e-05,3.0
103,adin,DLC6.4-a-s4,0.0003826892999503469,3.855202630141222e-05,3.0
103,adin,DLC6.4-a-s5,0.0003908687075735087,3.930085931538225e-05,3.0
103,adin,DLC6.4-a-s6,0.00038300761406583354,3.85332679919829e-05,3.0
103,adin,DLC6.4-b-s1,2.6847197558445357e-05,2.7653998265924947e-06,0.29
103,adin,DLC6.4-b-s2,2.875570034994446e-05,2.9765596615292047e-06,0.28
103,adin,DLC6.4-b-s3,2.530704627472236e-05,2.540854881814832e-06,0.23
103,adin,DLC6.4-b-s4,3.2351238525779175e-05,3.6419754166524765e-06,0.4
103,adin,DLC6.4-b-s5,3.9801564793510646e-05,5.079987941696045e-06,0.51
103,adin,DLC6.4-b-s6,2.4788308316290766e-05,2.471096900154189e-06,0.25
210,off,DLC1.2-a-s1,0.014817153495487815,0.000415935428952948,0.17
210,off,DLC1.2-a-s2,0.014847500537043026,0.00042123736140018374,0.16
210,off,DLC1.2-a-s3,0.014933925484146567,0.00043278139905922883,0.16
210,off,DLC1.2-a-s4,0.015129029916644008,0.0004430221742819239,0.16
210,off,DLC1.2-a-s5,0.015336624590519396,0.0004754462857982237,0.18
210,off,DLC1.2-a-s6,0.014963621952249586,0.000429029142571658,0.17
210,off,DLC1.2-b-s1,0.013182182100858785,0.00038982946004449714,0.18
210,off,DLC1.2-b-s2,0.013073962676676544,0.00037111269272793854,0.18
210,off,DLC1.2-b-s3,0.012916292387976985,0.00037373789946409475,0.18
210,off,DLC1.2-b-s4,0.012893534492593232,0.0003683108680585626,0.18
210,off,DLC1.2-b-s5,0.013388946512336148,0.0004280037365414589,0.18
210,off,DLC1.2-b-s6,0.012789616403648688,0.0003671082517487706,0.18
210,off,DLC1.2-c-s1,0.009374908658536678,0.0005001653238488928,0.17
210,off,DLC1.2-c-s2,0.00957390825946388,0.0004921502441689558,0.19
210,off,DLC1.2-c-s3,0.009376409815680553,0.0004286287016881013,0.18
210,off,DLC1.2-c-s4,0.009026392117326946,0.0004911094918940972,0.19
210,off,DLC1.2-c-s5,0.009267874864618676,0.0005076821957184401,0.17
210,off,DLC1.2-c-s6,0.009699813619358871,0.0005792764566693155,0.18
210,off,DLC1.2-d-s1,0.011623316102478602,0.0007077070541315973,0.18
210,off,DLC1.2-d-s2,0.011210023830243202,0.0005642556480246,0.18
210,off,DLC1.2-d-s3,0.010958646790364705,0.0005891808208095669,0.17
210,off,DLC1.2-d-s4,0.010866379532235779,0.0005822162534216209,0.18
210,off,DLC1.2-d-s5,0.011526670196164532,0.0007283819262565134,0.19
210,off,DLC1.2-d-s6,0.010781115351451317,0.0006038932317114342,0.18
210,off,DLC1.2-e-s1,0.008044258738209516,0.00047216265085315575,0.21
210,off,DLC1.2-e-s2,0.00795012996279336,0.0004746133884934862,0.21
210,off,DLC1.2-e-s3,0.006664957982871061,0.00032763237377782,0.19
210,off,DLC1.2-e-s4,0.0075654153157481,0.0004055738692847912,0.21
210,off,DLC1.2-e-s5,0.007512852069105197,0.0004909973264459191,0.2
210,off,DLC1.2-e-s6,0.00741432766030226,0.00039577045681137544,0.2
210,off,DLC1.2-f-s1,0.0032352337674414477,0.00017475321721618822,0.25
210,off,DLC1.2-f-s2,0.0030730718366606315,0.00013687373117089702,0.25
210,off,DLC1.2-f-s3,0.0034723727684547435,0.00024824520189762765,0.25
210,off,DLC1.2-f-s4,0.0033200765920969166,0.00019826485290231632,0.25
210,off,DLC1.2-f-s5,0.00339588842036593,0.00021195488525360806,0.24
210,off,DLC1.2-f-s6,0.0033355031929053827,0.0001890006987557447,0.27
210,off,DLC1.2-g-s1,0.0013969662524041934,8.645063350405709e-05,0.29
210,off,DLC1.2-g-s2,0.0014703308650872516,0.00010441769806100334,0.28
210,off,DLC1.2-g-s3,0.0013601713048443799,7.145609853588234e-05,0.29
210,off,DLC1.2-g-s4,0.0015139437972719477,9.291167662157869e-05,0.29
210,off,DLC1.2-g-s5,0.0014512962741642594,8.152132704152181e-05,0.32
210,off,DLC1.2-g-s6,0.00149291859753764,0.00010124107607257356,0.31
210,off,DLC1.2-h-s1,0.0007037020339369863,7.010035013615054e-05,0.37
210,off,DLC1.2-h-s2,0.0006553068449067088,4.289666587986153e-05,0.4
210,off,DLC1.2-h-s3,0.00063682356005512,4.5209538708007985e-05,0.36
