gen,n_front,hv,f1_min,f2_min,budget,masta,cache_hit,geom_out,edge,t_s
83,60,2902.5589,13.6777,133.5235,18592,17318,1274,1,5,5149.6
84,62,2902.6607,13.6777,133.5235,18816,17534,1282,1,5,5214.2
85,65,2902.6838,13.6777,133.5235,19040,17753,1287,1,5,5280.2
86,67,2902.7698,13.6777,133.5235,19264,17974,1290,1,5,5346.4
87,68,2902.7842,13.6777,133.5235,19488,18193,1295,1,6,5412.6
88,67,2903.5635,13.6777,133.5235,19712,18414,1298,1,6,5479.0
89,68,2903.5641,13.6777,133.5235,19936,18632,1304,1,6,5545.4
90,70,2903.5949,13.6777,133.5235,20160,18851,1309,1,6,5612.2
91,68,2903.8385,13.6777,133.5235,20384,19072,1312,1,6,5679.1
92,68,2903.999,13.6777,133.5235,20608,19292,1316,1,6,5746.0
93,69,2904.2843,13.6777,133.5235,20832,19509,1323,1,6,5812.1
94,69,2904.4879,13.6777,133.5235,21056,19727,1329,1,6,5878.8
95,69,2904.5259,13.6777,133.5235,21280,19949,1331,1,6,5946.7
96,70,2904.8604,13.6777,133.5235,21504,20171,1333,1,6,6014.3
97,69,2925.6735,13.4226,133.5235,21728,20390,1338,1,6,6080.8
98,70,2925.6991,13.4226,133.5235,21952,20609,1343,1,6,6147.8
99,71,2925.8547,13.4226,133.5235,22176,20832,1344,1,6,6215.9
100,73,2925.8547,13.4226,133.5235,22400,21051,1349,1,6,6282.5
101,75,2925.944,13.4226,133.5235,22624,21272,1352,1,6,6349.9
102,75,2925.944,13.4226,133.5235,22848,21492,1356,1,6,6417.1
103,63,2926.2618,13.4226,133.5235,23072,21713,1359,1,6,6484.7
104,65,2926.2723,13.4226,133.5235,23296,21935,1361,1,6,6552.0
105,64,2926.7118,13.4226,133.5235,23520,22154,1366,1,6,6618.1
106,65,2926.7397,13.4226,133.5235,23744,22377,1367,1,6,6685.4
107,65,2926.7397,13.4226,133.5235,23968,22600,1368,1,6,6752.4
108,67,2926.8702,13.4226,133.5235,24192,22819,1373,1,6,6818.9
109,67,2926.8702,13.4226,133.5235,24416,23040,1376,1,6,6885.2
110,68,2926.8702,13.4226,133.5235,24640,23262,1378,1,6,6952.6
111,71,2927.2408,13.4226,133.4723,24864,23482,1382,1,6,7019.3
112,74,2927.4571,13.4226,133.4723,25088,23700,1388,1,6,7085.7
113,78,2927.5502,13.4226,133.4723,25312,23916,1396,1,6,7151.0
114,78,2927.6244,13.4226,133.4723,25536,24138,1398,1,6,7219.1
115,78,2927.6244,13.4226,133.4723,25760,24361,1399,1,6,7287.1
116,80,2927.672,13.4226,133.4723,25984,24581,1403,1,6,7353.8
117,82,2927.672,13.4226,133.4723,26208,24798,1410,1,6,7420.3
118,84,2927.7841,13.4226,133.4723,26432,25016,1416,1,6,7486.2
119,85,2927.7841,13.4226,133.4723,26656,25238,1418,1,6,7553.2
120,86,2927.8975,13.4226,133.4723,26880,25459,1421,1,6,7620.4
121,86,2927.8975,13.4226,133.4723,27104,25681,1423,1,6,7687.9
122,86,2927.8975,13.4226,133.4723,27328,25903,1425,1,6,7755.5
123,83,2928.1084,13.4226,133.4723,27552,26124,1428,1,6,7822.3
124,83,2928.1084,13.4226,133.4723,27776,26345,1431,1,6,7889.4
125,84,2928.21,13.4226,133.4723,28000,26567,1433,1,6,7957.3
126,89,2928.2238,13.4226,133.4723,28224,26784,1440,1,6,8023.1
127,90,2928.2238,13.4226,133.4723,28448,27004,1444,1,6,8090.3
128,88,2928.6103,13.4226,133.4723,28672,27224,1448,1,6,8157.3
129,88,2928.6103,13.4226,133.4723,28896,27445,1451,1,6,8224.0
130,91,2928.6104,13.4226,133.4723,29120,27662,1458,1,6,8290.1
131,94,2928.6104,13.4226,133.4723,29344,27881,1463,1,6,8356.5
132,94,2928.6104,13.4226,133.4723,29568,28102,1466,1,6,8423.6
133,96,2928.7808,13.4226,133.4723,29792,28322,1470,1,6,8490.5
134,94,2928.7872,13.4226,133.4723,30016,28542,1474,1,6,8557.5
135,94,2928.7872,13.4226,133.4723,30240,28761,1479,1,6,8623.6
136,96,2928.7872,13.4226,133.4723,30464,28980,1484,1,6,8690.2
137,94,2929.0269,13.4226,133.4723,30688,29197,1491,1,6,8756.3
138,94,2929.0269,13.4226,133.4723,30912,29420,1492,1,6,8823.7
139,96,2929.0448,13.4226,133.4723,31136,29634,1502,1,6,8888.3
140,97,2929.0758,13.4226,133.4723,31360,29853,1507,1,6,8954.9
141,97,2929.1335,13.4226,133.4723,31584,30072,1512,1,6,9021.6
142,98,2929.1335,13.4226,133.4723,31808,30290,1518,1,6,9087.7
143,99,2929.1335,13.4226,133.4723,32032,30509,1523,1,6,9153.5
144,97,2929.1348,13.4226,133.4723,32256,30728,1528,1,6,9220.3
145,100,2929.1348,13.4226,133.4723,32480,30946,1534,1,6,9286.3
146,101,2929.1349,13.4226,133.4723,32704,31170,1534,1,6,9354.4
147,103,2929.2894,13.4226,133.4723,32928,31391,1537,1,6,9421.1
148,106,2929.2894,13.4226,133.4723,33152,31608,1544,1,6,9486.5
149,107,2929.2894,13.4226,133.4723,33376,31825,1551,1,6,9552.3
150,111,2929.4617,13.4226,133.4723,33600,32047,1553,1,6,9619.7
