subset,rank_pareto,key,z1,z2,D_pw_mm,alpha,D_we_mm,L_we_mm,slenderness,Z,bore_mm,D_mm,T_mm,B_mm,C_mm,L_eff_m,mass_brg_kg,mass_shaft_kg,mass_total_kg,sigma_max_MPa,feasible,warn,t_s
z1>=1.0,40,1.00_6.00_3916.0_17_197.70_422.50,1.0,6.0,3916.0,17.0,197.7,422.5,2.1371,57,3437.0,4383.0,550.0,532.0,449.0,6.17667,20097.1,101664.4,141858.6,2100.0,1,,0.29
z1>=1.0,41,1.00_6.00_3891.0_16_183.70_438.50,1.0,6.0,3891.0,16.0,183.7,438.5,2.387,61,3420.0,4349.0,571.0,553.0,466.0,6.09462,20541.7,100648.9,141732.3,2099.9,1,,0.28
z1>=1.0,42,1.00_6.00_3892.0_18_199.10_432.00,1.0,6.0,3892.0,18.0,199.1,432.0,2.1698,56,3399.0,4373.0,563.0,544.0,459.0,6.24526,21082.0,99514.2,141678.2,2098.1,1,,0.26
z1>=1.0,43,1.00_5.00_4178.0_28_179.70_397.30,1.0,5.0,4178.0,28.0,179.7,397.3,2.2109,67,3676.0,4668.0,517.0,501.0,422.0,6.19996,21508.1,98535.5,141551.8,2097.7,1,,0.29
z1>=1.0,44,1.00_5.50_3986.0_17_198.30_435.30,1.0,5.5,3986.0,17.0,198.3,435.3,2.1952,58,3497.0,4462.0,567.0,549.0,463.0,5.69804,21583.6,97176.9,140344.1,2099.0,1,,0.27
z1>=1.0,45,1.00_5.50_3966.0_17_197.60_441.00,1.0,5.5,3966.0,17.0,197.6,441.0,2.2318,58,3474.0,4445.0,574.0,556.0,469.0,5.69192,21924.1,96047.0,139895.2,2098.1,1,,0.27
z1>=1.0,46,1.00_5.00_4131.0_28_189.10_405.20,1.0,5.0,4131.0,28.0,189.1,405.2,2.1428,63,3614.0,4637.0,528.0,511.0,431.0,6.17643,22309.3,95265.1,139883.7,2099.0,1,,0.3
z1>=1.0,47,1.00_5.00_4131.0_29_188.90_404.90,1.0,5.0,4131.0,29.0,188.9,404.9,2.1435,63,3610.0,4641.0,527.0,510.0,430.0,6.26997,22449.4,94937.9,139836.7,2098.2,1,,0.28
z1>=1.0,48,1.00_5.50_3947.0_18_199.10_446.20,1.0,5.5,3947.0,18.0,199.1,446.2,2.2411,57,3444.0,4437.0,581.0,562.0,474.0,5.76309,22593.3,94271.0,139457.6,2097.7,1,,0.27
z1>=1.0,49,1.00_5.50_3966.0_26_197.60_420.40,1.0,5.5,3966.0,26.0,197.6,420.4,2.1275,58,3438.0,4482.0,547.0,530.0,447.0,6.41446,22615.6,93873.1,139104.2,2099.6,1,,0.26
z1>=1.0,50,1.00_5.50_3940.0_21_199.50_437.90,1.0,5.5,3940.0,21.0,199.5,437.9,2.195,57,3424.0,4443.0,570.0,552.0,465.0,5.99264,22792.2,93244.8,138829.2,2097.0,1,,0.27
z1>=1.0,51,1.00_5.50_3933.0_18_214.00_444.00,1.0,5.5,3933.0,18.0,214.0,444.0,2.0748,53,3417.0,4436.0,578.0,560.0,472.0,5.75802,22833.0,92820.2,138486.1,2098.7,1,,0.27
z1>=1.0,52,1.00_5.50_3920.0_19_213.30_444.60,1.0,5.5,3920.0,19.0,213.3,444.6,2.0844,53,3398.0,4429.0,579.0,560.0,473.0,5.83108,23105.3,91830.6,138041.2,2099.3,1,,0.28
z1>=1.0,53,1.00_5.50_3902.0_18_216.20_455.70,1.0,5.5,3902.0,18.0,216.2,455.7,2.1078,52,3376.0,4415.0,593.0,574.0,484.0,5.74905,23721.2,90541.0,137983.3,2098.2,1,,0.25
z1>=1.0,54,1.00_5.50_3894.0_21_208.40_452.20,1.0,5.5,3894.0,21.0,208.4,452.2,2.1699,54,3359.0,4416.0,589.0,570.0,481.0,5.97636,24115.2,89620.2,137850.6,2095.3,1,,0.27
z1>=1.0,55,1.00_4.50_4177.0_27_179.30_430.30,1.0,4.5,4177.0,27.0,179.3,430.3,2.3999,67,3652.0,4689.0,560.0,542.0,457.0,5.60858,24532.6,88363.4,137428.6,2096.5,1,,0.29
z1>=1.0,56,1.00_4.50_4164.0_25_184.30_437.10,1.0,4.5,4164.0,25.0,184.3,437.1,2.3717,65,3640.0,4676.0,569.0,551.0,465.0,5.42188,24757.8,87858.0,137373.5,2099.8,1,,0.28
z1>=1.0,57,1.00_4.50_4153.0_25_184.60_437.90,1.0,4.5,4153.0,25.0,184.6,437.9,2.3722,65,3628.0,4665.0,570.0,552.0,465.0,5.41677,24772.5,87157.3,136702.3,2099.3,1,,0.27
z1>=1.0,58,1.00_4.50_4119.0_25_188.00_449.50,1.0,4.5,4119.0,25.0,188.0,449.5,2.391,63,3581.0,4644.0,585.0,566.0,478.0,5.40208,25847.1,84989.3,136683.5,2096.4,1,,0.26
z1>=1.0,59,1.00_4.00_4265.0_30_183.70_430.30,1.0,4.0,4265.0,30.0,183.7,430.3,2.3424,67,3721.0,4797.0,560.0,542.0,457.0,5.44332,25985.4,82575.8,134546.5,2099.7,1,,0.3
z1>=1.0,60,1.00_4.00_4230.0_29_184.60_442.70,1.0,4.0,4230.0,29.0,184.6,442.7,2.3982,66,3679.0,4768.0,577.0,558.0,471.0,5.32654,26911.4,80689.8,134512.5,2099.2,1,,0.34
z1>=1.0,61,1.00_4.50_3992.0_30_229.20_466.00,1.0,4.5,3992.0,30.0,229.2,466.0,2.0332,50,3377.0,4594.0,607.0,587.0,495.0,5.79053,29263.3,75474.5,134001.0,2099.6,1,,0.25
z1>=1.0,62,1.00_4.50_3987.0_30_229.70_466.40,1.0,4.5,3987.0,30.0,229.7,466.4,2.0305,50,3371.0,4590.0,607.0,588.0,496.0,5.78668,29308.0,75332.3,133948.2,2098.2,1,,0.26
z1>=1.0,63,1.00_3.00_4498.0_30_198.90_458.80,1.0,3.0,4498.0,30.0,198.9,458.8,2.3067,65,3915.0,5068.0,597.0,578.0,488.0,4.57933,31232.7,71058.2,133523.5,2099.7,1,,0.28
z1>=1.0,64,1.00_3.00_4414.0_30_198.90_478.10,1.0,3.0,4414.0,30.0,198.9,478.1,2.4037,64,3814.0,5000.0,623.0,603.0,508.0,4.53192,33046.7,67378.8,133472.3,2093.1,1,,0.28
z1>=1.5,1,1.50_6.00_4493.0_25_146.80_335.90,1.5,6.0,4493.0,25.0,146.8,335.9,2.2881,88,4086.0,4891.0,437.0,423.0,357.0,6.56981,15907.4,143856.9,175671.8,2098.2,1,,0.35
z1>=1.5,2,1.50_6.00_4451.0_23_147.80_342.30,1.5,6.0,4451.0,23.0,147.8,342.3,2.316,87,4046.0,4846.0,446.0,431.0,364.0,6.36488,15974.5,140937.5,172886.4,2098.9,1,,0.34
z1>=1.5,3,1.50_6.00_4423.0_15_165.50_368.40,1.5,6.0,4423.0,15.0,165.5,368.4,2.226,77,4023.0,4813.0,480.0,464.0,392.0,5.66126,16566.1,139236.9,172369.0,2091.2,1,,0.29
z1>=1.5,4,1.50_6.00_4417.0_16_160.60_367.40,1.5,6.0,4417.0,16.0,160.6,367.4,2.2877,79,4016.0,4807.0,478.0,463.0,390.0,5.74169,16575.9,138979.9,172131.7,2092.8,1,,0.32
z1>=1.5,5,1.50_6.00_4381.0_16_163.70_368.70,1.5,6.0,4381.0,16.0,163.7,368.7,2.2523,77,3976.0,4775.0,480.0,465.0,392.0,5.73144,16657.8,136110.7,169426.3,2098.7,1,,0.3
z1>=1.5,6,1.50_6.00_4344.0_15_158.00_379.60,1.5,6.0,4344.0,15.0,158.0,379.6,2.4025,79,3944.0,4734.0,494.0,478.0,403.0,5.63998,16858.2,133836.8,167553.2,2098.8,1,,0.33
z1>=1.5,7,1.50_6.00_4364.0_23_160.90_356.50,1.5,6.0,4364.0,23.0,160.9,356.5,2.2157,78,3936.0,4782.0,464.0,449.0,379.0,6.32836,17138.6,133271.4,167548.5,2097.2,1,,0.3
z1>=1.5,8,1.50_6.00_4348.0_24_158.40_358.00,1.5,6.0,4348.0,24.0,158.4,358.0,2.2601,79,3917.0,4769.0,466.0,451.0,380.0,6.41186,17322.2,132036.7,166681.1,2096.6,1,,0.33
z1>=1.5,9,1.50_6.00_4331.0_21_153.90_369.80,1.5,6.0,4331.0,21.0,153.9,369.8,2.4029,81,3909.0,4743.0,482.0,466.0,393.0,6.13906,17507.5,131475.0,166490.1,2089.4,1,,0.35
z1>=1.5,10,1.50_6.00_4281.0_18_159.50_381.80,1.5,6.0,4281.0,18.0,159.5,381.8,2.3937,77,3861.0,4690.0,497.0,481.0,406.0,5.86736,17638.5,128402.4,163679.5,2098.6,1,,0.31
z1>=1.5,11,1.50_6.00_4286.0_20_171.00_376.00,1.5,6.0,4286.0,20.0,171.0,376.0,2.1988,72,3848.0,4713.0,490.0,474.0,400.0,6.03689,18071.7,127401.3,163544.6,2094.5,1,,0.28
z1>=1.5,12,1.50_6.00_4233.0_16_165.70_397.80,1.5,6.0,4233.0,16.0,165.7,397.8,2.4007,73,3807.0,4648.0,518.0,501.0,423.0,5.6911,18347.9,124888.4,161584.3,2099.7,1,,0.29
z1>=1.5,13,1.50_6.00_4250.0_24_169.70_374.20,1.5,6.0,4250.0,24.0,169.7,374.2,2.2051,72,3795.0,4694.0,487.0,472.0,398.0,6.36865,18621.7,123935.8,161179.3,2095.5,1,,0.28
z1>=1.5,14,1.50_6.00_4183.0_17_179.70_398.40,1.5,6.0,4183.0,17.0,179.7,398.4,2.217,67,3738.0,4617.0,519.0,502.0,423.0,5.75665,18896.7,120381.4,158174.7,2099.9,1,,0.29
z1>=1.5,15,1.50_6.00_4178.0_18_179.50_396.70,1.5,6.0,4178.0,18.0,179.5,396.7,2.21,67,3728.0,4617.0,517.0,500.0,422.0,5.83544,19050.0,119777.0,157877.0,2099.4,1,,0.28
z1>=1.5,16,1.50_6.00_4158.0_17_183.80_406.30,1.5,6.0,4158.0,17.0,183.8,406.3,2.2106,65,3703.0,4601.0,529.0,512.0,432.0,5.74913,19555.5,118142.0,157253.0,2097.6,1,,0.28
z1>=1.5,17,1.50_6.00_4141.0_15_174.60_421.70,1.5,6.0,4141.0,15.0,174.6,421.7,2.4152,68,3697.0,4573.0,549.0,531.0,448.0,5.58799,19783.2,117678.3,157244.7,2094.4,1,,0.31
z1>=1.5,18,1.50_6.00_4131.0_17_189.20_414.40,1.5,6.0,4131.0,17.0,189.2,414.4,2.1903,63,3666.0,4585.0,540.0,522.0,440.0,5.74203,20276.8,115856.6,156410.1,2088.2,1,,0.26
z1>=1.5,19,1.50_6.00_4127.0_22_188.90_399.50,1.5,6.0,4127.0,22.0,188.9,399.5,2.1149,63,3645.0,4598.0,520.0,503.0,425.0,6.14628,20328.5,114381.9,155038.9,2093.8,1,,0.29
z1>=1.5,20,1.50_6.00_4103.0_15_197.60_420.70,1.5,6.0,4103.0,15.0,197.6,420.7,2.129,60,3637.0,4557.0,548.0,530.0,447.0,5.57835,20333.6,113859.2,154526.4,2098.0,1,,0.28
z1>=1.5,21,1.50_6.00_4050.0_15_190.60_438.80,1.5,6.0,4050.0,15.0,190.6,438.8,2.3022,61,3579.0,4508.0,571.0,553.0,466.0,5.56401,21250.8,110420.7,152922.3,2097.8,1,,0.27
z1>=1.5,22,1.50_6.00_4041.0_15_190.60_442.70,1.5,6.0,4041.0,15.0,190.6,442.7,2.3227,61,3568.0,4502.0,577.0,558.0,471.0,5.5626,21555.7,109557.6,152669.1,2094.4,1,,0.26
z1>=1.5,23,1.50_5.50_4186.0_28_188.90_400.20,1.5,5.5,4186.0,28.0,188.9,400.2,2.1186,64,3674.0,4687.0,521.0,504.0,425.0,6.20561,22067.7,107192.2,151327.5,2099.9,1,,0.3
z1>=1.5,24,1.50_6.00_3996.0_17_195.20_443.80,1.5,6.0,3996.0,17.0,195.2,443.8,2.2736,59,3505.0,4475.0,578.0,559.0,472.0,5.702,22236.0,105777.7,150249.7,2097.0,1,,0.27
z1>=1.5,25,1.50_6.00_3988.0_17_198.60_447.50,1.5,6.0,3988.0,17.0,198.6,447.5,2.2533,58,3491.0,4473.0,583.0,564.0,476.0,5.69966,22650.0,104837.3,150137.3,2093.3,1,,0.27
z1>=1.5,26,1.50_6.00_3987.0_18_202.00_443.50,1.5,6.0,3987.0,18.0,202.0,443.5,2.1955,57,3483.0,4478.0,578.0,559.0,471.0,5.77614,22717.5,104582.4,150017.4,2092.4,1,,0.3
z1>=1.5,27,1.50_6.00_3985.0_25_191.70_430.70,1.5,6.0,3985.0,25.0,191.7,430.7,2.2467,60,3459.0,4498.0,561.0,543.0,458.0,6.33887,23295.6,103086.7,149677.9,2093.4,1,,0.26
z1>=1.5,28,1.50_6.00_3984.0_25_196.60_430.80,1.5,6.0,3984.0,25.0,196.6,430.8,2.1913,58,3454.0,4502.0,561.0,543.0,458.0,6.33862,23388.4,102685.1,149461.8,2098.9,1,,0.27
z1>=1.5,29,1.50_6.00_3966.0_26_197.60_428.70,1.5,6.0,3966.0,26.0,197.6,428.7,2.1695,58,3431.0,4489.0,558.0,540.0,456.0,6.41546,23424.4,101476.2,148325.0,2099.7,1,,0.26
z1>=1.5,30,1.50_6.00_3936.0_24_206.50_441.30,1.5,6.0,3936.0,24.0,206.5,441.3,2.137,55,3394.0,4466.0,575.0,556.0,469.0,6.23454,24164.6,99119.6,147448.9,2097.3,1,,0.28
z1>=1.5,31,1.50_5.00_4189.0_30_183.40_424.40,1.5,5.0,4189.0,30.0,183.4,424.4,2.3141,66,3650.0,4715.0,553.0,535.0,451.0,5.8995,24907.5,97143.3,146958.3,2098.4,1,,0.27
z1>=1.5,32,1.50_6.00_3896.0_24_216.20_455.60,1.5,6.0,3896.0,24.0,216.2,455.6,2.1073,52,3333.0,4445.0,593.0,574.0,484.0,6.21721,25552.6,95586.7,146691.8,2093.1,1,,0.27
z1>=1.5,33,1.50_6.00_3855.0_19_205.80_484.00,1.5,6.0,3855.0,19.0,205.8,484.0,2.3518,54,3312.0,4384.0,630.0,610.0,514.0,5.8095,26007.3,94481.0,146495.6,2097.7,1,,0.28
z1>=1.5,34,1.50_6.00_3864.0_27_206.40_462.90,1.5,6.0,3864.0,27.0,206.4,462.9,2.2427,54,3287.0,4427.0,603.0,583.0,492.0,6.45268,26651.3,93029.5,146332.2,2098.1,1,,0.27
z1>=1.5,35,1.50_5.50_3974.0_26_197.60_461.30,1.5,5.5,3974.0,26.0,197.6,461.3,2.3345,58,3412.0,4523.0,601.0,581.0,490.0,5.92135,26723.3,92454.1,145900.6,2095.2,1,,0.27
z1>=1.5,36,1.50_5.50_3949.0_26_216.60_469.00,1.5,5.5,3949.0,26.0,216.6,469.0,2.1653,52,3364.0,4521.0,611.0,591.0,498.0,5.91009,27815.0,89980.7,145610.6,2099.2,1,,0.25
z1>=1.5,37,1.50_5.00_4062.0_27_201.70_467.30,1.5,5.0,4062.0,27.0,201.7,467.3,2.3168,58,3486.0,4625.0,609.0,589.0,497.0,5.55309,28370.8,88573.7,145315.3,2094.0,1,,0.25
z1>=1.5,38,1.50_5.50_3919.0_25_213.30_480.70,1.5,5.5,3919.0,25.0,213.3,480.7,2.2536,53,3333.0,4491.0,626.0,606.0,511.0,5.81113,28479.5,88233.9,145192.8,2091.2,1,,0.28
z1>=1.5,39,1.50_5.50_3909.0_26_228.80_481.20,1.5,5.5,3909.0,26.0,228.8,481.2,2.1031,49,3303.0,4502.0,627.0,606.0,511.0,5.89227,29207.3,86746.9,145161.4,2092.0,1,,0.26
z1>=1.5,40,1.50_5.00_4036.0_30_229.90_467.90,1.5,5.0,4036.0,30.0,229.9,467.9,2.0352,50,3418.0,4640.0,609.0,590.0,497.0,5.8149,29772.3,85111.6,144656.2,2097.1,1,,0.26
z1>=1.5,41,1.50_5.00_3952.0_28_218.60_493.30,1.5,5.0,3952.0,28.0,218.6,493.3,2.2566,52,3333.0,4557.0,642.0,622.0,524.0,5.58596,31191.7,80881.0,143264.3,2099.2,1,,0.26
