bin,LoadCase,n_pts,rpm,rev,Fx_kN,Fy_kN,Fz_kN,Mx_kNm,My_kNm,Mz_kNm,MASTA_force_x_N,MASTA_force_y_N,MASTA_axial_N,MASTA_moment_x_Nm,MASTA_moment_y_Nm,MASTA_torque_Nm,P_UW_N,P_DW_N,L10_UW_cycles,L10_DW_cycles,dmg_UW,dmg_DW
10,DLC1.2-d-s1_b10,200,5.798744950000001,1.9329149833333334,3660.0197933858913,73.83721142948019,-5034.236490182709,31402.58,-16459.28746868665,15340.83667596575,5034236.490182709,73837.21142948019,3660019.7933858912,-15340836.675965749,-16459287.46868665,31402580.0,17121988.702142637,11030711.091645652,12180009.016844962,69879939.90597822,1.5869569395721386e-07,2.7660512958855205e-08
11,DLC1.2-d-s1_b11,200,5.33819165,1.7793972166666667,3218.1949262301005,57.75189005302852,-5048.287649131833,26448.147999999997,-18176.380744463768,20719.77781435191,5048287.649131833,57751.89005302852,3218194.9262301004,-20719777.81435191,-18176380.744463768,26448147.999999996,17384667.776232287,11934882.451079726,10804414.31611078,48051191.694884755,1.646916866204728e-07,3.703128172065899e-08
12,DLC1.2-d-s1_b12,200,5.136284000000001,1.712094666666667,2961.806578443306,29.57013962760042,-5032.19143620096,24555.617000000002,-13159.07699529153,16291.278783927224,5032191.436200961,29570.13962760042,2961806.578443306,-16291278.783927225,-13159076.995291531,24555617.000000004,16335538.056290187,11176001.197955742,13875861.888783235,62248713.40944297,1.233865456711316e-07,2.7504097239814546e-08
13,DLC1.2-d-s1_b13,200,4.96548025,1.6551600833333333,3024.808562274614,-35.86794808872445,-5002.580334531341,22750.642999999996,-15565.622933432913,4454.632000392462,5002580.334531341,-35867.94808872445,3024808.562274614,-4454632.000392462,-15565622.933432912,22750642.999999996,16178663.687555978,10517090.082685279,14242193.153996065,76208052.39866382,1.1621525318724733e-07,2.171896579477937e-08
14,DLC1.2-d-s1_b14,200,5.7355394,1.9118464666666668,4010.454300261168,-33.47519793375021,-4984.7073687683815,30563.358500000002,-23338.45548997199,1832.4788719370827,4984707.368768382,-33475.19793375021,4010454.3002611683,-1832478.8719370826,-23338455.48997199,30563358.500000004,17811587.74212877,10975079.062637191,10262840.770320637,70695115.60666658,1.8628823241568581e-07,2.7043543960007032e-08
15,DLC1.2-d-s1_b15,200,6.224888150000001,2.074962716666667,4070.517034957224,-31.23585640005752,-4974.519302398115,42261.263,-22381.38095628372,5394.34798145137,4974519.302398114,-31235.85640005752,4070517.034957224,-5394347.98145137,-22381380.95628372,42261263.0,17764868.85709415,10893039.00518408,10801141.153028082,76232765.31314541,1.921058791167593e-07,2.7218778016817722e-08
16,DLC1.2-d-s1_b16,200,5.8414708,1.9471569333333334,3805.042495672598,35.07408332939286,-5023.619879316511,32313.482999999997,-16179.478805672406,12217.231588855997,5023619.879316512,35074.083329392866,3805042.495672598,-12217231.588855997,-16179478.805672407,32313482.999999996,17026193.556069415,10663630.889901014,12567253.696294595,80462277.4419082,1.5493893736763228e-07,2.4199624907946873e-08
17,DLC1.2-d-s1_b17,200,5.417615100000001,1.8058717000000002,3305.522399402233,-47.03922397024486,-4998.186084066596,27227.694,-10959.453352191942,-1284.4743038205625,4998186.084066596,-47039.223970244864,3305522.3994022333,1284474.3038205625,-10959453.352191942,27227694.0,15739690.094827069,9720328.66845508,16705097.70699217,102491814.26690923,1.0810303128272788e-07,1.761966760874335e-08
18,DLC1.2-d-s1_b18,200,5.63821945,1.8794064833333335,3693.6784204684623,-29.458539948802994,-5004.284635712475,29337.7215,-17826.429502707288,4872.410289294015,5004284.6357124755,-29458.539948802994,3693678.420468462,-4872410.289294015,-17826429.502707288,29337721.5,16918650.04050921,10478542.937926782,12665023.72811103,84295986.8292393,1.4839344352445553e-07,2.2295325721027492e-08
19,DLC1.2-d-s1_b19,200,5.703427850000001,1.901142616666667,3655.264139430858,21.66000937558162,-5000.5292512939905,30142.038500000002,-20127.054790284375,6928.778269351708,5000529.251293991,21660.00937558162,3655264.139430858,-6928778.269351709,-20127054.790284377,30142038.500000004,17232497.2406938,10867883.994749814,11734353.508334083,73621842.56579304,1.6201511359926387e-07,2.5823078456202563e-08
