n,DLC,cum_D30_UW,life_UW_yr,life_Sys_yr,vs_final_Sys_pct,cum_contrib_UW_pct
27,DLC1.2-a-s6,4.790075153356535,6.262949753299421,5.350272979595637,33.39983727898912,75.63485849801611
28,DLC1.2-a-s3,4.913293416946551,6.105884068825672,5.20569553687211,29.79504787719891,77.58046386591344
29,DLC1.2-a-s2,5.036174237343254,5.956902717453631,5.069158358004643,26.39072859986196,79.52074103595162
30,DLC1.2-a-s1,5.1590462214874915,5.815028342845549,4.939606934716147,23.160587100193485,81.4608786823532
31,DLC1.2-f-s3,5.257773215681539,5.705837579780674,4.847404749297835,20.861684487471187,83.0197690957048
32,DLC1.2-f-s6,5.353756239407685,5.603542383789789,4.761475235278069,18.71918012714866,84.53533246064528
33,DLC1.2-f-s5,5.4483860326847635,5.506217771653949,4.679987132674842,16.687414707159643,86.02952843775704
34,DLC1.2-f-s4,5.542787540767148,5.412439098441045,4.6014923207428176,14.730281832087488,87.52011981205045
35,DLC1.2-f-s1,5.636941427779382,5.322035076000108,4.525627860853567,12.838732252639806,89.00680127178046
36,DLC1.2-f-s2,5.728123277996421,5.237317450069507,4.45491434493302,11.075612585063688,90.44655453617767
37,DLC1.2-g-s4,5.778982694489248,5.1912250972143505,4.415228923424445,10.086124984752098,91.24962017639652
38,DLC1.2-g-s6,5.829634884176809,5.14611988504255,4.3763144829415035,9.115860467777924,92.04941372388372
39,DLC1.2-g-s2,5.8796878974974724,5.102311640175437,4.338538452658612,8.173980247459745,92.83974633009657
40,DLC1.2-g-s1,5.928969649446643,5.059901091381018,4.302059434803015,7.264438797034201,93.61790078819477
41,DLC1.2-g-s5,5.978056906944544,5.018353031258338,4.266496932630804,6.377749085855178,94.39298419629284
42,DLC1.2-g-s3,6.026674113144801,4.977869955597382,4.232073712892592,5.51946541898265,95.16064553641787
43,DLC1.2-h-s1,6.0520911223591325,4.956964360494603,4.213405160807987,5.053997241972197,95.56197783994585
44,DLC1.2-h-s5,6.076512778309765,4.93704219747313,4.19582368378275,4.615633408344388,95.94759360441232
45,DLC1.2-h-s3,6.100848401205982,4.917348871358574,4.178425890822643,4.181849420360417,96.33185091463983
46,DLC1.2-h-s4,6.125045704011275,4.8979226359654895,4.161320027878108,3.7553442042676632,96.71392416299577
47,DLC1.2-h-s2,6.149214875394574,4.8786716040842535,4.144358925410912,3.3324483412294326,97.09555321871302
48,DLC1.2-h-s6,6.1729427717261105,4.859918698324696,4.1279385730771345,2.9230351509598185,97.47021458080746
49,DLC1.2-i-s5,6.183916226034804,4.851294697961381,4.1200903415450565,2.7273530215993436,97.64348444345062
50,DLC1.2-i-s2,6.194485624185063,4.843017131700383,4.112590475216141,2.5403567782848357,97.81037429546973
51,DLC1.2-i-s1,6.2049774605151455,4.834828198958415,4.105171795095044,2.355384773164104,97.9760394532813
52,DLC1.2-i-s3,6.215392562061596,4.826726502058502,4.097824615390103,2.1721955077123045,98.14049297571847
53,DLC1.2-i-s4,6.225782017819535,4.818671761094993,4.090573697069242,1.9914063539971716,98.30454155344745
54,DLC1.2-i-s6,6.2360627082990385,4.810727762579357,4.083384136264137,1.8121470442075571,98.46687273715222
55,DLC6.4-a-s3,6.244664638392893,4.804101058615167,4.076712666718002,1.6458054471974126,98.60269644442802
56,DLC6.4-a-s2,6.252588191453918,4.7980130917632176,4.070586282814349,1.4930546214035223,98.72780863899393
57,DLC4.1-a-y1,6.258611768298489,4.793395262501802,4.066003509810537,1.3787910734823994,98.82292037893643
58,DLC4.1-a-y3,6.264564711948899,4.788840307256884,4.06148501551524,1.2661302043945222,98.91691682705685
59,DLC4.1-a-y2,6.2704891399318505,4.784315757594319,4.056998519879425,1.154267166741474,99.01046301533707
60,DLC6.4-a-s5,6.2760674595240795,4.780063342766384,4.052725017536188,1.0477147498137107,99.09854418306557
61,DLC6.4-a-s6,6.281533411873972,4.775903912775669,4.048546118966806,0.9435211149679823,99.18485108208182
62,DLC6.4-a-s4,6.286991107061833,4.771757982336359,4.044381957821074,0.8396949323857594,99.27102760124768
63,DLC6.4-a-s1,6.292093721352215,4.767888294192921,4.040496792470468,0.7428250291959149,99.3515974247822
64,DLC1.2-j-s2,6.296483934293609,4.764563892016925,4.037374565494078,0.6649776796892715,99.42091849469608
65,DLC1.2-j-s3,6.300840965618242,4.761269196239169,4.034288070827963,0.5880212537662466,99.48971562984731
66,DLC1.2-j-s1,6.305188759494384,4.757986024577908,4.031200321042734,0.5110335336109051,99.55836690651259
67,DLC1.2-j-s5,6.309526438866439,4.754714999718704,4.02810748569053,0.4339190136063653,99.62685847606244
68,DLC1.2-j-s4,6.313850389201288,4.751458801005111,4.0250685315618835,0.35814792906436743,99.69513326534201
69,DLC1.2-j-s6,6.3179121512792165,4.748404105923784,4.022214967018391,0.28699921436909914,99.7592681254812
70,DLC1.2-k-s4,6.319654339930429,4.7470950761415,4.020884488504022,0.2538260252632707,99.78677712855372
71,DLC1.2-k-s1,6.321259067585131,4.745889968952135,4.019666171612284,0.22344939294340893,99.81211563477866
72,DLC1.2-k-s3,6.322852680509137,4.744693813992879,4.018450473477673,0.19313805481990798,99.83727864039943
73,DLC1.2-k-s6,6.324427944862944,4.743512023781959,4.01725667632444,0.1633727799278173,99.8621519237369
74,DLC1.2-k-s5,6.325986398350971,4.74234342454803,4.0160649193559035,0.1336583735255248,99.88675976500637
75,DLC1.2-k-s2,6.327432445335149,4.74125962768947,4.014969671406943,0.10635025322425218,99.90959271762782
76,DLC6.4-b-s5,6.3280308654958635,4.7408112630388075,4.014507070589585,0.09481609898651655,99.91904171847413
77,DLC6.4-b-s4,6.328536372966423,4.740432579032152,4.014117704806368,0.08510793412814799,99.92702363624815
78,DLC6.4-b-s2,6.328999309951307,4.740085838345716,4.013760870723996,0.07621089117246793,99.93433336985863
79,DLC6.4-b-s1,6.3294390336436885,4.7397565314298955,4.013421193991202,0.06774163716338766,99.94127656765548
80,DLC6.4-b-s3,6.329860273624595,4.739441109783209,4.013095973727061,0.05963283028909139,99.94792790930035
81,DLC6.4-b-s6,6.330276056298757,4.739129815697274,4.012775069140732,0.05163162740438043,99.95449308055953
82,DLC4.1-b-y1,6.330681455370148,4.738826335125708,4.012495935422195,0.044671909129467835,99.96089429565913
83,DLC4.1-b-y3,6.33107175075849,4.738534197848235,4.012228301155761,0.03799890987714605,99.96705702495346
84,DLC4.1-b-y2,6.331455314123305,4.738247134601154,4.0119649340719326,0.03143230546998055,99.97311345619808
85,DLC4.1-c-y3,6.331816337047455,4.737976972653173,4.011682135560796,0.024381211906665534,99.97881397589941
86,DLC4.1-c-y1,6.332125042652276,4.737745985419484,4.011448765250301,0.01856252535281655,99.98368840980508
87,DLC4.1-c-y2,6.332400847115725,4.7375396353287345,4.011236688999308,0.013274769479210136,99.98804333762943
88,DLC2.4.2-a-s1,6.332466392364956,4.737490598634831,4.011196125112091,0.012263378850230211,99.98907829125585
89,DLC2.4.2-a-s5,6.332517931249738,4.737452041305065,4.0111635135586585,0.011450265960855077,99.98989208563962
90,DLC2.4.2-a-s6,6.332564196828405,4.737417429581712,4.011133849287593,0.01071063847863929,99.99062261499121
91,DLC2.4.2-a-s3,6.3326090991111395,4.737383838236735,4.011104950930508,0.009990107741697507,99.99133161802187
92,DLC2.4.2-a-s2,6.3326510124219615,4.7373524833679905,4.011077832677152,0.009313960823820189,99.99199342545323
93,DLC2.4.2-a-s4,6.332689782133191,4.737323480559691,4.0110525610253225,0.008683855732982693,99.99260559572801
94,DLC2.4.2-b-s5,6.332722488661852,4.737299013767333,4.011027295506172,0.008053903549920527,99.993122028892
95,DLC2.4.1-b-s5,6.332753360659867,4.737275919565266,4.011004067568217,0.007474754942848882,99.99360949498109
96,DLC2.4.1-a-s3,6.332783719942168,4.737253209126486,4.010982363754256,0.006933607741266279,99.99408886533487
97,DLC2.4.1-a-s4,6.3328125842215535,4.737231617235311,4.010961873733853,0.006422724390442447,99.99454462972625
98,DLC2.4.2-b-s2,6.332841261692986,4.737210165280532,4.0109391296393095,0.005855639585106154,99.99499744443676
99,DLC2.4.1-a-s5,6.332869912913303,4.7371887331567075,4.010918683305081,0.005345845473780919,99.9954498446445
100,DLC2.4.1-a-s2,6.332898066217555,4.73716767368057,4.010898527068762,0.004843284453914798,99.99589438280209
101,DLC2.4.2-b-s3,6.332925954952757,4.737146812294254,4.010877846780045,0.004327657090552606,99.99633474343803
102,DLC2.4.2-b-s1,6.332951688224088,4.737127563405228,4.010857813753183,0.0038281680861951273,99.9967410694921
103,DLC2.4.1-a-s6,6.332976907704421,4.737108698991673,4.010839834963609,0.003379897948807553,99.99713928283226
104,DLC2.4.2-b-s6,6.333001924533431,4.737089986311694,4.0108197708156155,0.0028796329926583653,99.99753429632612
105,DLC2.4.1-b-s3,6.333026155077948,4.737071861916344,4.010802135060049,0.0024399158171650726,99.99791689445814
106,DLC2.4.2-b-s4,6.333050326921665,4.737053781567253,4.010783737600236,0.001981206858792106,99.99829856570976
107,DLC2.4.1-a-s1,6.333074345906639,4.7370358156920105,4.0107663109628975,0.0015467036859284633,99.9986778233355
108,DLC2.4.1-b-s1,6.333097975787811,4.737018140994119,4.010749086272032,0.0011172357003985667,99.99905093704699
109,DLC2.4.1-b-s6,6.3331211983038145,4.737000771126065,4.01073190184734,0.0006887716824888201,99.99941761849888
110,DLC2.4.1-b-s4,6.3331414065424365,4.736985655966654,4.010717231841874,0.00032300037522414726,99.99973670478035
111,DLC2.4.1-b-s2,6.333158081444915,4.7369731837098685,4.010704277252011,4.440892098500626e-14,99.99999999999996
