DLC,dt,k,ksel,nbin,ScaleFactor,scr_eps_UW,scr_eps_Sys,D30_UW,D30_DW,life_UW_yr,life_DW_yr,life_Sys_yr,t_s,contrib_UW_pct,contrib_DW_pct
DLC1.2-c-s1,20,0.25,center,30,45040.0,2.3278755692915545,1.5078173855296582,0.19468844736469848,0.04516680359180234,154.09234808782853,664.2046284950065,131.69489169980105,4.888325900014024,3.074113181148955,2.9057705638627986
DLC1.2-c-s2,20,0.27,center,30,45040.0,2.6512651269906815,1.5200882059046457,0.19342873769051544,0.044692274296961515,155.09587850384352,671.2569559710146,132.63980534689088,4.802349000063259,3.054222477996072,2.8752420972238775
DLC1.2-c-s3,20,0.26,center,30,45040.0,2.5571150977536887,1.5289105238273566,0.18905726773813106,0.043457858430768624,158.68207744096836,690.323938713917,135.81929551355677,4.807660499995109,2.9851973582032776,2.7958269293947438
DLC1.2-c-s4,20,0.28,center,30,45040.0,2.5469698744802147,1.5068656660587938,0.19084460752283272,0.04485057170913184,157.19595323860952,668.8877946653203,134.0649382298937,4.689705399912782,3.013419293637643,2.8854260359585564
DLC1.2-c-s5,20,0.26,center,30,45040.0,2.55106463264128,1.4717939763509877,0.19471200013033338,0.04523179193267609,154.0737087591882,663.2503095312387,131.65086196932606,4.498664299957454,3.074485077213004,2.9099515373408398
DLC1.2-c-s6,20,0.27,center,30,45040.0,2.530514617563785,1.476253163506295,0.19992418789115107,0.04698726856515974,150.05688064284413,638.4708223334457,127.9750701067551,4.671851899998728,3.1567850560511848,3.022888737199406
DLC1.2-d-s1,20,0.27,center,30,38180.0,2.964194766126453,1.4153731769074727,0.2324715364053867,0.04348126448929959,129.04805665191472,689.9523358476102,113.82425209599418,4.190601499984041,3.670704779760496,2.797332739646672
DLC1.2-d-s2,20,0.26,center,30,38180.0,2.8950842428444368,1.5075332507162726,0.22287407070332493,0.040596274105413006,134.60516023837513,738.9840733191787,119.13542331527577,4.170403600030113,3.51916165421969,2.611729166493968
DLC1.2-d-s3,20,0.25,center,30,38180.0,2.7171555964533356,1.4748479386142987,0.22191636570646553,0.04096551326357685,135.18606392320686,732.3233034327321,119.44324601570983,4.356581600033678,3.5040395779262634,2.635483875516873
DLC1.2-d-s4,20,0.27,center,30,38180.0,2.967210976066002,1.3736857665872189,0.22061994713581937,0.04115520350984135,135.98045140284265,728.9479201050766,119.98070024317914,4.259227900009137,3.483569244579549,2.647687447388568
DLC1.2-d-s5,20,0.28,center,30,38180.0,2.957997644262133,1.4987012824817945,0.23175187965168406,0.04391972492696776,129.44878826911383,683.0643873541039,113.9791109739027,4.166653699998278,3.6593414639479453,2.825540744904449
DLC1.2-d-s6,20,0.28,center,30,38180.0,2.904447322848138,1.4915517106118847,0.22103961483913104,0.04181739282936162,135.72227775475224,717.4048397138673,119.53038447039205,4.209804700047243,3.490195760101737,2.690288873200236
DLC1.2-e-s1,20,0.3,center,30,28490.0,2.9037020228373027,0.708096087827646,0.17335147237257553,0.03289992530137503,173.0588127657925,911.8561736900408,152.34799952637988,4.2404446999426,2.7372042532850402,2.116590657111976
