DLC,k,dt_s,eps_UW_pct,eps_DW_pct,eps_Sys_pct
DLC1.2-a-s2,1.35,20.0,45.38136392118703,68.58407818560639,48.58433636727219
DLC1.2-a-s2,1.4,20.0,47.590420571503714,72.34023221748114,51.008287067128144
DLC1.2-a-s2,1.45,20.0,49.82956760750659,76.1700299413038,53.46850686806488
DLC1.2-a-s2,1.5,20.0,52.099117629009825,80.07457805066505,55.965424240722214
DLC1.2-a-s2,1.55,20.0,54.39938515855734,84.05499313415912,58.49947078697895
DLC1.2-a-s2,1.6,20.0,56.73068663926417,88.11240166823089,61.07108123724956
DLC1.2-a-s2,1.65,20.0,59.093340432628885,92.24794000963878,63.68069344768594
DLC1.2-a-s2,1.7,20.0,61.48766681631799,96.46275438754796,66.32874839728726
DLC1.2-a-s2,1.75,20.0,63.913987981922645,100.75800089526865,69.01569018492093
DLC1.2-a-s2,1.8,20.0,66.37262803268993,105.13484548164999,71.74196602625875
DLC1.2-a-s2,1.85,20.0,68.86391298122795,109.59446394214352,74.50802625062964
DLC1.2-a-s2,1.9,20.0,71.3881707471864,114.13804190954839,77.31432429779233
DLC1.2-a-s2,1.95,20.0,73.94573115491445,118.76677484445023,80.16131671463292
DLC1.2-a-s2,2.0,20.0,76.53692593109402,123.48186802536443,83.04946315178574
DLC1.2-a-s2,2.05,20.0,79.1620887023527,128.2845365385969,85.97922636018558
DLC1.2-a-s2,2.1,20.0,81.8215549928544,133.1760052678313,88.95107218754856
DLC1.2-a-s2,2.15,20.0,84.5156622218699,138.15750888345457,91.96546957478937
DLC1.2-a-s2,2.2,20.0,87.2447497013276,143.23029183163115,95.02289055237286
DLC1.2-a-s2,2.25,20.0,90.00915863334549,148.39560832313538,98.12381023660583
DLC1.2-a-s2,2.3,20.0,92.80923210774465,153.65472232195162,101.26870682586949
DLC1.2-a-s2,2.35,20.0,95.64531509954521,159.00890753365326,104.45806159679543
DLC1.2-a-s2,2.4,20.0,98.51775446644618,164.45944739356676,107.69235890038829
DLC1.2-a-s2,2.45,20.0,101.42689894628836,170.00763505473378,110.97208615809535
DLC1.2-a-s2,2.5,20.0,104.37309915450217,175.6547733756753,114.29773385782775
DLC1.2-a-s2,2.55,20.0,107.35670758154075,181.40217490796982,117.66979554993257
DLC1.2-a-s2,2.6,20.0,110.37807859029888,187.2511618836521,121.08876784312099
DLC1.2-a-s2,2.65,20.0,113.43756841351818,193.2030662024407,124.5551504003513
DLC1.2-a-s2,2.7,20.0,116.53553515118027,199.2592294188017,128.06944593467188
DLC1.2-a-s2,2.75,20.0,119.6723387678857,205.42100272885588,131.63216020502247
