DLC,valid,k,ksel,eps_UW,eps_Sys,nbin,D30_UW_scr,D30_DW_scr,life_Sys_scr_yr,kappa_min,kappa_max,n_kappa_clip
DLC4.1-a-y2,1,0.1,center,1.6639541513630527,1.499396115702083,10,0.003849730160997651,0.0013772494282462014,6110.71572825376,0.009140775654471831,1.0742344335843321,1012
DLC4.1-a-y3,1,0.1,center,1.6506105146472403,1.5016438302782769,10,0.003834336677462124,0.001368562744542506,6138.653005297325,0.016592392104227752,1.0747963183332638,1012
DLC4.1-b-y1,1,0.18,center,1.7923117695543858,1.4945845352926828,10,0.0001874890552656831,5.9758316732218164e-05,128816.35069881407,0.03609108037564937,1.8310931710786122,924
DLC4.1-b-y2,1,0.16,center,1.7058358254939847,1.5037313064882252,10,0.0001616438516344745,5.0269442921573424e-05,150201.47962779962,0.046558759205153157,1.8273708539228386,935
DLC4.1-b-y3,1,0.13,center,1.6011773213008775,1.5057862012240044,10,0.0001610869785505404,4.946057796701876e-05,151126.66768216298,0.055143838372609034,1.8366760112701161,911
DLC4.1-c-y1,1,0.21,center,2.418067545105571,1.4712954418474506,10,0.00015704661004897045,6.329353673691107e-05,145366.14244707074,0.05338681979061358,1.7498669818982828,881
DLC4.1-c-y2,1,0.32,center,2.897365968140421,1.489198132278701,10,0.000123741469275595,4.976330640117092e-05,184596.81388794264,0.06982827881499047,1.7490149032108502,797
DLC4.1-c-y3,1,0.56,cons,4.42624192374592,0.10036037233792139,10,0.00021898167740413868,0.00010677998731061986,98720.67953749723,0.08707339551395059,1.7500662461031442,59
DLC6.4-a-s1,1,3.0,center,0.35215661067460324,0.36851391826060453,30,0.003997857936440849,0.0015525960481585668,5765.793171411501,1.2741833502167536e-05,0.04082029190655145,6001
DLC6.4-a-s2,1,3.0,center,0.7340533536202676,0.7467683057678309,30,0.006178937222502739,0.002399961041392932,3730.417357876374,0.00013952095775888126,0.04898781049404047,6001
DLC6.4-a-s3,1,3.0,center,0.7206127188568834,0.7521220175592092,30,0.006727837262380188,0.002613397648265054,3425.9858551235848,1.410218812795237e-05,0.05824968240520298,6001
DLC6.4-a-s4,1,3.0,center,0.8030689895761833,0.8297716939123401,30,0.004262754415791254,0.0016562778918079006,5406.818184842827,3.955538122764761e-06,0.042801755925791274,6001
DLC6.4-a-s5,1,3.0,center,0.39086216735293444,0.4054633893216142,30,0.004366368981042342,0.0016957132201236118,5279.1714265710225,3.328104905325068e-05,0.04605967177033487,6001
DLC6.4-a-s6,1,3.0,center,0.7377306935718142,0.7582826514071828,30,0.004265539503608008,0.0016566584105660639,5403.875012553052,1.5774654637552295e-05,0.0407488666797492,6001
DLC6.4-b-s1,1,0.35,center,2.987492822958127,1.4802754825257587,30,0.0002452785939781502,0.00010160460287226852,92393.56949810304,0.0005233200719211117,0.27077676692386576,1553
DLC6.4-b-s2,1,0.36,center,2.9637721604680207,1.406234684673353,30,0.0002673090409606163,0.00011125184809159036,84670.992912751,0.001024828802295744,0.28594009153961214,1568
DLC6.4-b-s3,1,0.27,center,2.553827748330861,1.5067165086720933,30,0.00022599263510395402,9.081344805870068e-05,101096.10894942783,0.00017869035543577317,0.2811603122310568,1727
DLC6.4-b-s4,1,0.49,cons,3.7829217696480235,0.004608533656488056,30,0.00034503022079329784,0.00016216098107194244,63360.61641271142,8.59405984010792e-05,0.3051199161984838,1742
DLC6.4-b-s5,1,0.61,cons,5.619795687883628,0.042631359212817355,30,0.0004932545405243296,0.00026911616265147434,42270.292602779686,0.0002819064897085169,0.28758916611902213,1826
DLC6.4-b-s6,1,0.29,center,2.615054898370487,1.530929406056444,30,0.0002207318032769777,8.83693582611201e-05,103607.32896292512,0.0006159215167143563,0.29199314746054833,1671
