Z1_m,L_m,n_eval,n_fail,n_dt_switch,mean_eps_UW,mean_eps_Sys,min_eps_UW,max_eps_UW,mean_dk,max_abs_dk
0.6,2.75,111,68,9,2.9688798582908733,1.7190335814075057,0.4930798923288071,4.504716355909788,-0.005392156862745099,0.020000000000000018
0.6,3.0,111,73,12,3.269883659512284,2.0708764026981608,0.4758914367774203,5.1632533785698875,-0.009292929292929292,0.020000000000000018
0.6,3.5,111,80,23,3.81412642191367,2.723110749960539,0.4441700338252641,6.814494209831405,-0.016590909090909087,0.040000000000000036
0.8,2.0,111,26,14,2.142318178556005,0.887968039373029,-1.1609470617001394,3.8197778845590857,0.003917525773195877,0.020000000000000018
0.8,2.25,111,41,13,2.511752001552148,1.2415779861412075,-0.6415852713837378,3.8601923687305195,-0.0005102040816326519,0.010000000000000009
0.8,2.375,111,55,9,2.6833011291314612,1.416612481369617,-0.565501355193021,4.164935643583645,-0.0020588235294117644,0.010000000000000009
0.8,2.5,111,63,10,2.8501423445033938,1.5960911273264655,-0.4917980482791018,4.503385001748694,-0.004257425742574258,0.010000000000000009
0.8,2.625,111,71,12,3.0109472555164674,1.7754393170696199,-0.4166877193193863,4.834339585340786,-0.006262626262626262,0.020000000000000018
0.8,2.75,111,74,15,3.163928585066725,1.9492856101011244,-0.3368267949439563,5.157647508610808,-0.007812499999999997,0.020000000000000018
0.8,3.0,111,76,16,3.451966105201753,2.2859351476270975,-0.16192545874536002,5.780957362189043,-0.012210526315789472,0.030000000000000027
0.8,3.5,111,82,26,3.966826657616674,2.9067396560774585,0.24062082738616208,6.933811295430292,-0.01941176470588235,0.04999999999999999
