k,dt_s,eps_UW_pct,eps_DW_pct
0.4,0.2,2.2262052333961613,3.0147693077803295
0.45,0.2,2.535036852312822,3.4442179014120944
0.5,0.2,2.844940253418393,3.875742516195757
0.55,0.2,3.1559199684098482,4.309351693357755
0.6,0.2,3.467975034769344,4.745053996972337
0.65,0.2,3.7811181806533645,5.182858013948777
0.7,0.2,4.095369960454276,5.622772354019001
0.75,0.2,4.410718545579728,6.064805649724514
0.8,0.2,4.727155012246409,6.508966556403983
0.85,0.2,5.044684081985773,6.955263752180207
0.9,0.2,5.363327457573486,7.403705937947347
0.95,0.2,5.68312640208628,7.854301837358113
1.0,0.2,6.004039661097327,8.307060196810646
1.05,0.2,6.3260708529339515,8.761989785435652
1.1,0.2,6.649278851093499,9.219099395083452
1.15,0.2,6.97367733424985,9.678397840310682
1.2,0.2,7.299305178274018,10.139893958367452
1.25,0.2,7.626139105829877,10.603596609183995
1.3,0.2,7.954113411615316,11.069514675357595
1.35,0.2,8.283219446948141,11.537657062139361
1.4,0.2,8.613478700770717,12.008032697420902
1.45,0.2,8.944879226308844,12.480650531720983
1.5,0.2,9.277417340940652,12.955519538172378
