DLC,D30_UW,k,nbin,fatigue_inf,static
DLC1.2-g-s3,0.00035554331963713083,0.4,30,7.19556587453203,21.062484743945532
DLC6.4-a-s2,0.00033494157920062177,3.0,30,14.590571073864888,36.50888384955577
DLC6.4-a-s5,0.00023587766173951657,3.0,30,14.5435030138,36.389618929705684
DLC6.4-a-s6,0.0002311599232860981,3.0,30,14.577635228388345,36.47581180435296
DLC6.4-a-s4,0.00023101545689724492,3.0,30,14.539435999515332,36.37887308104485
DLC6.4-a-s1,0.00021582966876886574,3.0,30,14.531688643657763,36.3585136399902
DLC1.2-h-s1,0.0002057368193031424,0.44,30,6.225569150721615,18.477369796757973
DLC1.2-h-s5,0.00018329830951622722,0.45,30,7.338507881135778,21.38592692539986
DLC4.1-a-y1,0.00018237662351984442,0.31,10,12.727098673179276,31.343305848473204
DLC1.2-h-s4,0.00018049506562819038,0.44,30,6.940719976712367,20.46691194916375
DLC1.2-h-s2,0.00018022135969143155,0.47,30,6.947689047651714,20.499043544917413
DLC4.1-a-y3,0.00017979874577175655,0.31,10,13.229306616146388,32.57845577656965
DLC4.1-a-y2,0.00017842002402309654,0.31,10,12.974368738155203,31.951870875665875
DLC1.2-h-s3,0.00017650039498607128,0.44,30,7.372087364377479,21.537610075943793
DLC1.2-h-s6,0.00016954257748651088,0.46,30,7.937001814230048,22.840410529358728
DLC1.2-i-s3,7.50914887292356e-05,0.46,30,6.282482665461901,18.587847363224345
DLC1.2-i-s5,7.289938381235128e-05,0.54,30,6.288282561753332,18.693688196827253
DLC1.2-i-s1,7.225888631632866e-05,0.56,30,7.561980521509087,22.01805145910344
DLC1.2-i-s2,7.176036655935972e-05,0.46,30,6.993553428549028,20.57652441988621
DLC1.2-i-s6,6.246190216296667e-05,0.54,30,6.988412076442994,20.53743942701671
DLC1.2-i-s4,6.199653790712765e-05,0.53,30,7.660561259291951,22.304778356946727
DLC1.2-j-s3,2.604282420107686e-05,0.58,30,7.172933039509839,20.97938517500091
DLC1.2-j-s4,2.5360011325894237e-05,0.56,30,7.641722577786461,21.983539308659978
DLC1.2-j-s6,2.4916423240165205e-05,0.62,30,7.600013074597473,22.140533862158495
DLC1.2-j-s5,2.463499344296576e-05,0.6,30,6.794135057434284,19.960571688533282
DLC1.2-j-s2,2.4577792047101156e-05,0.6,30,6.972640595541212,20.59924487986912
DLC1.2-j-s1,2.385324788746275e-05,0.55,30,7.2440553804630285,21.020494560932132
DLC6.4-b-s5,2.0394080129095814e-05,0.51,30,9.505550728262534,23.708423538398026
DLC6.4-b-s4,1.612326455976962e-05,0.4,30,12.281821426086376,30.603391229441364
DLC6.4-b-s2,1.3923567744806992e-05,0.27,30,14.004598919428124,34.930722876834224
DLC6.4-b-s1,1.2936265982286224e-05,0.26,30,14.735302940470618,36.816965557963414
DLC6.4-b-s3,1.2312923750928862e-05,0.19,30,14.677490125367315,36.6172014882884
DLC6.4-b-s6,1.2124626512266513e-05,0.21,30,14.885787237438265,37.045367966120736
DLC1.2-k-s4,1.1277975669879977e-05,0.64,30,6.0205497358892055,17.895807046184807
DLC4.1-c-y3,9.386504706297735e-06,0.51,10,10.484069120244767,27.440965204820376
DLC1.2-k-s1,8.239048549926778e-06,0.66,30,7.055814069912527,20.59662643435583
DLC1.2-k-s3,7.790777814660207e-06,0.68,30,7.040352243874063,20.631886444947185
DLC4.1-b-y1,7.698184178824039e-06,0.0,10,8.786897111827201,25.48607359388981
DLC1.2-k-s6,7.565730824902506e-06,0.62,30,6.739999097865429,19.8318649670309
DLC4.1-b-y3,7.452564742180321e-06,0.0,10,9.04967731614311,26.02119202820508
DLC4.1-b-y2,7.215841554308377e-06,0.0,10,9.069084347566752,26.02036380581246
DLC1.2-k-s5,7.088458477524344e-06,0.52,30,5.419991707412047,16.000949574113086
DLC4.1-c-y1,6.591717082828783e-06,0.1,10,11.870706658116188,29.493529781980815
DLC4.1-c-y2,5.93090314230567e-06,0.25,10,12.836905639996157,29.628964475010797
DLC1.2-k-s2,5.708913831049423e-06,0.71,30,7.558499151448732,21.84613843018544
DLC2.4.1-b-s5,9.561430052993587e-07,0.8,3,7.380600854259053,18.32030610644364
DLC2.4.1-b-s3,6.999166869026845e-07,0.77,3,8.119898219894162,21.65374107403266
DLC2.4.1-a-s4,6.962287819651048e-07,0.43,3,9.573948421609623,23.489661219539965
DLC2.4.1-b-s1,6.708592053205666e-07,0.9,3,8.660756983687689,21.702241409989913
DLC2.4.1-a-s3,6.693723806822161e-07,0.32,3,10.321169112643728,25.286732603646914
DLC2.4.1-b-s6,6.37232126946101e-07,0.68,3,8.29723708166058,20.58687718936181
DLC2.4.1-a-s5,6.235883589669977e-07,0.41,3,9.81725756154635,24.04355623330867
DLC2.4.1-b-s4,6.05528962562229e-07,0.88,3,8.679726683351491,21.584028773176
DLC2.4.2-b-s3,5.962130541944804e-07,0.4,15,9.204538480370443,25.010995452912713
DLC2.4.1-a-s2,5.938251354407914e-07,0.35,3,10.19779365414094,24.986486731657745
DLC2.4.2-a-s1,5.84916303335925e-07,0.32,15,7.523310159774111,22.685902444923542
DLC2.4.2-a-s2,5.592319929165147e-07,0.22,15,7.627566609268806,23.229644401479145
DLC2.4.2-a-s3,5.578586169238508e-07,0.29,15,7.390030558480134,22.641251144145155
DLC2.4.2-b-s2,5.451508713711649e-07,0.47,15,8.184774385409929,23.73248119110117
DLC2.4.2-a-s6,5.301249142818209e-07,0.25,15,8.226268106392808,24.51938387085156
DLC2.4.1-a-s1,5.254230109801015e-07,0.3,3,10.666068960680894,26.10342155865854
DLC2.4.1-a-s6,5.23688571235672e-07,0.22,3,11.122296754614558,27.213827871811024
DLC2.4.2-b-s5,5.218702705487772e-07,0.41,15,8.154336874251277,23.894344679663508
DLC2.4.2-a-s5,5.217285255272627e-07,0.3,15,7.6796775489799805,22.5979694336768
DLC2.4.2-b-s4,5.105740634954759e-07,0.4,15,9.768164266285309,26.349665490673797
DLC2.4.2-a-s4,4.970197943619797e-07,0.14,15,9.154936958253538,26.586857744010672
DLC2.4.1-b-s2,4.3622085899014796e-07,0.94,3,9.014799011488261,22.445956124704153
DLC2.4.2-b-s6,4.030468989167783e-07,0.27,15,9.205879779453978,25.961450218839232
DLC2.4.2-b-s1,3.7049984047165276e-07,0.3,15,7.763023250009889,22.666118369757225
