rank,OD_mm,ID_old_mm,ID_new_mm,t_new_mm,mass_brg_t,mass_shaft_old_t,mass_shaft_t,mass_total_old_t,mass_total_t,sigma_old,sigma_new,feasible
37,3506.0,3104,3172,167.0,18.9654,105.80969999999999,88.8159,143.7405,126.7468,2098.8,2127.5,0
38,3463.0,3066,3119,172.0,19.6392,103.21310000000001,90.1601,142.4916,129.4385,2098.4,2122.0,0
39,3442.0,3047,3093,174.5,20.0504,102.064,90.8174,142.16479999999999,130.9181,2099.2,2119.5,0
40,3437.0,3043,3086,175.5,20.0971,101.6644,91.1701,141.8586,131.3642,2100.0,2118.8,0
41,3420.0,3028,3065,177.5,20.5417,100.6489,91.6719,141.73229999999998,132.7553,2099.9,2118.6,0
42,3399.0,3009,3038,180.5,21.082,99.5142,92.5313,141.6782,134.6953,2098.1,2111.0,0
43,3676.0,3254,3379,148.5,21.5081,98.5355,70.5993,141.5518,113.6156,2097.7,2140.2,0
44,3497.0,3096,3161,168.0,21.5836,97.17689999999999,82.2278,140.3441,125.395,2099.0,2126.2,0
45,3474.0,3075,3133,170.5,21.9241,96.047,82.8122,139.89520000000002,126.6605,2098.1,2123.0,0
46,3614.0,3199,3304,155.0,22.3093,95.2651,72.2586,139.8837,116.8772,2099.0,2133.8,0
47,3610.0,3196,3300,155.0,22.4494,94.9379,72.175,139.8367,117.0738,2098.2,2132.8,0
48,3444.0,3049,3095,174.5,22.5933,94.271,83.8827,139.4576,129.0693,2097.7,2117.4,0
49,3438.0,3044,3087,175.5,22.6156,93.87310000000001,84.1828,139.10420000000002,129.4139,2099.6,2115.8,0
50,3424.0,3031,3070,177.0,22.7922,93.2448,84.4989,138.82920000000001,130.0833,2097.0,2113.4,0
51,3417.0,3025,3061,178.0,22.833,92.8202,84.767,138.4861,130.4329,2098.7,2113.2,0
52,3398.0,3008,3037,180.5,23.1053,91.8306,85.3869,138.0412,131.5976,2099.3,2111.1,0
53,3376.0,2989,3009,183.5,23.7212,90.541,86.1316,137.98329999999999,133.574,2098.2,2106.4,0
54,3359.0,2974,2987,186.0,24.1152,89.6202,86.7718,137.85060000000001,135.0022,2095.3,2100.7,0
55,3652.0,3233,3350,151.0,24.5326,88.3634,64.7714,137.42860000000002,113.8366,2096.5,2136.5,0
56,3640.0,3222,3336,152.0,24.7578,87.858,64.9583,137.3735,114.4738,2099.8,2139.4,0
57,3628.0,3212,3321,153.5,24.7725,87.1573,65.3454,136.70229999999998,114.8904,2099.3,2137.3,0
58,3581.0,3170,3264,158.5,25.8471,84.9893,66.4641,136.6835,118.1583,2096.4,2129.4,0
59,3721.0,3294,3433,144.0,25.9854,82.5758,56.7987,134.5465,108.7694,2099.7,2139.4,0
60,3679.0,3257,3383,148.0,26.9114,80.6898,57.6257,134.5125,111.4485,2099.2,2136.5,0
61,3377.0,2990,3010,183.5,29.2633,75.4745,71.7988,134.001,130.3254,2099.6,2105.7,0
62,3371.0,2984,3002,184.5,29.308,75.3323,72.0319,133.9482,130.6478,2098.2,2103.6,0
63,3915.0,3466,3659,128.0,31.2327,71.0582,41.5736,133.5235,104.039,2099.7,2134.0,0
64,3814.0,3377,3542,136.0,33.0467,67.3788,42.9006,133.4723,108.994,2093.1,2124.3,0
