DLC,D30_UW,k,nbin,fatigue_inf,static
DLC1.2-h-s3,0.000662749829264038,0.37,30,13.073599977791543,38.33656357474388
DLC1.2-h-s6,0.0006479674881133537,0.4,30,14.120019732578893,40.71428997055252
DLC1.2-i-s5,0.0002856855943140142,0.47,30,11.252745838330318,33.57954989031851
DLC1.2-i-s3,0.00028138370975657346,0.42,30,11.135638611375684,33.07573589760169
DLC1.2-i-s2,0.00027301975592818533,0.41,30,12.429762467992433,36.6985493844181
DLC1.2-i-s1,0.0002715727708074075,0.49,30,13.452660467291803,39.25616675307717
DLC1.2-i-s6,0.00024772933434079103,0.47,30,12.447229073963852,36.68769420586315
DLC1.2-i-s4,0.00024604753489047,0.46,30,13.645375281043288,39.53219367141093
DLC1.2-j-s2,0.00010266149767528305,0.53,30,12.423890836708008,36.73448229305929
DLC1.2-j-s6,0.00010201681393287162,0.55,30,13.608398313360393,39.6788653945365
DLC1.2-j-s3,0.00010048405706775796,0.51,30,12.867065585607623,37.66882111495571
DLC1.2-j-s5,9.751148336586469e-05,0.54,30,12.147436325498479,35.74977813712706
DLC1.2-j-s4,9.557163661880308e-05,0.49,30,13.6505386616159,39.152032569098736
DLC1.2-j-s1,9.48891790842212e-05,0.49,30,12.881387414548996,37.434601288681414
DLC6.4-b-s5,7.98745593495193e-05,0.49,30,17.03358854826608,42.588429591346994
DLC6.4-b-s4,6.448364492637009e-05,0.37,30,22.066597390501265,55.10582531773346
DLC6.4-b-s2,5.7469430031000604e-05,0.25,30,24.723921053653992,61.80881315907448
DLC6.4-b-s1,5.381642170919439e-05,0.25,30,25.958016702851136,65.02992570944146
DLC6.4-b-s3,5.129540606546163e-05,0.17,30,25.89848918767747,64.7629785186011
DLC6.4-b-s6,5.062225607448559e-05,0.19,30,26.247956545678186,65.4401404620938
DLC1.2-k-s4,4.498777676550227e-05,0.6,30,10.682495663276681,31.885434120891148
DLC4.1-c-y3,3.715914106463015e-05,0.49,10,18.475401731394623,48.5047749000932
DLC4.1-b-y1,3.674359631358887e-05,0.13,10,15.328283141154689,44.62537114150088
DLC4.1-b-y3,3.542900874095884e-05,0.16,10,15.752436268502464,45.8286042258579
DLC1.2-k-s1,3.5347970045407436e-05,0.59,30,12.642899833775587,36.8551266257767
DLC4.1-b-y2,3.410590421063727e-05,0.1,10,15.848529841123467,45.84395588490705
DLC1.2-k-s6,3.378684643419017e-05,0.57,30,12.013011422809532,35.43129599698785
DLC1.2-k-s3,3.2118251814989216e-05,0.61,30,12.602329248165992,36.98455424077212
DLC1.2-k-s5,3.1904823081862607e-05,0.5,30,9.566254605729162,28.32736394829968
DLC4.1-c-y1,2.7805627446728365e-05,0.11,10,20.792346242109254,51.73735133382949
DLC1.2-k-s2,2.641950314383705e-05,0.62,30,13.60637040694396,39.10204226217433
DLC4.1-c-y2,2.4875339826905512e-05,0.26,10,22.566123691281003,52.51784322253417
DLC2.4.2-a-s1,4.535650356062863e-06,0.27,15,13.363505360480964,40.49535864699549
DLC2.4.1-b-s5,3.3702918201005743e-06,0.79,3,13.031949389264598,32.389580167104484
DLC2.4.2-a-s5,3.250686938361136e-06,0.24,15,13.645788203040736,40.34713948876762
DLC2.4.2-a-s2,3.166160659415718e-06,0.18,15,13.502207749377662,41.18124583175736
DLC2.4.2-a-s3,3.079306800760404e-06,0.21,15,13.16128226088628,40.715644320159186
DLC2.4.1-a-s3,3.0494704989045123e-06,0.33,3,18.04756267603451,44.08664820805665
DLC2.4.2-a-s6,2.989181294085519e-06,0.19,15,14.558135401933612,43.73459457261814
DLC2.4.1-a-s4,2.9347464491859236e-06,0.42,3,16.855505950796807,41.310673745413105
DLC2.4.1-a-s5,2.8967593897525506e-06,0.43,3,17.10220758426957,41.81947252058841
DLC2.4.1-a-s2,2.808118473713356e-06,0.4,3,17.541175717491875,42.90985195515195
DLC2.4.2-a-s4,2.7830730525586976e-06,0.18,15,15.98345345530117,46.50415189343643
DLC2.4.1-b-s3,2.62494889192892e-06,0.76,3,14.330935496954153,38.23261673781886
DLC2.4.1-a-s6,2.5126565369772266e-06,0.3,3,19.011760630335626,46.414609595785954
DLC2.4.2-b-s3,2.486169440761034e-06,0.4,15,16.18217191944671,44.11462442783067
DLC2.4.1-b-s1,2.4853411150344216e-06,0.91,3,15.14749412548959,38.078764671663784
DLC2.4.1-a-s1,2.463220800735085e-06,0.32,3,18.569479089566617,45.367257337007
DLC2.4.1-b-s6,2.4250916509250166e-06,0.69,3,14.526414986295043,36.08675542600582
DLC2.4.1-b-s4,2.3292343243429853e-06,0.89,3,15.203521106042787,37.8708272381958
DLC2.4.2-b-s2,2.2491240364640196e-06,0.47,15,14.394040222012455,41.84317552858604
DLC2.4.2-b-s5,2.2042366855027534e-06,0.4,15,14.371568229585876,42.19231949227682
DLC2.4.2-b-s4,2.1283014833619944e-06,0.4,15,17.170142285756082,46.476133722432124
DLC2.4.1-b-s2,1.7480490397218647e-06,0.96,3,15.73201742714276,39.24983583467336
DLC2.4.2-b-s6,1.7429512691270401e-06,0.28,15,16.148524796474423,45.79498802234511
DLC2.4.2-b-s1,1.6405671155677944e-06,0.31,15,13.620515570472557,39.936052167347874
