DLC,ScaleFactor,rpm_mean,rpm_CV_pct,T3P_s,dt_rule_max_s,n_rpm_lt1,n_kappa_clip,valid,D30_UW_scr,D30_DW_scr,life_UW_scr_yr,life_DW_scr_yr,life_Sys_scr_yr,best_dt_s,best_k,eps_UW_at_best,eps_DW_at_best,eps_Sys_at_best,kappa_min,kappa_max
DLC1.2-b-s5,45700.0,3.693274579236794,7.245258135075279,5.415248601454634,1.1396920552066832,0,0,1,0.6724454962214651,0.14820681116057277,44.61328117828558,202.41984673360852,38.43905160482379,20,0.22,2.066362307498388,-1.6644132156067348,1.4918947608325848,1.0566487804732594,1.2888935069163514
DLC1.2-b-s6,45700.0,3.7206907715380773,6.051297090564688,5.3753459311890905,1.190720004572365,0,0,1,0.6200733255596852,0.12745168350263122,48.38137485259773,235.38331684242252,42.12214882443105,20,0.22,2.14318874556022,-2.1759917303318366,1.521300859336377,1.0520498358836448,1.242878480528082
DLC1.2-c-s1,45040.0,4.75812023496084,9.520621045565075,4.203340607714719,0.8796250686107554,0,0,1,0.7637728456722417,0.1843669739280771,39.27869414314569,162.7189477639483,33.350308712482914,20,0.24,2.2650395983554352,-2.204780024050807,1.5153429716335478,1.1811683519824363,1.5980253774727486
DLC1.2-c-s2,45040.0,4.746210624895851,10.575864117129871,4.213888000480146,0.8892208646783689,0,0,1,0.7661391623395439,0.18687728583705407,39.1573769814737,160.5331534307397,33.18876630559718,20,0.26,2.5571243961786347,-3.502506417184262,1.5316519280581455,1.1017749045585266,1.5836991121283452
DLC1.2-c-s3,45040.0,4.7718477587068815,11.017585629617518,4.191248550104579,0.8911639313875066,0,0,1,0.6879658319975651,0.15580347889756954,43.60681679916071,192.5502576211601,37.41266994903099,20,0.25,2.423948655812301,-3.5583971063467494,1.4798057602485186,1.1662818222782791,1.5808325495612054
DLC1.2-c-s4,45040.0,4.759088695217463,5.409422627680653,4.2024852405248385,0.944358402901069,0,0,1,0.7275098087625573,0.17655105128480042,41.23655741635687,169.92252258869868,34.981261309386475,20,0.27,2.4946959685813788,-3.2473820011760846,1.527440040697955,1.2325073740874928,1.506562292785886
DLC1.2-c-s5,45040.0,4.7625666372271285,8.229619756524201,4.199416307095378,0.8711848636857045,0,0,1,0.7666758686699727,0.19113010893345664,39.12996512078034,156.9611411169379,33.04175342752668,20,0.25,2.4934047293602823,-3.1147669213088425,1.5245776056088678,1.2023815720053397,1.610864873949369
DLC1.2-c-s6,45040.0,4.7489562439593405,9.337071675297251,4.211451732249575,0.8807530791127646,0,0,1,0.8418322184467084,0.22167242243896762,35.63655481772123,135.33483177529584,29.800606801915528,20,0.25,2.4426938014764517,-2.8605481536205724,1.4787975247594443,1.1301696364185043,1.5963264766114886
DLC1.2-d-s1,38180.0,5.832877702049657,5.426280577839961,3.4288392491020434,0.7826955408269648,0,0,1,1.165240752300489,0.3355753581401285,25.745752490008762,89.39869770614294,21.166518284624207,20,0.26,2.8588569377063084,-4.163446873466459,1.475139310386895,1.3935311060739044,1.7606320553816006
DLC1.2-d-s2,38180.0,5.765571638060322,8.826046947293657,3.468866793359016,0.7748370130343083,0,0,1,1.0527047786632693,0.25878285666029077,28.49801825550196,115.92730827367586,24.122163916193756,20,0.25,2.7654362469132003,-4.700489804021325,1.4936697427258443,1.3277602561265502,1.7754403295426375
