design,DLC,k,ksel,nbin,ScaleFactor,eps_UW,eps_DW,eps_Sys
a62,DLC1.2-b-s1,0.2,center,30,45700.0,1.6724,-6.2285,1.4711
a62,DLC1.2-b-s2,0.2,center,30,45700.0,1.6995,-4.7059,1.5429
a62,DLC1.2-b-s3,0.2,center,30,45700.0,1.7656,-6.9658,1.5515
a62,DLC1.2-b-s4,0.2,center,30,45700.0,1.5142,-6.9729,1.3091
a62,DLC1.2-b-s5,0.2,center,30,45700.0,1.8267,-5.3678,1.6361
a62,DLC1.2-b-s6,0.2,center,30,45700.0,1.8669,-5.6376,1.688
a62,DLC1.2-c-s1,0.21,center,30,45040.0,1.5255,-16.3069,1.2568
a62,DLC1.2-c-s2,0.24,center,30,45040.0,2.1347,-18.9662,1.7747
a62,DLC1.2-c-s3,0.23,center,30,45040.0,1.9791,-18.8089,1.6677
a62,DLC1.2-c-s4,0.24,center,30,45040.0,1.9644,-18.933,1.6336
a62,DLC1.2-c-s5,0.23,center,30,45040.0,2.0006,-19.9458,1.6388
a62,DLC1.2-c-s6,0.24,center,30,45040.0,2.202,-17.7219,1.8139
a62,DLC1.2-d-s1,0.27,center,30,38180.0,2.194,-17.6941,1.5027
a62,DLC1.2-d-s2,0.26,center,30,38180.0,1.7564,-19.5881,1.2504
