DLC,dt,k,nbin,D30_ref_UW,D30_ref_DW,D30_scr_UW,D30_scr_DW,eps_UW,eps_DW,eps_Sys,life_ref_UW,life_scr_UW,t_s
DLC1.2-i-s3,4.0,0.4,150,0.00810918292834983,0.002801979139171518,0.008370230626689849,0.0026771269570631706,3.2191615437282994,-4.455856946360548,1.4429914738246952,3699.5095887058524,3584.1306336697694,31.326175299996976
DLC1.2-i-s4,4.0,0.43,150,0.0063393624065108895,0.0026141362365741604,0.0064438781743090985,0.002557621337615157,1.6486794900834933,-2.161895702615191,0.6230752254757554,4732.337114721234,4655.581497429,32.006022199988365
DLC1.2-i-s5,10.0,0.48,60,0.007972027730817195,0.00416772874313534,0.008099208794140894,0.004163995011366744,1.5953414566291624,-0.08958672693719638,1.0476641119500085,3763.158008599246,3704.065515844278,13.08222179999575
DLC1.2-i-s6,4.0,0.44,150,0.006872727184712363,0.002856077911080094,0.007067285976573563,0.002766257160849739,2.83088192841372,-3.144898459593737,1.213857290863496,4365.079420980328,4244.911002532393,31.093348799971864
DLC1.2-j-s1,4.0,0.44,150,0.0026634882697725536,0.0016805928834724177,0.002707147085443548,0.0017143626831736234,1.6391592997224924,2.0093979947975793,1.7773920646788177,11263.424862975584,11081.776886564958,30.241556799970567
DLC1.2-j-s2,10.0,0.49,60,0.002779167191814867,0.0015918158825367482,0.002775622917129103,0.001614223117430684,-0.12753009952775063,1.4076524263740398,0.40736180103286834,10794.600658915104,10808.384602556085,13.489915499987546
DLC1.2-j-s3,2.0,0.41,300,0.0028031146109781845,0.0014797573673799684,0.002853367755632136,0.0014859863012625827,1.7927609687145463,0.42094292077377027,1.3435035202987944,10702.38080259269,10513.891853156443,61.53580440004589
DLC1.2-j-s4,4.0,0.45,150,0.0026577727984885137,0.0013878705465751224,0.0027171290014505146,0.0013862968179199995,2.2333061349622207,-0.11339160262507919,1.4713984751574705,11287.64656522225,11041.065766102667,31.25911870005075
DLC1.2-j-s5,4.0,0.46,150,0.002817885591636277,0.001816816489395464,0.002858575279046555,0.0018451180077525139,1.4439793982782057,1.5577532746010592,1.4871024095784557,10646.280349011522,10494.738487350998,30.605536499992013
DLC1.2-j-s6,4.0,0.46,150,0.0028165319046716524,0.0010695202150316774,0.002878334381682883,0.0010187724742646439,2.1942757654803025,-4.7449071138436105,0.4530808700783595,10651.397184686733,10422.694524622892,31.680673800001387
DLC1.2-k-s1,20.0,0.63,30,0.0011151803160194152,0.0009408600401186806,0.001089056808783377,0.0010087978218298965,-2.3425366158976724,7.220816998737267,1.9971952601474996,26901.47913216727,27546.772361226995,6.195527100004256
