n,life_UW_ref,life_Sys_ref,life_UW_scr,life_Sys_scr,bias_Sys_life_pct,vs_final_scr_Sys_pct
64,4.464640303275603,3.9492836044211885,4.355616143418382,3.891625389947196,1.4815972427082658,0.5573578796248091
65,4.462769688456735,3.9473996444470965,4.353796703429825,3.8897875297244346,1.481112124567474,0.5098686303691258
66,4.4609095404908325,3.9453547790274412,4.351994544936307,3.8877779479709274,1.4809701538269104,0.4579421956979468
67,4.459066814268532,3.9432779527910613,4.350242920234358,3.885758023246379,1.4802756425019714,0.40574850461427836
68,4.457302217031109,3.941225630430961,4.348535866612835,3.8837343336680963,1.4803097180070335,0.3534575318792532
69,4.455542797946129,3.9392989396354676,4.346823865264017,3.8818378846561634,1.4802538562064038,0.3044543820678536
70,4.454412047056008,3.9378649557363383,4.345777745460671,3.880442357317402,1.4797951658952924,0.2683947596804792
71,4.45348270668358,3.9369931779675706,4.344873784621485,3.879585388009211,1.479740338640112,0.24625116650776047
72,4.452722408189456,3.9358559117885643,4.344186946831685,3.8784801952389243,1.4793350400518213,0.21769362209076437
73,4.451985517270697,3.9349019505848615,4.343501966961775,3.8775424439144586,1.479274759723781,0.19346266816082647
74,4.45125563231205,3.933933736197513,4.3428337454094965,3.876588156707171,1.4792796441665867,0.16880443654607724
75,4.450587171596247,3.933006791659285,4.342200458443526,3.87567695568407,1.4792212207246802,0.14525952710620071
76,4.44992930858391,3.932416521226515,4.341555457754875,3.8750968633153184,1.479180003313707,0.1302702745233475
77,4.449411975764599,3.9319643992915587,4.341042710630684,3.874645706180393,1.4793273361674686,0.11861263409529421
78,4.44890701314148,3.9313037578310754,4.340590048627655,3.8739932557254377,1.4793650458977403,0.10175369025473557
79,4.448433068675055,3.9308899727724294,4.340120887318877,3.8735806740428558,1.4794915493462568,0.09109281728962859
80,4.44799506615483,3.9305102659766242,4.339689781920236,3.873202786289683,1.4795889306337795,0.08132841547123792
81,4.447561971888214,3.9301400083095603,4.339270319394549,3.8728377681813235,1.4795930931841283,0.07189655785984073
82,4.447134321000428,3.9297696394780335,4.338850435492434,3.8724701474932957,1.479662587504471,0.062397451089335476
83,4.446717267333502,3.929386767912598,4.338441801084462,3.872093543488667,1.479644636175581,0.052666220593655666
84,4.44634508706428,3.929071546271183,4.338080915896634,3.871782291915254,1.479661045910463,0.04462365926718448
85,4.445983825436517,3.9287665413582085,4.337729717200796,3.8714802244199715,1.4797006214030128,0.036818409228134286
86,4.445634206109957,3.928461544126178,4.337387046263573,3.8711772203248964,1.4797649536818058,0.028988957990061515
87,4.445381016957675,3.9282408034450715,4.3371361247918045,3.8709566460509723,1.4798449745630382,0.023289445837804124
88,4.445311367386323,3.92817352746778,4.337067944529874,3.8708902207099665,1.4798483938226248,0.021573053297796463
89,4.445251404930276,3.9281164236854345,4.33700942537782,3.870834405286822,1.4798364487092375,0.0201308149223145
90,4.4451964952052085,3.928066419875467,4.336956007125218,3.8707853513353343,1.4798306633141634,0.018863289078763223
91,4.445142163246044,3.928017641355576,4.336902589735303,3.870737371465485,1.47982837358982,0.017623516885922896
92,4.445091101339559,3.927971115606508,4.336852217868554,3.8706914168862685,1.479831186499414,0.016436077036141583
93,4.445040983947317,3.927926041492889,4.3368026547723195,3.870646446031709,1.4798457120748898,0.015274056064695785
94,4.444991543496916,3.9278808110873618,4.336753453925215,3.8706012698322656,1.4798615838199858,0.014106729099760962
95,4.444942125120943,3.9278354779069193,4.336703906685806,3.870555903722246,1.479879779790516,0.012934494954963682
96,4.444893974305192,3.927791861937458,4.336656957455957,3.870512941419153,1.479879317941335,0.011824373796187615
97,4.444852922967128,3.9277544741077417,4.336616442505965,3.870476030661446,1.4798811048703842,0.01087062108351411
98,4.4448120864412495,3.9277178431575295,4.336576029409315,3.8704394765552763,1.4798930960995493,0.009926084041089744
99,4.444772011354201,3.9276819070947937,4.336536411686225,3.87040370224763,1.4799025955329004,0.00900169654320937
100,4.444731981950475,3.9276459438258793,4.336496862144498,3.870367991513946,1.4799097253160198,0.008078951759893371
101,4.444692202259293,3.92760985322961,4.336457965302737,3.870332568975114,1.4799060089470073,0.007163653765496214
102,4.444655094523165,3.9275766110022223,4.336422107919822,3.8703000604150923,1.4798994830645507,0.006323651304662725
103,4.444618958972393,3.92754484747533,4.336386612905124,3.8702687045992015,1.4799009383525519,0.0055134350879892935
104,4.444585259324005,3.927513243187154,4.336354197770729,3.870236979563297,1.479916189274788,0.004693678438894011
105,4.444554153761522,3.927481346704,4.3363221710915,3.8702037982153215,1.4799620762888877,0.0038362915249390284
106,4.444523912919687,3.9274549726574737,4.33629233877587,3.8701775769799163,1.4799681549044985,0.0031587499096819016
107,4.444494304731226,3.927424568163152,4.336263475355708,3.870147171196449,1.4799798155736843,0.0023730819834755223
108,4.444465764794413,3.927399159498131,4.336235318441382,3.870121999815487,1.479983310225741,0.0017226680021353857
109,4.444441744787911,3.9273769409904333,4.336211479322091,3.870099901276358,1.4799886611502,0.0011516544833334308
110,4.444420641301582,3.9273547150696078,4.336190502966495,3.870077629658719,1.4799983589977694,0.0005761687155381168
111,4.444399883530797,3.927332728696099,4.336169322170369,3.8700553316106254,1.4800149397769857,4.440892098500626e-14
