D_pw_mm,D_we_mm,L_we_mm,alpha,Z,Zmax,cage_valid,cage_mass,mass,sum4,diff,cageR,cageW,setok
3330.9,140.0,325.0,30.0,68,74.59,1,286.13594324369814,7773.468340582591,7773.468340582591,0.0,1.70045,0.397,1
3330.9,140.0,415.0,12.0,68,74.64,1,326.3540781253498,10053.757948870589,10053.757948870589,0.0,1.70045,0.487,1
3330.9,140.0,415.0,19.0,68,74.6,1,326.35407812535675,10008.43411634248,10008.43411634248,0.0,1.70045,0.487,1
3330.9,140.0,415.0,24.0,68,74.57,1,326.35407812533583,9976.788614888477,9976.788614888477,0.0,1.70045,0.487,1
3330.9,140.0,415.0,30.0,68,74.55,1,326.35407812535675,9945.566516619854,9945.566516619854,0.0,1.70045,0.487,1
3330.9,140.0,500.0,12.0,68,74.63,1,364.33787218025833,11960.922935130675,11960.922935130675,0.0,1.70045,0.5720000000000001,1
3330.9,140.0,500.0,19.0,68,74.58,1,364.33787218027226,12013.894012513458,12013.894012513458,0.0,1.70045,0.5720000000000001,1
3330.9,140.0,500.0,24.0,68,74.54,1,364.33787218025134,12046.46069264841,12046.46069264841,0.0,1.70045,0.5720000000000001,1
3330.9,140.0,500.0,30.0,68,74.51,1,364.33787218025134,12093.616236196716,12093.616236196716,0.0,1.70045,0.5720000000000001,1
3330.9,170.0,325.0,12.0,56,61.47,1,351.61180020523847,8641.4213178254,8641.4213178254,0.0,1.70795,0.397,1
3330.9,170.0,325.0,19.0,56,61.43,1,351.611800205235,8512.385923552381,8512.385923552381,0.0,1.70795,0.397,1
3330.9,170.0,325.0,24.0,56,61.41,1,351.611800205235,8398.326560340527,8398.326560340527,0.0,1.70795,0.397,1
3330.9,170.0,325.0,30.0,56,61.39,1,351.611800205228,8275.901673905491,8275.901673905491,0.0,1.70795,0.397,1
3330.9,170.0,415.0,12.0,56,61.45,1,401.3914093113869,10814.816524720825,10814.816524720825,0.0,1.70795,0.487,1
3330.9,170.0,415.0,19.0,56,61.41,1,401.3914093114008,10735.969610605222,10735.969610605222,0.0,1.70795,0.487,1
3330.9,170.0,415.0,24.0,56,61.38,1,401.39140931139383,10667.49234340812,10667.49234340812,0.0,1.70795,0.487,1
3330.9,170.0,415.0,30.0,56,61.35,1,401.39140931139735,10593.862225541963,10593.862225541963,0.0,1.70795,0.487,1
3330.9,170.0,500.0,12.0,56,61.43,1,448.405484578337,12876.618604217945,12876.618604217945,0.0,1.70795,0.5720000000000001,1
3330.9,170.0,500.0,19.0,56,61.38,1,448.405484578337,12895.334565137868,12895.334565137868,0.0,1.70795,0.5720000000000001,1
3330.9,170.0,500.0,24.0,56,61.35,1,448.405484578337,12883.878672366098,12883.878672366098,0.0,1.70795,0.5720000000000001,1
3330.9,170.0,500.0,30.0,56,61.31,1,448.405484578323,12880.245576410343,12880.245576410343,0.0,1.70795,0.5720000000000001,1
3330.9,200.0,325.0,12.0,48,52.23,1,412.6643901334746,9300.994783078888,9300.994783078888,0.0,1.7154500000000001,0.397,1
3330.9,200.0,325.0,19.0,48,52.2,1,412.6643901334781,9107.115331976056,9107.115331976054,1.8189894035458565e-12,1.7154500000000001,0.397,1
3330.9,200.0,325.0,24.0,48,52.18,1,412.6643901334816,8989.936770752189,8989.936770752189,0.0,1.7154500000000001,0.397,1
3330.9,200.0,325.0,30.0,48,52.16,1,412.6643901334816,8807.613511262602,8807.613511262602,0.0,1.7154500000000001,0.397,1
3330.9,200.0,415.0,12.0,48,52.21,1,470.706811884884,11645.12563933101,11645.125639331009,1.8189894035458565e-12,1.7154500000000001,0.487,1
3330.9,200.0,415.0,19.0,48,52.17,1,470.706811884891,11500.779714481068,11500.779714481068,0.0,1.7154500000000001,0.487,1
3330.9,200.0,415.0,24.0,48,52.14,1,470.7068118848771,11427.222042976897,11427.222042976897,0.0,1.7154500000000001,0.487,1
3330.9,200.0,415.0,30.0,48,52.12,1,470.706811884884,11279.304163531044,11279.304163531044,0.0,1.7154500000000001,0.487,1
3330.9,200.0,500.0,12.0,48,52.2,1,525.5246546500952,13879.631373644872,13879.631373644874,-1.8189894035458565e-12,1.7154500000000001,0.5720000000000001,1
3330.9,200.0,500.0,19.0,48,52.15,1,525.5246546500812,13821.32463813738,13821.32463813738,0.0,1.7154500000000001,0.5720000000000001,1
3330.9,200.0,500.0,24.0,48,52.11,1,525.5246546501021,13803.264005559931,13803.264005559931,0.0,1.7154500000000001,0.5720000000000001,1
3330.9,200.0,500.0,30.0,48,52.08,1,525.5246546501021,13711.392178212389,13711.39217821239,-1.8189894035458565e-12,1.7154500000000001,0.5720000000000001,1
3600.0,110.0,238.0,12.0,94,102.76,1,204.5736281089974,6403.318322480794,6403.318322480794,0.0,1.8275000000000001,0.3094,1
3600.0,110.0,238.0,19.0,94,102.74,1,204.57362810900088,6364.631918579998,6364.631918579998,0.0,1.8275000000000001,0.3094,1
3600.0,110.0,238.0,24.0,94,102.72,1,204.5736281089974,6275.879701931265,6275.879701931266,-9.094947017729282e-13,1.8275000000000001,0.3094,1
3600.0,110.0,238.0,30.0,94,102.71,1,204.57362810900088,6174.033482590705,6174.033482590705,0.0,1.8275000000000001,0.3094,1
3600.0,110.0,325.0,12.0,94,102.74,1,237.21532696529056,8453.023294069402,8453.023294069404,-1.8189894035458565e-12,1.8275000000000001,0.397,1
3600.0,110.0,325.0,19.0,94,102.71,1,237.2153269652801,8403.256303477227,8403.256303477228,-1.8189894035458565e-12,1.8275000000000001,0.397,1
3600.0,110.0,325.0,24.0,94,102.69,1,237.2153269652801,8322.455547545518,8322.455547545518,0.0,1.8275000000000001,0.397,1
3600.0,110.0,325.0,30.0,94,102.67,1,237.2153269652766,8273.753502844444,8273.753502844444,0.0,1.8275000000000001,0.397,1
3600.0,110.0,415.0,12.0,94,102.73,1,269.9568957463837,10571.948412254334,10571.948412254334,0.0,1.8275000000000001,0.487,1
3600.0,110.0,415.0,19.0,94,102.69,1,269.9568957463976,10540.094053828881,10540.094053828881,0.0,1.8275000000000001,0.487,1
3600.0,110.0,415.0,24.0,94,102.66,1,269.9568957463837,10524.37103801182,10524.37103801182,0.0,1.8275000000000001,0.487,1
3600.0,110.0,415.0,30.0,94,102.64,1,269.9568957463906,10553.51223309448,10553.51223309448,0.0,1.8275000000000001,0.487,1
3600.0,140.0,238.0,12.0,74,80.72,1,262.2819654069269,6913.4011302213175,6913.4011302213175,0.0,1.835,0.3094,1
3600.0,140.0,238.0,19.0,74,80.7,1,262.2819654069304,6819.163049537702,6819.163049537702,0.0,1.835,0.3094,1
3600.0,140.0,238.0,24.0,74,80.69,1,262.28196540693386,6702.628275079365,6702.628275079364,9.094947017729282e-13,1.835,0.3094,1
3600.0,140.0,238.0,30.0,74,80.67,1,262.2819654069234,6561.406340814748,6561.406340814748,0.0,1.835,0.3094,1
3600.0,140.0,325.0,12.0,74,80.71,1,304.3060564744859,9130.963744284734,9130.963744284734,0.0,1.835,0.397,1
3600.0,140.0,325.0,19.0,74,80.68,1,304.30605647449283,9010.997229094592,9010.997229094592,0.0,1.835,0.397,1
3600.0,140.0,325.0,24.0,74,80.66,1,304.30605647449636,8914.720849448102,8914.720849448102,0.0,1.835,0.397,1
3600.0,140.0,325.0,30.0,74,80.64,1,304.3060564744859,8813.408794851424,8813.408794851424,0.0,1.835,0.397,1
3600.0,140.0,415.0,12.0,74,80.69,1,346.46845276186065,11423.234183999519,11423.234183999519,0.0,1.835,0.487,1
3600.0,140.0,415.0,19.0,74,80.65,1,346.4684527618676,11324.174835395563,11324.174835395563,0.0,1.835,0.487,1
3600.0,140.0,415.0,24.0,74,80.63,1,346.4684527618885,11288.365369504289,11288.365369504289,0.0,1.835,0.487,1
3600.0,140.0,415.0,30.0,74,80.6,1,346.4684527618746,11251.745673371279,11251.745673371279,0.0,1.835,0.487,1
3600.0,140.0,500.0,12.0,74,80.68,1,386.2884936999481,13587.719663796253,13587.719663796252,1.8189894035458565e-12,1.835,0.5720000000000001,1
3600.0,140.0,500.0,19.0,74,80.63,1,386.2884936999551,13571.519682193384,13571.519682193382,1.8189894035458565e-12,1.835,0.5720000000000001,1
3600.0,140.0,500.0,24.0,74,80.6,1,386.2884936999551,13609.000637718756,13609.000637718756,0.0,1.835,0.5720000000000001,1
3600.0,140.0,500.0,30.0,74,80.57,1,386.2884936999621,13657.623453686627,13657.623453686629,-1.8189894035458565e-12,1.835,0.5720000000000001,1
3600.0,170.0,325.0,12.0,61,66.45,1,373.0494990567756,9807.309373604685,9807.309373604685,0.0,1.8425,0.397,1
3600.0,170.0,325.0,19.0,61,66.42,1,373.0494990567756,9636.68631839383,9636.68631839383,0.0,1.8425,0.397,1
3600.0,170.0,325.0,24.0,61,66.4,1,373.0494990567686,9506.862709112902,9506.862709112902,0.0,1.8425,0.397,1
3600.0,170.0,325.0,30.0,61,66.38,1,373.04949905677904,9355.219188080911,9355.219188080911,0.0,1.8425,0.397,1
3600.0,170.0,415.0,12.0,61,66.43,1,425.01664037755006,12273.78282493065,12273.782824930648,1.8189894035458565e-12,1.8425,0.487,1
3600.0,170.0,415.0,19.0,61,66.39,1,425.01664037754307,12130.419907635209,12130.419907635209,0.0,1.8425,0.487,1
3600.0,170.0,415.0,24.0,61,66.37,1,425.01664037754307,12051.205142890305,12051.205142890305,0.0,1.8425,0.487,1
3600.0,170.0,415.0,30.0,61,66.34,1,425.01664037752914,11952.56641026538,11952.56641026538,0.0,1.8425,0.487,1
3600.0,170.0,500.0,12.0,61,66.42,1,474.09671829161215,14603.047546986678,14603.047546986678,0.0,1.8425,0.5720000000000001,1
3600.0,170.0,500.0,19.0,61,66.37,1,474.0967182915982,14548.70630622266,14548.70630622266,0.0,1.8425,0.5720000000000001,1
3600.0,170.0,500.0,24.0,61,66.34,1,474.0967182916052,14533.961204473968,14533.961204473968,0.0,1.8425,0.5720000000000001,1
3600.0,170.0,500.0,30.0,61,66.31,1,474.0967182916052,14509.069256366494,14509.069256366494,0.0,1.8425,0.5720000000000001,1
3600.0,200.0,325.0,12.0,52,56.46,1,441.5676244974343,10473.666678978156,10473.666678978156,0.0,1.85,0.397,1
3600.0,200.0,325.0,19.0,52,56.43,1,441.5676244974413,10272.479177191744,10272.479177191744,0.0,1.85,0.397,1
3600.0,200.0,325.0,24.0,52,56.41,1,441.5676244974343,10111.654036027456,10111.654036027458,-1.8189894035458565e-12,1.85,0.397,1
3600.0,200.0,325.0,30.0,52,56.4,1,441.5676244974273,9907.773052932258,9907.77305293226,-1.8189894035458565e-12,1.85,0.397,1
3600.0,200.0,415.0,12.0,52,56.45,1,503.2033584730972,13112.414610503636,13112.414610503636,0.0,1.85,0.487,1
3600.0,200.0,415.0,19.0,52,56.41,1,503.2033584730972,12948.057799699547,12948.057799699547,0.0,1.85,0.487,1
3600.0,200.0,415.0,24.0,52,56.38,1,503.2033584730972,12830.66412992284,12830.66412992284,0.0,1.85,0.487,1
3600.0,200.0,415.0,30.0,52,56.36,1,503.2033584731111,12666.807601012346,12666.807601012346,0.0,1.85,0.487,1
3600.0,200.0,500.0,12.0,52,56.43,1,561.4148850056777,15609.486257096243,15609.486257096243,0.0,1.85,0.5720000000000001,1
3600.0,200.0,500.0,19.0,52,56.39,1,561.4148850056777,15538.541097439658,15538.541097439656,1.8189894035458565e-12,1.85,0.5720000000000001,1
3600.0,200.0,500.0,24.0,52,56.35,1,561.4148850056777,15479.424694784833,15479.424694784833,0.0,1.85,0.5720000000000001,1
3600.0,200.0,500.0,30.0,52,56.32,1,561.4148850056567,15376.495949780861,15376.495949780861,0.0,1.85,0.5720000000000001,1
3900.0,110.0,238.0,12.0,102,111.33,1,220.43644973328676,7344.817776545945,7344.817776545945,0.0,1.9775,0.3094,1
3900.0,110.0,238.0,19.0,102,111.31,1,220.43644973328676,7277.829998977894,7277.829998977894,0.0,1.9775,0.3094,1
3900.0,110.0,238.0,24.0,102,111.3,1,220.4364497332728,7208.484023600712,7208.484023600712,0.0,1.9775,0.3094,1
3900.0,110.0,238.0,30.0,102,111.28,1,220.4364497332798,7081.105744359777,7081.105744359777,0.0,1.9775,0.3094,1
3900.0,110.0,325.0,12.0,102,111.32,1,255.417967346988,9695.191384409158,9695.191384409158,0.0,1.9775,0.397,1
3900.0,110.0,325.0,19.0,102,111.29,1,255.417967346988,9608.127559621262,9608.127559621262,0.0,1.9775,0.397,1
3900.0,110.0,325.0,24.0,102,111.27,1,255.41796734697405,9533.918092916638,9533.91809291664,-1.8189894035458565e-12,1.9775,0.397,1
3900.0,110.0,325.0,30.0,102,111.25,1,255.41796734699497,9457.425703265824,9457.425703265824,0.0,1.9775,0.397,1
3900.0,110.0,415.0,12.0,102,111.3,1,290.49584902436567,12125.02790744964,12125.02790744964,0.0,1.9775,0.487,1
3900.0,110.0,415.0,19.0,102,111.26,1,290.49584902435873,12028.82739396118,12028.82739396118,0.0,1.9775,0.487,1
3900.0,110.0,415.0,24.0,102,111.24,1,290.4958490243866,12024.761680486992,12024.761680486992,0.0,1.9775,0.487,1
3900.0,110.0,415.0,30.0,102,111.22,1,290.49584902437965,12033.366006341284,12033.366006341284,0.0,1.9775,0.487,1
3900.0,140.0,238.0,12.0,80,87.46,1,283.98114002165596,7877.853112731605,7877.853112731605,0.0,1.9849999999999999,0.3094,1
3900.0,140.0,238.0,19.0,80,87.44,1,283.98114002165596,7789.872543672177,7789.872543672177,0.0,1.9849999999999999,0.3094,1
3900.0,140.0,238.0,24.0,80,87.43,1,283.9811400216664,7648.747833327567,7648.747833327567,0.0,1.9849999999999999,0.3094,1
3900.0,140.0,238.0,30.0,80,87.41,1,283.98114002166295,7486.7909977265845,7486.790997726585,-9.094947017729282e-13,1.9849999999999999,0.3094,1
3900.0,140.0,325.0,12.0,80,87.44,1,329.53520414790955,10403.898861211193,10403.898861211193,0.0,1.9849999999999999,0.397,1
3900.0,140.0,325.0,19.0,80,87.42,1,329.53520414790256,10289.979748329344,10289.979748329344,0.0,1.9849999999999999,0.397,1
3900.0,140.0,325.0,24.0,80,87.4,1,329.53520414790955,10141.588197539175,10141.588197539175,0.0,1.9849999999999999,0.397,1
3900.0,140.0,325.0,30.0,80,87.38,1,329.53520414789557,10025.225476025242,10025.225476025242,0.0,1.9849999999999999,0.397,1
3900.0,140.0,415.0,12.0,80,87.43,1,375.24214672724133,13015.142809951556,13015.142809951556,0.0,1.9849999999999999,0.487,1
