DLC,k_A,k_B,dk,branch_A_pct,branch_B_pct,D30_UW_A,D30_UW_B,d_pct,D30_DW_A,D30_DW_B
DLC2.4.1-a-s5,0.52,0.51,-0.01,22.6,22.8,0.000081,0.000080,-1.206,0.000016,0.000016
DLC2.4.1-a-s2,0.5,0.49,-0.01,23.0,23.1,0.000080,0.000079,-1.736,0.000016,0.000016
DLC2.4.1-b-s3,0.57,0.59,0.02,1.2,1.3,0.000076,0.000078,+2.284,0.000013,0.000014
DLC2.4.1-b-s6,0.6,0.59,-0.01,6.0,6.5,0.000076,0.000075,-0.963,0.000016,0.000015
DLC2.4.1-b-s1,0.75,0.76,0.01,11.0,12.6,0.000070,0.000071,+1.637,0.000014,0.000014
DLC2.4.1-a-s1,0.42,0.41,-0.01,25.8,26.0,0.000065,0.000064,-1.136,0.000012,0.000012
DLC2.4.2-a-s5,0.28,0.27,-0.01,51.1,54.0,0.000065,0.000064,-0.834,0.000013,0.000013
DLC2.4.1-a-s6,0.38,0.38,0.0,24.1,24.3,0.000064,0.000064,-0.534,0.000012,0.000012
DLC2.4.1-b-s4,0.71,0.71,0.0,15.5,16.3,0.000062,0.000062,+0.220,0.000011,0.000011
DLC2.4.2-a-s3,0.29,0.27,-0.02,32.6,33.2,0.000062,0.000062,-0.743,0.000012,0.000012
DLC2.4.2-a-s2,0.23,0.23,0.0,28.6,28.8,0.000058,0.000058,-0.801,0.000011,0.000011
DLC2.4.2-a-s6,0.27,0.25,-0.02,39.0,41.9,0.000057,0.000056,-1.330,0.000009,0.000009
DLC2.4.1-b-s2,0.85,0.84,-0.01,15.6,17.3,0.000051,0.000051,-0.382,0.000014,0.000013
DLC2.4.2-b-s5,0.58,0.54,-0.04,27.3,30.6,0.000051,0.000049,-3.826,0.000020,0.000019
DLC2.4.2-a-s4,0.26,0.24,-0.02,34.8,35.4,0.000048,0.000047,-1.333,0.000007,0.000007
DLC2.4.2-b-s2,0.57,0.55,-0.02,28.6,29.8,0.000048,0.000046,-3.284,0.000019,0.000018
DLC2.4.2-b-s3,0.5,0.48,-0.02,12.0,13.3,0.000046,0.000045,-1.103,0.000007,0.000007
DLC2.4.2-b-s4,0.54,0.5,-0.04,21.2,22.8,0.000039,0.000038,-2.926,0.000008,0.000007
DLC2.4.2-b-s6,0.48,0.44,-0.04,34.3,36.0,0.000035,0.000034,-3.245,0.000014,0.000013
DLC2.4.2-b-s1,0.46,0.44,-0.02,27.9,29.3,0.000034,0.000033,-2.211,0.000014,0.000014
