DLC,k_A,k_B,dk,branch_A_pct,branch_B_pct,D30_UW_A,D30_UW_B,d_pct,D30_DW_A,D30_DW_B
DLC1.2-g-s1,0.4,0.39,-0.01,13.8,21.5,0.035533,0.035167,-1.029,0.003714,0.003653
DLC1.2-g-s3,0.42,0.4,-0.02,8.7,14.5,0.034693,0.033937,-2.178,0.002878,0.002765
DLC1.2-h-s1,0.46,0.45,-0.01,23.1,30.0,0.021939,0.021678,-1.194,0.003620,0.003550
DLC1.2-h-s4,0.47,0.46,-0.01,21.0,29.0,0.018737,0.018521,-1.150,0.002085,0.002043
DLC1.2-h-s5,0.47,0.46,-0.01,23.0,28.7,0.018725,0.018500,-1.199,0.002127,0.002084
DLC1.2-h-s2,0.49,0.48,-0.01,23.4,31.3,0.018407,0.018190,-1.178,0.002137,0.002095
DLC1.2-h-s3,0.46,0.45,-0.01,22.4,29.4,0.017901,0.017676,-1.253,0.002217,0.002173
DLC1.2-h-s6,0.48,0.47,-0.01,21.9,29.3,0.016932,0.016718,-1.267,0.001930,0.001892
DLC6.4-a-s3,3.0,3.0,0.0,0.0,0.0,0.015664,0.015664,+0.000,0.001820,0.001820
DLC6.4-a-s2,3.0,3.0,0.0,0.0,0.0,0.014393,0.014393,+0.000,0.001670,0.001670
DLC4.1-a-y1,0.12,0.1,-0.02,0.0,0.0,0.011862,0.011831,-0.267,0.001180,0.001176
DLC4.1-a-y2,0.12,0.1,-0.02,0.0,0.0,0.011564,0.011534,-0.259,0.001142,0.001138
DLC4.1-a-y3,0.11,0.1,-0.01,0.0,0.0,0.011464,0.011449,-0.130,0.001128,0.001126
DLC6.4-a-s5,3.0,3.0,0.0,0.0,0.0,0.010136,0.010136,+0.000,0.001176,0.001176
DLC6.4-a-s6,3.0,3.0,0.0,0.0,0.0,0.009936,0.009936,+0.000,0.001153,0.001153
DLC6.4-a-s4,3.0,3.0,0.0,0.0,0.0,0.009935,0.009935,+0.000,0.001154,0.001154
DLC6.4-a-s1,3.0,3.0,0.0,0.0,0.0,0.009277,0.009277,+0.000,0.001076,0.001076
DLC1.2-i-s3,0.48,0.47,-0.01,29.5,36.8,0.007871,0.007778,-1.177,0.001240,0.001214
DLC1.2-i-s5,0.56,0.53,-0.03,26.3,33.6,0.007571,0.007273,-3.940,0.002483,0.002353
