alpha,bin,현행기하_UW_RX_pin,UW_RX_masta,현행기하_UW_RX_err,현행기하_UW_RY_pin,UW_RY_masta,현행기하_UW_RY_err,현행기하_UW_RZ_pin,UW_RZ_masta,현행기하_UW_RZ_err,현행기하_UW_Fr_pin,UW_Fr_masta,현행기하_UW_Fr_err,현행기하_DW_RX_pin,DW_RX_masta,현행기하_DW_RX_err,현행기하_DW_RY_pin,DW_RY_masta,현행기하_DW_RY_err,현행기하_DW_RZ_pin,DW_RZ_masta,현행기하_DW_RZ_err,현행기하_DW_Fr_pin,DW_Fr_masta,현행기하_DW_Fr_err,L_eff_UW_RX_pin,L_eff_UW_RX_err,L_eff_UW_RY_pin,L_eff_UW_RY_err,L_eff_UW_RZ_pin,L_eff_UW_RZ_err,L_eff_UW_Fr_pin,L_eff_UW_Fr_err,L_eff_DW_RX_pin,L_eff_DW_RX_err,L_eff_DW_RY_pin,L_eff_DW_RY_err,L_eff_DW_RZ_pin,L_eff_DW_RZ_err,L_eff_DW_Fr_pin,L_eff_DW_Fr_err
19.0,11,9945.85291155649,9725.219201636999,2.2686759582997595,-6031.652844349778,-4154.680246522191,45.17730574810825,6908.941379016485,5961.1370894958545,15.89972307784635,11631.888332212853,10575.502658064566,9.988987836362728,-4448.829581312339,-4228.19587127064,5.218152535005327,6104.714349059648,4227.741751248518,44.39657642893704,-3251.219642793035,-2303.4153532797427,41.14778032384607,7553.781961850268,5979.250842796276,26.333250777578044,9724.709779024659,-0.005238160721920959,-4158.0725441224295,0.08165002837652313,6232.125801315587,4.545923164512411,10576.367408918934,0.008176924372560457,-4227.686448780511,-0.012048223536442748,4231.134048832299,0.08023899716154137,-2574.4040650921365,11.764648152863245,5981.289831498752,0.034101073129133574
19.0,12,10649.987842789627,10213.722004298093,4.271369813158676,-8189.30930800057,-5648.183556442346,44.99014109872197,7399.586563857654,6090.149911819937,21.500893590424177,13434.546065783974,11671.422135641773,15.106333312699194,-5138.425133557432,-4702.159294779862,9.277989353995174,8246.410916434043,5705.285164932861,44.53985520513566,-4181.9928626731125,-2872.55621069188,45.584370015368414,9716.311329710325,7393.279437887332,31.42085878586527,10213.684280776957,-0.0003693415693062363,-5652.0062467293865,0.06767999391024127,6400.991050927452,5.103998154531886,11673.239533242617,0.015571346659593033,-4702.121571544762,-0.0008022534485507826,5709.107855162858,0.06700261458432166,-3183.397349742912,10.821063758267169,7396.205768870201,0.03958096007938838
19.0,13,8626.963350388349,8814.61192285455,-2.128835326030254,-6457.769367055037,-4457.624186631029,44.87020656480401,6060.482160248081,5121.698847995247,18.3295297149362,10776.236905665082,9877.641253850412,9.097269567918232,-3131.224407311808,-3318.8729794905635,-5.653984751400709,6486.761466140134,4486.6162857627405,44.580259442386485,-3100.222766191563,-2161.43945399123,43.43324586153974,7202.9605446334135,5580.738620439414,29.06822975461749,8812.835308842525,-0.02015532876062931,-4459.426899472959,0.04044111316823251,5362.4316819570695,4.700253589803527,9876.86966870195,-0.007811431177073835,-3317.0963657659877,-0.05353063330697516,4488.418998558056,0.040179785399430124,-2402.1722879005524,11.137616344737044,5581.131910857763,0.007047282539063282
19.0,14,9553.452580928284,9450.185793956736,1.092748748258332,-1808.3158243048076,-1255.1884794489085,44.067273872586064,4940.367342089217,4635.6031557653305,6.5744235665395445,9723.089135479346,9533.179409789946,1.9920922236539074,-4087.6180005706374,-3984.3512132936153,2.5918093498503936,1773.138243898999,1220.0108990464537,45.33790192242244,-1917.7456247136624,-1612.9814384317394,18.894463322419732,4455.630163126908,4166.9510657873625,6.927825471955673,9448.650064056641,-0.016250790551419758,-1255.4204082861127,0.018477610414802115,4815.514334187939,3.8810737756715064,9531.68759635663,-0.01564864531746757,-3982.815483698994,-0.03854403169825105,1220.2428278803038,0.019010390319573744,-1792.8926168123853,11.153952184072802,4165.550592200961,-0.033609072059925804
19.0,15,12632.875897824657,11572.620903309347,9.161753446983777,-754.0244677010617,-525.8776910402379,43.3839998440563,7115.165330569053,6373.542008911792,11.635968204497393,12655.358799644166,11584.563087041577,9.243298211223628,-7184.942771535046,-6124.687775686033,17.311168090201168,721.2395552324502,493.09277852586615,46.26852929962677,-3108.009415502743,-2366.386093334331,31.33991212412157,7221.051801937555,6144.504930250466,17.520481859930847,11574.523331547178,0.016439043961824495,-526.277105829598,0.07595203146382179,6652.639292789926,4.37899810635729,11586.481689652403,0.01656171748911639,-6126.5902052575675,0.031061658017694782,493.49219336098673,0.08100196403497684,-2645.483377723616,11.794241234574955,6146.433281836402,0.03138335159342809
19.0,16,12227.40260496872,11290.872251628049,8.294579306799177,-2171.7239661535573,-1504.5824105478052,44.34064567874696,7132.077419895533,6389.717759486799,11.61803523021896,12418.766422199973,11390.678839854721,9.02569194338172,-6789.921870368992,-5853.391516732998,15.999790052634433,2141.0820203803537,1473.9404647315052,45.26244930594099,-3064.3002806774653,-2321.9406202118694,31.97151787619177,7119.499366086858,6036.115699830045,17.948358184839243,11292.628217273414,0.015552081417902208,-1505.9243733841072,0.08919171372030466,6666.652753213007,4.334072398034228,11392.596730856054,0.01683737227866633,-5855.1474826736885,0.02999911992338511,1475.2824276109036,0.0910459351316284,-2598.875613994939,11.92687665534704,6038.146262312429,0.0336402180369344
19.0,17,9812.640149913028,9631.557291139117,1.880099482359987,-4821.130551694642,-3324.4616668907693,45.0198869702608,6601.725708177418,5851.33715495832,12.824223478273368,10933.032813824746,10189.15802346402,7.3006502465434275,-4325.564052354845,-4144.4811934644495,4.369252758968978,4855.58896337202,3358.9200785393978,44.5580379954571,-2798.894827159361,-2048.5062739424116,36.6310107399771,6502.864642005447,5334.7041583386435,21.897380791788777,9631.091458209165,-0.004836527633811372,-3327.2641610913747,0.08429918830217265,6099.5422788196165,4.241853054920486,10189.632450391555,0.004656193636831674,-4144.015360650984,-0.011239834172738217,3361.7225727687533,0.08343438259401648,-2296.7113978015595,12.11639559108939,5336.1073795018665,0.02630363599505081
19.0,18,7703.3912773280545,8171.466158731857,-5.728162759428768,440.21504636156334,296.91940810754187,48.2607853650715,4291.686264321671,4344.21940958907,-1.2092654701427286,7715.959205352052,8176.858829539062,-5.636634235655391,-2241.799001121645,-2709.873882207734,-17.27293968030529,-486.65472257550283,-343.3590843173545,41.733463538045015,-987.3650204528541,-1039.8981657559193,-5.05175862723809,2294.0129861086325,2731.5402098916406,-16.01760143228369,8169.148996269944,-0.0283567528384987,297.1273404375211,0.07002988834732271,4479.023996617337,3.1030796172658803,8174.5507509399995,-0.028226959119359574,-2707.556720063534,-0.0855081175332062,-343.5670166514606,0.06055827371496125,-1174.70275274852,12.963248847987806,2729.267610054387,-0.0831984764135485
19.0,19,10458.092715643279,10074.571645761725,3.806822596203374,-1956.5301087045334,-1356.017077096167,44.285064085942835,5995.330625161504,5533.434684311045,8.347364109313027,10639.535390009207,10165.420609053152,4.663995708488611,-4990.463645259354,-4606.942575002431,8.32485024532177,1927.6030890080933,1327.090057400977,45.250360234269536,-2302.605677673356,-1840.7097368340187,25.093361087652433,5349.801964877655,4794.276578361177,11.58726196614992,10074.255319943079,-0.003139843854105262,-1356.9078884205849,0.06569322315066461,5756.2025541902085,4.025851619985277,10165.225982193382,-0.0019145972139700262,-4606.6262495591545,-0.0068662771051775096,1327.980868724145,0.06712515990907608,-2063.477606702059,12.102281278263693,4794.219288979674,-0.001194953619509942
19.0,20,11375.748681456056,10707.667554392438,6.239277822830425,-2724.593422953393,-1878.7421144866282,45.02221470123888,6460.096489904852,5804.193665394865,11.300498610522602,11697.481241021509,10871.238033827343,7.600267831715168,-5911.838792364006,-5243.757664899723,12.740503473992227,2745.626841654509,1899.77553318774,44.52374997415971,-2805.5406556381004,-2149.6378311282883,30.512247924365287,6518.305351892746,5577.288008045967,16.87231038614534,10708.006521689525,0.0031656501788601688,-1880.1152720912971,0.07308920123101359,6055.412210790392,4.328224726430396,10871.809283872502,0.005254691723055593,-5244.096632597476,0.006464213631041105,1901.1486907924127,0.07227999206667057,-2400.85637652364,11.6865521139202,5578.074563549854,0.014102831030982088
