design,DLC,k,ksel,nbin,ScaleFactor,eps_UW,eps_Sys,D30_UW,D30_DW,life_UW_yr,life_DW_yr,life_Sys_yr,t_s
D2,DLC1.2-h-s4,0.4,center,30,6126.0,2.3759,0.8446,0.00039152913821903675,3.160613776165077e-05,76622.6496869738,949182.7260336892,72819.99185307314,2.404
D2,DLC1.2-h-s5,0.41,center,30,6126.0,2.5293,1.0764,0.00040244382335471036,2.9510154038861904e-05,74544.56562390391,1016599.2343006078,71206.18427190675,2.37
D2,DLC1.2-h-s6,0.42,center,30,6126.0,2.6643,1.2119,0.00037664926859861997,2.3236225010656445e-05,79649.69668365346,1291087.5146992076,76687.96158423254,2.452
D2,DLC1.2-i-s1,0.52,center,30,2997.0,2.6393,0.6124,0.00015932097142826147,1.1250035503384843e-05,188299.12804987072,2666658.251076077,180200.84663577712,2.431
D2,DLC1.2-i-s2,0.43,center,30,2997.0,2.0501,0.5899,0.00015981436610646623,1.620219465707952e-05,187717.79240430985,1851601.010539122,175861.99017300206,2.43
D2,DLC1.2-i-s3,0.45,center,30,2997.0,2.7556,1.3323,0.00016727197298020872,1.5350803880759404e-05,179348.6348340588,1954295.047544826,169149.59679822015,2.39
D2,DLC1.2-i-s4,0.49,center,30,2997.0,2.7241,0.8334,0.00014281460030543167,1.2111147095483226e-05,210062.55618011212,2477056.860385116,199076.0698198884,2.35
D2,DLC1.2-i-s5,0.5,min_pos,30,2997.0,3.0043,0.3344,0.00016764737109374546,2.1346786012683894e-05,178947.03510277253,1405363.7855447896,164622.17734295677,2.457
D2,DLC1.2-i-s6,0.49,center,30,2997.0,1.9568,0.1261,0.0001425618643349045,1.406514869262829e-05,210434.95846493973,2132931.592520124,197519.00831571346,2.356
D2,DLC1.2-j-s1,0.52,min_pos,30,1332.0,4.278,1.3207,5.52061990740219e-05,7.651877680971222e-06,543417.2339916977,3920606.3205380747,495962.5937575259,2.457
D2,DLC1.2-j-s2,0.56,center,30,1332.0,2.1411,0.0262,5.926470491938442e-05,8.0917424792538e-06,506203.4821705075,3707483.28643876,462672.9744398781,2.315
D2,DLC1.2-j-s3,0.54,center,30,1332.0,2.7729,0.26,5.875073375970651e-05,6.7488795797906074e-06,510631.9203212257,4445182.292159195,473885.68945206207,2.457
D2,DLC1.2-j-s4,0.52,center,30,1332.0,2.4854,0.319,5.593259801697743e-05,6.298786938050111e-06,536359.8521008088,4762821.840944341,498551.4313845077,2.471
D2,DLC1.2-j-s5,0.57,min_pos,30,1332.0,3.5016,1.2432,5.703429191082498e-05,9.45253842420286e-06,525999.3417101768,3173750.6533891633,470966.93806430104,2.419
D2,DLC1.2-j-s6,0.58,center,30,1332.0,2.4784,0.64,5.8863390929377264e-05,4.9141919402650835e-06,509654.6346776591,6104767.65349579,483439.58895496005,2.536
D2,DLC1.2-k-s1,0.63,min_pos,30,538.2,3.8707,1.5775,2.0645083461437732e-05,5.1506245807778686e-06,1453130.478064475,5824536.331372316,1226879.0408637156,2.575
D2,DLC1.2-k-s2,0.66,center,30,538.2,2.0887,0.1811,1.4877341518131849e-05,3.695287836353898e-06,2016489.301091685,8118447.419673994,1703826.252347515,2.647
D2,DLC1.2-k-s3,0.64,center,30,538.2,2.4637,0.1105,1.8655209183084747e-05,5.62920907455021e-06,1608129.9172566729,5329345.49111539,1309696.738907222,2.506
D2,DLC1.2-k-s4,0.62,center,30,538.2,2.6893,0.391,2.683480159771768e-05,8.239779087773823e-06,1117951.25038493,3640874.309908863,907192.1713979273,2.614
D2,DLC1.2-k-s5,0.52,center,30,538.2,0.5829,1.3027,1.832695565196503e-05,8.073187645388645e-06,1636933.0820519216,3716004.299384248,1215628.8830135074,2.543
D2,DLC1.2-k-s6,0.6,min_pos,30,538.2,4.4196,1.621,1.941487388144762e-05,5.415961544381042e-06,1545207.0501816275,5539182.6094342265,1278282.9081800662,2.558
D2,DLC2.4.1-a-s1,0.31,center,3,50.0,2.6991,0.9616,1.4896233352398985e-06,1.862533184020848e-07,20139319.30998423,161070955.71438795,18557120.680234164,0.428
D2,DLC2.4.1-a-s2,0.39,center,3,50.0,1.7525,0.305,1.7055230702488198e-06,2.1762873990509428e-07,17589911.578049354,137849440.35003236,16178740.634949401,0.414
D2,DLC2.4.1-a-s3,0.33,min_pos,3,50.0,3.9262,1.3267,1.8692938791276502e-06,2.438297309200573e-07,16048840.86711941,123036677.6307352,14731856.014475066,0.427
D2,DLC2.4.1-a-s4,0.42,min_pos,3,50.0,4.0268,0.6028,1.8202438076709904e-06,2.291739944606912e-07,16481308.643145517,130904905.11629893,15177212.530812219,0.38
D2,DLC2.4.1-a-s5,0.43,center,3,50.0,2.8811,1.2678,1.7736863480116597e-06,2.292773308249119e-07,16913926.20438819,130845905.66395578,15538782.68195634,0.518
D2,DLC2.4.1-a-s6,0.28,center,3,50.0,2.3352,0.9639,1.5077855378570264e-06,1.8179678512955868e-07,19896728.842908364,165019419.78027996,18391182.659278058,0.429
D2,DLC2.4.1-b-s1,0.91,min_pos,3,50.0,5.2632,0.2155,1.5797255933294048e-06,1.9426356738260369e-07,18990639.973599765,154429368.32779744,17524060.688576143,0.336
D2,DLC2.4.1-b-s2,0.97,min_pos,3,50.0,5.2028,1.0752,1.1076801558083666e-06,1.5587985525641267e-07,27083630.452968165,192455913.88734525,24681587.221488252,0.354
D2,DLC2.4.1-b-s3,0.77,min_pos,3,50.0,6.9772,0.966,1.6690340955792847e-06,1.859126562642631e-07,17974468.034811277,161366098.48313335,16721779.088112632,0.335
D2,DLC2.4.1-b-s4,0.9,min_pos,3,50.0,5.8603,0.9454,1.4830328157050778e-06,1.6226543480221288e-07,20228817.381722677,184882258.1134875,18845068.055977955,0.36
D2,DLC2.4.1-b-s5,0.8,min_pos,3,50.0,7.4308,1.5415,2.2086160131742028e-06,3.659084641708281e-07,13583166.933977026,81987718.07037018,12162559.51813891,0.47
D2,DLC2.4.1-b-s6,0.7,min_pos,3,50.0,4.862,1.1804,1.5549024296322186e-06,1.9328953546804083e-07,19293815.115522012,155207574.62299508,17787096.837509617,0.371
D2,DLC2.4.2-a-s1,0.28,center,15,25.0,2.8233,1.5268,2.4945624818978354e-06,1.9839048214894468e-07,12026156.978508044,151216931.75520912,11438739.900653018,1.381
D2,DLC2.4.2-a-s2,0.19,center,15,25.0,1.8323,1.5234,1.8395314759845787e-06,1.486808317783034e-07,16308500.502250442,201774496.69324368,15498061.986934518,1.556
D2,DLC2.4.2-a-s3,0.22,center,15,25.0,2.0039,1.32,1.7786576577104328e-06,1.4045512203068783e-07,16866652.146325525,213591356.2016296,16049014.171419198,1.479
D2,DLC2.4.2-a-s4,0.18,center,15,25.0,1.3636,1.3781,1.6116300760841368e-06,1.1883359304662936e-07,18614693.561001662,252453866.2079185,17776092.441033613,1.55
D2,DLC2.4.2-a-s5,0.25,center,15,25.0,2.4711,1.3892,1.8300001602501574e-06,1.384512277722368e-07,16393441.187403535,216682802.187586,15634288.410926843,1.417
D2,DLC2.4.2-a-s6,0.2,center,15,25.0,1.7098,1.3336,1.718659050711013e-06,1.156992201415968e-07,17455469.127276253,259293018.25271544,16742319.301489579,1.436
D2,DLC2.4.2-b-s1,0.32,center,15,25.0,2.8458,1.7471,1.0141993598531187e-06,1.2682115425141123e-07,29579983.174456693,236553595.31366327,27255875.536202867,1.488
D2,DLC2.4.2-b-s2,0.48,center,15,25.0,2.6565,0.5407,1.4221901172997577e-06,1.970494929266178e-07,21094226.176286135,152246014.71657756,19252848.165416278,1.395
D2,DLC2.4.2-b-s3,0.41,center,15,25.0,2.4993,0.8054,1.5618477293567854e-06,1.5052501120030534e-07,19208018.448991105,199302426.6251584,18057790.630885348,1.517
D2,DLC2.4.2-b-s4,0.4,center,15,25.0,2.678,1.3611,1.3339931575243211e-06,1.3869357865244906e-07,22488870.974177424,216304174.21975043,21030490.066952873,1.458
D2,DLC2.4.2-b-s5,0.41,center,15,25.0,2.6585,1.5256,1.383806719072316e-06,1.8495985571018452e-07,21679328.17966917,162197358.3662787,19855215.91511847,1.371
D2,DLC2.4.2-b-s6,0.28,center,15,25.0,2.9306,1.768,1.0817716359279956e-06,1.283833629582749e-07,27732285.635557972,233675137.56241232,25667951.130518943,1.475
D2,DLC4.1-a-y1,0.34,center,10,10000.0,1.7252,1.506,0.0004803967890091757,4.2807259980883235e-05,62448.37743789955,700815.7030699309,59006.09214672726,1.18
D2,DLC4.1-a-y2,0.34,center,10,10000.0,1.6889,1.4733,0.0004699058926539379,4.1595733836639734e-05,63842.57032948828,721227.8095109457,60348.06812014206,1.13
D2,DLC4.1-a-y3,0.34,center,10,10000.0,1.744,1.5441,0.0004741353596928923,4.2008352937819115e-05,63273.070414810754,714143.6857666399,59806.39741292447,1.14
D2,DLC4.1-b-y1,0.11,center,10,500.0,1.3175,1.5744,2.210296800275121e-05,1.8007832952262135e-06,1357283.7818100187,16659417.08784644,1289259.097160163,1.181
D2,DLC4.1-b-y2,0.06,center,10,500.0,1.1295,1.4534,2.046420903037928e-05,1.6104829394638453e-06,1465974.079695177,18627952.687277436,1395167.3457304048,1.095
D2,DLC4.1-b-y3,0.15,center,10,500.0,1.3847,1.5677,2.1365941939366407e-05,1.685329566853873e-06,1404103.787473347,17800672.69335527,1336118.2499948633,1.09
D2,DLC4.1-c-y1,0.12,center,10,500.0,1.8267,1.2919,1.7423009488136966e-05,1.7041916022024743e-06,1721860.9689919811,17603654.4020217,1617132.32483817,1.094
D2,DLC4.1-c-y2,0.28,center,10,500.0,2.8748,1.7197,1.5700101649553245e-05,1.5392361789513226e-06,1910815.6539135317,19490186.373113267,1794310.125961897,1.036
D2,DLC4.1-c-y3,0.5,center,10,500.0,2.8106,0.2175,2.3779707080783163e-05,2.811218699521614e-06,1261579.879772513,10671528.332215887,1168047.3537186761,0.981
