model,DLC,brg,nbin,k,ScaleFactor,rev_total,rpm_tw,dur_total,nbin_all,kappa_w,kappa_m,lambda_in_w,lambda_in_m,lambda_out_w,lambda_out_m,hmin_in_um_w,hmin_in_um_m,hmin_out_um_w,hmin_out_um_m,nu_mm2s_w,nu_mm2s_m,nu1_mm2s_w,nu1_mm2s_m,a_iso_w,a_iso_m,cap_pct,lam_min,lam_max,regime_w,D30_UW,D30_DW,dmg_pct
기준선,DLC1.2-c-s4,DW,30,0.26,45040.0,2143849.5016,4.7591,27028490.6,30,1.38227,1.37916,2.44522,2.44004,2.51211,2.50679,0.73846,0.73689,0.75866,0.75705,294.63725,294.63725,213.55135,214.04798,1.64882,1.64174,0.0,2.2029,2.7066,혼합 (1≤λ<3),0.17505,0.025561,2.528
기준선,DLC1.2-c-s4,UW,30,0.26,45040.0,2143849.5016,4.7591,27028490.6,30,1.38227,1.37916,2.32234,2.31669,2.38587,2.38007,0.70135,0.69964,0.72053,0.71878,294.63725,294.63725,213.55135,214.04798,1.01531,1.01148,0.0,2.0558,2.5084,혼합 (1≤λ<3),0.17505,0.025561,2.528
기준선,DLC1.2-c-s5,DW,30,0.24,45040.0,2145418.2448,4.7626,27028510.9,30,1.38716,1.37963,2.44891,2.44181,2.5159,2.50861,0.73957,0.73743,0.7598,0.7576,294.63725,294.63725,213.3661,214.50612,1.64093,1.65382,0.0,2.2757,2.7283,혼합 (1≤λ<3),0.180751,0.029392,2.61
기준선,DLC1.2-c-s5,UW,30,0.24,45040.0,2145418.2448,4.7626,27028510.9,30,1.38716,1.37963,2.32335,2.31338,2.3869,2.37666,0.70165,0.69864,0.72084,0.71775,294.63725,294.63725,213.3661,214.50612,1.00451,1.00489,0.0,2.0646,2.5813,혼합 (1≤λ<3),0.180751,0.029392,2.61
기준선,DLC1.2-c-s6,DW,30,0.25,45040.0,2139286.0488,4.749,27028503.2,30,1.38574,1.37615,2.43765,2.43001,2.50433,2.49648,0.73617,0.73386,0.75631,0.75394,294.63725,294.63725,213.84224,215.38679,1.59564,1.61971,0.0,2.2554,2.5779,혼합 (1≤λ<3),0.195351,0.035496,2.821
기준선,DLC1.2-c-s6,UW,30,0.25,45040.0,2139286.0488,4.749,27028503.2,30,1.38574,1.37615,2.31561,2.30369,2.37895,2.36671,0.69931,0.69571,0.71844,0.71475,294.63725,294.63725,213.84224,215.38679,0.98941,0.99185,0.0,1.9929,2.5241,혼합 (1≤λ<3),0.195351,0.035496,2.821
기준선,DLC1.2-d-s1,DW,30,0.24,38180.0,2227363.5482,5.8329,22911814.5,30,1.63638,1.63289,2.75802,2.7556,2.83347,2.83098,0.83292,0.83219,0.85571,0.85496,294.63725,294.63725,180.37116,180.7815,1.67294,1.68503,0.0,2.5745,3.0253,혼합 (1≤λ<3),0.239055,0.06247,3.452
기준선,DLC1.2-d-s1,UW,30,0.24,38180.0,2227363.5482,5.8329,22911814.5,30,1.63638,1.63289,2.66933,2.66569,2.74235,2.7386,0.80614,0.80504,0.82819,0.82706,294.63725,294.63725,180.37116,180.7815,1.05711,1.05954,0.0,2.4487,2.8349,혼합 (1≤λ<3),0.239055,0.06247,3.452
기준선,DLC1.2-d-s2,DW,30,0.24,38180.0,2201661.5358,5.7656,22911811.1,30,1.62673,1.61665,2.73737,2.72686,2.81225,2.80145,0.82669,0.82351,0.8493,0.84604,294.63725,294.63725,182.04962,183.29049,1.57022,1.58583,0.0,2.4368,2.9061,혼합 (1≤λ<3),0.217708,0.047033,3.144
기준선,DLC1.2-d-s2,UW,30,0.24,38180.0,2201661.5358,5.7656,22911811.1,30,1.62673,1.61665,2.65291,2.64007,2.72548,2.71229,0.80118,0.7973,0.82309,0.81911,294.63725,294.63725,182.04962,183.29049,1.04243,1.04376,0.0,2.299,2.8225,혼합 (1≤λ<3),0.217708,0.047033,3.144
기준선,DLC1.2-d-s3,DW,30,0.23,38180.0,2201820.7464,5.766,22911814.0,30,1.62214,1.6172,2.74164,2.73801,2.81664,2.81291,0.82798,0.82688,0.85062,0.8495,294.63725,294.63725,182.09145,182.68427,1.66296,1.68155,0.0,2.5314,2.9306,혼합 (1≤λ<3),0.213046,0.050052,3.077
기준선,DLC1.2-d-s3,UW,30,0.23,38180.0,2201820.7464,5.766,22911814.0,30,1.62214,1.6172,2.65156,2.64611,2.72409,2.71849,0.80077,0.79912,0.82268,0.82098,294.63725,294.63725,182.09145,182.68427,1.05644,1.0594,0.0,2.3657,2.8061,혼합 (1≤λ<3),0.213046,0.050052,3.077
기준선,DLC1.2-d-s4,DW,30,0.24,38180.0,2195756.617,5.7501,22911812.3,30,1.62143,1.61321,2.73361,2.72407,2.80839,2.79859,0.82555,0.82267,0.84813,0.84517,294.63725,294.63725,182.47565,183.47318,1.57086,1.57328,0.0,2.3684,2.9962,혼합 (1≤λ<3),0.211552,0.04999,3.055
기준선,DLC1.2-d-s4,UW,30,0.24,38180.0,2195756.617,5.7501,22911812.3,30,1.62143,1.61321,2.64795,2.63699,2.72038,2.70913,0.79968,0.79637,0.82155,0.81816,294.63725,294.63725,182.47565,183.47318,1.04646,1.04572,0.0,2.2059,2.8814,혼합 (1≤λ<3),0.211552,0.04999,3.055
기준선,DLC1.2-d-s5,DW,30,0.25,38180.0,2231423.9912,5.8435,22911822.4,30,1.63927,1.63532,2.76465,2.75817,2.84028,2.83362,0.83493,0.83297,0.85776,0.85575,294.63725,294.63725,180.09424,180.5591,1.6942,1.68471,0.0,2.4523,3.102,혼합 (1≤λ<3),0.235754,0.062705,3.404
기준선,DLC1.2-d-s5,UW,30,0.25,38180.0,2231423.9912,5.8435,22911822.4,30,1.63927,1.63532,2.67472,2.66892,2.74789,2.74192,0.80777,0.80601,0.82986,0.82806,294.63725,294.63725,180.09424,180.5591,1.06066,1.0586,0.0,2.3945,2.8704,혼합 (1≤λ<3),0.235754,0.062705,3.404
기준선,DLC1.2-d-s6,DW,30,0.24,38180.0,2196936.7608,5.7532,22911818.8,30,1.62023,1.61412,2.73788,2.73061,2.81277,2.8053,0.82684,0.82464,0.84946,0.8472,294.63725,294.63725,182.41649,183.13679,1.64063,1.64685,0.0,2.4474,3.0271,혼합 (1≤λ<3),0.213288,0.049452,3.08
기준선,DLC1.2-d-s6,UW,30,0.24,38180.0,2196936.7608,5.7532,22911818.8,30,1.62023,1.61412,2.64931,2.64116,2.72178,2.71341,0.80009,0.79763,0.82198,0.81945,294.63725,294.63725,182.41649,183.13679,1.05615,1.05602,0.0,2.3652,2.8436,혼합 (1≤λ<3),0.213288,0.049452,3.08
기준선,DLC1.2-e-s1,DW,30,0.27,28490.0,1749253.5214,6.1389,17096842.7,30,1.70566,1.70384,2.86532,2.86235,2.94369,2.94065,0.86533,0.86443,0.889,0.88808,294.63725,294.63725,172.89383,173.07644,2.15141,2.14114,0.0,2.6274,3.5785,혼합 (1≤λ<3),0.175095,0.04438,2.528
기준선,DLC1.2-e-s1,UW,30,0.27,28490.0,1749253.5214,6.1389,17096842.7,30,1.70566,1.70384,2.77084,2.76833,2.84663,2.84406,0.83679,0.83604,0.85968,0.85891,294.63725,294.63725,172.89383,173.07644,1.10479,1.10364,0.0,2.5801,3.0441,혼합 (1≤λ<3),0.175095,0.04438,2.528
기준선,DLC1.2-e-s2,DW,30,0.28,28490.0,1732417.071,6.0798,17096840.8,30,1.6918,1.69024,2.83984,2.83655,2.91752,2.91414,0.85763,0.85664,0.88109,0.88007,294.63725,294.63725,174.28946,174.44805,1.70957,1.70114,0.0,2.6427,3.2541,혼합 (1≤λ<3),0.173135,0.04414,2.5
기준선,DLC1.2-e-s2,UW,30,0.28,28490.0,1732417.071,6.0798,17096840.8,30,1.6918,1.69024,2.75619,2.75353,2.83159,2.82885,0.83237,0.83157,0.85514,0.85431,294.63725,294.63725,174.28946,174.44805,1.10594,1.10374,0.0,2.5961,2.9989,혼합 (1≤λ<3),0.173135,0.04414,2.5
기준선,DLC1.2-e-s3,DW,30,0.26,28490.0,1729178.6127,6.0684,17096859.0,30,1.69094,1.68744,2.85318,2.84702,2.93122,2.9249,0.86166,0.8598,0.88523,0.88332,294.63725,294.63725,174.54245,174.92137,1.72238,1.71364,0.0,2.5394,3.155,혼합 (1≤λ<3),0.135775,0.029064,1.961
기준선,DLC1.2-e-s3,UW,30,0.26,28490.0,1729178.6127,6.0684,17096859.0,30,1.69094,1.68744,2.76257,2.75681,2.83814,2.83222,0.8343,0.83256,0.85712,0.85533,294.63725,294.63725,174.54245,174.92137,1.12529,1.12153,0.0,2.4544,2.9562,혼합 (1≤λ<3),0.135775,0.029064,1.961
기준선,DLC1.2-e-s4,DW,30,0.28,28490.0,1754406.5077,6.1569,17096847.0,30,1.70968,1.70802,2.87854,2.87487,2.95728,2.95351,0.86932,0.86821,0.8931,0.89196,294.63725,294.63725,172.47361,172.64107,1.80962,1.80114,0.0,2.6456,3.2472,혼합 (1≤λ<3),0.155891,0.038526,2.251
기준선,DLC1.2-e-s4,UW,30,0.28,28490.0,1754406.5077,6.1569,17096847.0,30,1.70968,1.70802,2.7842,2.78131,2.86036,2.85739,0.84083,0.83995,0.86383,0.86293,294.63725,294.63725,172.47361,172.64107,1.12442,1.122,0.0,2.6092,3.0063,혼합 (1≤λ<3),0.155891,0.038526,2.251
기준선,DLC1.2-e-s5,DW,30,0.25,28490.0,1748415.3456,6.1359,17096847.7,30,1.70449,1.70322,2.87671,2.87445,2.9554,2.95308,0.86877,0.86808,0.89253,0.89183,294.63725,294.63725,172.96711,173.09744,1.90286,1.90146,0.0,2.5882,3.2499,혼합 (1≤λ<3),0.162978,0.04532,2.354
기준선,DLC1.2-e-s5,UW,30,0.25,28490.0,1748415.3456,6.1359,17096847.7,30,1.70449,1.70322,2.77677,2.7749,2.85273,2.85081,0.83859,0.83802,0.86152,0.86094,294.63725,294.63725,172.96711,173.09744,1.12445,1.12347,0.0,2.5819,2.9862,혼합 (1≤λ<3),0.162978,0.04532,2.354
기준선,DLC1.2-e-s6,DW,30,0.27,28490.0,1748300.246,6.1355,17096845.0,30,1.70434,1.70314,2.87003,2.86849,2.94854,2.94695,0.86675,0.86628,0.89046,0.88998,294.63725,294.63725,172.9772,173.09867,1.77382,1.77336,0.0,2.6551,3.1847,혼합 (1≤λ<3),0.158426,0.0374,2.288
기준선,DLC1.2-e-s6,UW,30,0.27,28490.0,1748300.246,6.1355,17096845.0,30,1.70434,1.70314,2.77636,2.77506,2.85231,2.85097,0.83846,0.83807,0.8614,0.86099,294.63725,294.63725,172.9772,173.09867,1.11972,1.11986,0.0,2.6314,2.9376,혼합 (1≤λ<3),0.158426,0.0374,2.288
기준선,DLC1.2-f-s1,DW,30,0.34,18970.0,1169273.2394,6.1628,11383897.2,30,1.711,1.70937,2.91526,2.91326,2.99501,2.99295,0.88041,0.87981,0.90449,0.90387,294.63725,294.63725,172.33832,172.50419,2.04702,2.05513,0.0,2.6892,3.2585,혼합 (1≤λ<3),0.076565,0.017006,1.106
기준선,DLC1.2-f-s1,UW,30,0.34,18970.0,1169273.2394,6.1628,11383897.2,30,1.711,1.70937,2.80597,2.80372,2.88273,2.88041,0.8474,0.84672,0.87058,0.86988,294.63725,294.63725,172.33832,172.50419,1.19799,1.1973,0.0,2.636,3.0221,혼합 (1≤λ<3),0.076565,0.017006,1.106
기준선,DLC1.2-f-s2,DW,30,0.33,18970.0,1171495.9543,6.1745,11383897.4,30,1.71332,1.7121,2.92797,2.92608,3.00806,3.00612,0.88425,0.88368,0.90843,0.90785,294.63725,294.63725,172.07047,172.19418,1.96805,1.9671,0.0,2.7087,3.0997,혼합 (1≤λ<3),0.067072,0.013066,0.969
기준선,DLC1.2-f-s2,UW,30,0.33,18970.0,1171495.9543,6.1745,11383897.4,30,1.71332,1.7121,2.81448,2.81274,2.89147,2.88968,0.84997,0.84945,0.87322,0.87268,294.63725,294.63725,172.07047,172.19418,1.21244,1.21169,0.0,2.6682,2.9678,혼합 (1≤λ<3),0.067072,0.013066,0.969
기준선,DLC1.2-f-s3,DW,30,0.34,18970.0,1172050.2577,6.1774,11383897.6,30,1.71393,1.71278,2.91244,2.91108,2.99211,2.99071,0.87956,0.87915,0.90362,0.90319,294.63725,294.63725,172.00352,172.11968,2.05222,2.05186,0.0,2.6996,3.2811,혼합 (1≤λ<3),0.089416,0.02503,1.291
기준선,DLC1.2-f-s3,UW,30,0.34,18970.0,1172050.2577,6.1774,11383897.6,30,1.71393,1.71278,2.8107,2.8094,2.88758,2.88625,0.84883,0.84844,0.87205,0.87165,294.63725,294.63725,172.00352,172.11968,1.21512,1.21505,0.0,2.6517,3.0514,혼합 (1≤λ<3),0.089416,0.02503,1.291
기준선,DLC1.2-f-s4,DW,30,0.33,18970.0,1171649.9907,6.1753,11383895.3,30,1.71383,1.71224,2.93804,2.93526,3.01841,3.01555,0.88729,0.88645,0.91156,0.9107,294.63725,294.63725,172.04879,172.20778,2.10287,2.09869,0.0,2.569,3.2736,혼합 (1≤λ<3),0.079697,0.01897,1.151
