design,DLC,k,ksel,nbin,ScaleFactor,eps_UW,eps_Sys,D30_UW,D30_DW,life_UW_yr,life_DW_yr,life_Sys_yr,t_s
a01,DLC1.2-e-s5,0.2,center,30,28490.0,2.016,1.7796,0.014796584094052398,0.0008136384596881996,2027.4949819032038,36871.41339348256,1960.9365027627491,2.892
a01,DLC1.2-e-s6,0.2,center,30,28490.0,1.9142,1.6022,0.0146017073461377,0.000637992841971046,2054.55425785775,47022.47114139485,2002.0634453701773,2.835
a01,DLC1.2-f-s1,0.25,center,30,18970.0,1.8718,1.3787,0.006547990728524494,0.0002816291916970281,4581.558105956591,106523.0483361025,4466.5077527923095,2.885
a01,DLC1.2-f-s2,0.25,center,30,18970.0,1.9099,1.5465,0.006204795948267032,0.00021600629270813687,4834.9696347998115,138884.8427695362,4738.716103755848,2.753
a01,DLC1.2-f-s3,0.25,center,30,18970.0,2.3988,1.7997,0.006997273088553417,0.0004121169804719297,4287.384473971139,72794.86510273356,4135.758960081702,2.754
a01,DLC1.2-f-s4,0.25,center,30,18970.0,1.8735,1.3663,0.006704960182150699,0.0003205595712900079,4474.299501414358,93586.34926816526,4348.167509738587,2.834
a01,DLC1.2-f-s5,0.24,center,30,18970.0,1.7092,1.2629,0.006835295667629957,0.00034353788565337425,4388.983514213084,87326.61302535248,4258.326936088455,2.797
a01,DLC1.2-f-s6,0.27,center,30,18970.0,2.2215,1.5993,0.006739974087830384,0.00030787270345023876,4451.055687909489,97442.87058839199,4331.673706657815,2.765
a01,DLC1.2-g-s1,0.29,center,30,11340.0,2.1563,1.4153,0.0029187922588811725,0.00014338674220839033,10278.223778591067,209224.36438649026,9979.766039166978,2.796
a01,DLC1.2-g-s2,0.28,center,30,11340.0,1.8328,1.0897,0.0030476458148803376,0.00017398212791772913,9843.663543028184,172431.50408061504,9507.110440519133,2.843
a01,DLC1.2-g-s3,0.29,center,30,11340.0,1.9295,1.0135,0.002823725330209767,0.00011369177772095717,10624.26280596186,263871.32474638056,10376.088496682054,2.809
a01,DLC1.2-g-s4,0.29,center,30,11340.0,1.8541,1.036,0.003193961788839657,0.00015231881894084328,9392.723514985688,196955.30866511792,9128.66295080358,2.719
a01,DLC1.2-g-s5,0.32,center,30,11340.0,2.1886,1.3967,0.0030516603493935526,0.0001290862564361159,9830.71396066794,232402.74238525803,9588.3067727599,2.727
a01,DLC1.2-g-s6,0.31,center,30,11340.0,2.1741,1.2654,0.003133181417594263,0.00016389750016626467,9574.932313697547,183041.22985138095,9277.209055815421,2.614
a01,DLC1.2-h-s1,0.37,center,30,6126.0,2.4784,1.1295,0.001513939370787009,0.00012285833480318813,19815.85298518576,244183.6774693247,18826.885793845617,2.652
a01,DLC1.2-h-s2,0.4,center,30,6126.0,2.625,1.5939,0.001429615666964663,7.329146881962956e-05,20984.660907987614,409324.5841999709,20346.31861845723,2.58
a01,DLC1.2-h-s3,0.36,center,30,6126.0,2.3252,1.2336,0.0013679551287157647,7.725848823387561e-05,21930.543897418607,388306.8473872347,21189.427319899452,2.599
a01,DLC1.2-h-s4,0.36,center,30,6126.0,2.0814,0.8891,0.0013617706000615905,7.799982734972089e-05,22030.142227070515,384616.23595000623,21274.20520917366,2.73
a01,DLC1.2-h-s5,0.38,center,30,6126.0,2.909,1.8242,0.001418065293326774,7.751023031980606e-05,21155.584401632277,387045.6825662941,20465.60304160645,2.525
a01,DLC1.2-h-s6,0.39,center,30,6126.0,2.8794,1.7996,0.001331341088855197,6.309030975606305e-05,22533.66943387634,475508.8398835602,21904.537702064103,2.675
a01,DLC1.2-i-s1,0.48,center,30,2997.0,2.7693,1.1531,0.0005645412860935144,3.3696998538547336e-05,53140.48899344909,890287.007778506,51233.76449234756,2.476
a01,DLC1.2-i-s2,0.4,center,30,2997.0,1.9856,0.76,0.0005633258794330352,4.456453878084403e-05,53255.142529922094,673180.982474241,50668.53302701326,2.474
a01,DLC1.2-i-s3,0.41,center,30,2997.0,2.9229,1.687,0.0005869326644323041,4.3661100484886045e-05,51113.18864663419,687110.4866077518,48788.64792664116,2.521
a01,DLC1.2-i-s4,0.45,center,30,2997.0,2.4284,0.9899,0.0005172571306026443,3.6428811402604636e-05,57998.233808875084,823523.98678193,55510.90827434823,2.478
a01,DLC1.2-i-s5,0.45,center,30,2997.0,2.5913,0.6756,0.000586877975948076,6.191125737833299e-05,51117.951651765936,484564.54076959303,47752.111440950204,2.588
a01,DLC1.2-i-s6,0.45,center,30,2997.0,1.7851,0.3535,0.0005154952272530772,4.027231077806282e-05,58196.46509602271,744928.6971717956,55407.451253721825,2.589
a01,DLC1.2-j-s1,0.47,center,30,1332.0,2.919,0.6164,0.00019776129985580581,2.6078777607490914e-05,151698.03203090784,1150360.6668812095,139109.34596897624,2.573
a01,DLC1.2-j-s2,0.52,center,30,1332.0,2.9441,1.2502,0.00021687914203661251,2.7765940278407845e-05,138325.88841086222,1080460.4381912278,127190.70395778403,2.559
a01,DLC1.2-j-s3,0.5,center,30,1332.0,2.9348,0.9031,0.0002110096333364328,2.3331379855764292e-05,142173.60376228957,1285821.9353275048,132341.07783335008,2.572
a01,DLC1.2-j-s4,0.48,center,30,1332.0,2.8011,0.9488,0.00020310951256097826,2.1923545938994085e-05,147703.56947704896,1368391.777656771,137742.09637648487,2.484
a01,DLC1.2-j-s5,0.52,center,30,1332.0,1.793,0.1256,0.00020271325271787065,3.073526807542032e-05,147992.29748314962,976077.382061023,133834.7622101765,2.546
