design,DLC,k,ksel,nbin,ScaleFactor,eps_UW,eps_DW,eps_Sys
b38,DLC2.4.1-a-s5,0.35,center,3,50.0,0.6346,5.9805,1.8541
b38,DLC2.4.1-a-s6,0.3,center,3,50.0,0.4276,7.3474,1.9281
b38,DLC2.4.1-b-s1,0.63,min_pos,3,50.0,3.6926,-8.9135,0.835
b38,DLC2.4.1-b-s2,0.5,center,3,50.0,2.6574,-4.8351,1.004
b38,DLC2.4.1-b-s3,0.4,center,3,50.0,2.9365,-9.1293,0.2964
b38,DLC2.4.1-b-s4,0.49,center,3,50.0,2.4926,-5.75,0.6651
b38,DLC2.4.1-b-s5,0.52,min_pos,3,50.0,3.7865,-10.5298,0.1728
b38,DLC2.4.1-b-s6,0.38,center,3,50.0,2.3178,-5.7727,0.4273
b38,DLC2.4.2-a-s1,0.25,center,15,25.0,2.327,-16.9447,0.2467
b38,DLC2.4.2-a-s2,0.21,center,15,25.0,2.2067,-2.5619,1.6063
b38,DLC2.4.2-a-s3,0.31,center,15,25.0,2.6482,-7.8001,1.3474
b38,DLC2.4.2-a-s4,0.25,center,15,25.0,1.8759,-1.6869,1.3952
b38,DLC2.4.2-a-s5,0.31,center,15,25.0,2.3521,-11.4401,0.6836
b38,DLC2.4.2-a-s6,0.28,center,15,25.0,2.466,-5.0467,1.5314
b38,DLC2.4.2-b-s1,0.37,center,15,25.0,2.6294,-4.3606,1.3105
b38,DLC2.4.2-b-s2,0.5,center,15,25.0,2.2618,-6.3425,0.4367
b38,DLC2.4.2-b-s3,0.42,center,15,25.0,2.8605,-6.7167,1.1035
b38,DLC2.4.2-b-s4,0.42,center,15,25.0,2.4109,-4.3522,1.1246
b38,DLC2.4.2-b-s5,0.35,center,15,25.0,2.5734,-1.7181,1.7466
b38,DLC2.4.2-b-s6,0.28,center,15,25.0,2.644,-4.0142,1.3415
b38,DLC4.1-a-y1,0.08,center,10,10000.0,1.547,1.1361,1.4752
b38,DLC4.1-a-y2,0.08,center,10,10000.0,1.5539,1.2063,1.4936
b38,DLC4.1-a-y3,0.08,center,10,10000.0,1.4979,1.2046,1.4473
b38,DLC4.1-b-y1,0.18,center,10,500.0,1.9223,-1.4629,1.3877
b38,DLC4.1-b-y2,0.2,center,10,500.0,2.0694,-1.3642,1.5471
b38,DLC4.1-b-y3,0.2,center,10,500.0,1.8749,-1.3187,1.4039
b38,DLC4.1-c-y1,0.23,center,10,500.0,2.4445,-1.1044,1.7591
b38,DLC4.1-c-y2,0.31,center,10,500.0,2.6098,-2.9678,1.5736
b38,DLC4.1-c-y3,0.48,center,10,500.0,2.8523,-8.5994,0.4373
b38,DLC6.4-a-s1,3.0,center,30,24340.0,0.1551,0.2278,0.1683
