design,DLC,k,eps_UW,eps_DW,eps_Sys
1,DLC1.2-a-s1,0.58,16.6319,21.1212,16.7875
1,DLC1.2-a-s1,0.59,17.0528,21.8411,17.2189
1,DLC1.2-a-s1,0.6,17.4752,22.5651,17.6518
1,DLC1.2-a-s1,0.61,17.8991,23.2934,18.0862
1,DLC1.2-a-s1,0.62,18.3245,24.0258,18.5223
1,DLC1.2-a-s1,0.63,18.7513,24.7625,18.9599
1,DLC1.2-a-s1,0.64,19.1796,25.5035,19.3991
1,DLC1.2-a-s1,0.65,19.6094,26.2487,19.8399
1,DLC1.2-a-s1,0.66,20.0407,26.9982,20.2823
1,DLC1.2-a-s1,0.67,20.4735,27.7521,20.7263
1,DLC1.2-a-s1,0.68,20.9078,28.5102,21.1718
1,DLC1.2-a-s1,0.69,21.3436,29.2728,21.619
1,DLC1.2-a-s1,0.7,21.781,30.0397,22.0678
1,DLC1.2-a-s1,0.71,22.2198,30.811,22.5183
1,DLC1.2-a-s1,0.72,22.6601,31.5867,22.9703
1,DLC1.2-a-s1,0.73,23.102,32.3669,23.424
1,DLC1.2-a-s1,0.74,23.5454,33.1516,23.8793
1,DLC1.2-a-s1,0.75,23.9903,33.9407,24.3362
1,DLC1.2-a-s1,0.76,24.4368,34.7343,24.7948
1,DLC1.2-a-s1,0.77,24.8847,35.5325,25.255
1,DLC1.2-a-s1,0.78,25.3343,36.3352,25.7169
1,DLC1.2-a-s1,0.79,25.7854,37.1425,26.1804
1,DLC1.2-a-s1,0.8,26.238,37.9544,26.6456
1,DLC1.2-a-s1,0.81,26.6922,38.7709,27.1124
1,DLC1.2-a-s1,0.82,27.1479,39.5921,27.581
1,DLC1.2-a-s1,0.83,27.6053,40.4179,28.0512
1,DLC1.2-a-s1,0.84,28.0641,41.2483,28.523
1,DLC1.2-a-s1,0.85,28.5246,42.0835,28.9966
1,DLC1.2-a-s1,0.86,28.9866,42.9234,29.4719
1,DLC1.2-a-s1,0.87,29.4503,43.7681,29.9488
1,DLC1.2-a-s1,0.88,29.9155,44.6175,30.4275
1,DLC1.2-a-s1,0.89,30.3823,45.4717,30.9079
1,DLC1.2-a-s1,0.9,30.8507,46.3308,31.3899
1,DLC1.2-a-s1,0.91,31.3207,47.1946,31.8737
1,DLC1.2-a-s1,0.92,31.7923,48.0634,32.3592
1,DLC1.2-a-s1,0.93,32.2655,48.937,32.8465
1,DLC1.2-a-s1,0.94,32.7403,49.8155,33.3355
1,DLC1.2-a-s1,0.95,33.2167,50.6989,33.8262
1,DLC1.2-a-s1,0.96,33.6948,51.5873,34.3186
1,DLC1.2-a-s1,0.97,34.1745,52.4807,34.8128
1,DLC1.2-a-s1,0.98,34.6558,53.3791,35.3088
1,DLC1.2-a-s1,0.99,35.1387,54.2825,35.8065
1,DLC1.2-a-s1,1.0,35.6233,55.1909,36.306
1,DLC1.2-a-s1,1.01,36.1096,56.1044,36.8072
1,DLC1.2-a-s1,1.02,36.5974,57.023,37.3102
1,DLC1.2-a-s1,1.03,37.087,57.9467,37.815
1,DLC1.2-a-s1,1.04,37.5782,58.8755,38.3216
1,DLC1.2-a-s1,1.05,38.071,59.8095,38.83
1,DLC1.2-a-s1,1.06,38.5656,60.7487,39.3401
1,DLC1.2-a-s1,1.07,39.0618,61.6931,39.8521
1,DLC1.2-a-s1,1.08,39.5596,62.6427,40.3659
1,DLC1.2-a-s1,1.09,40.0592,63.5976,40.8814
1,DLC1.2-a-s1,1.1,40.5604,64.5577,41.3988
1,DLC1.2-a-s1,1.11,41.0633,65.5232,41.918
1,DLC1.2-a-s1,1.12,41.568,66.4939,42.4391
1,DLC1.2-a-s1,1.13,42.0743,67.4701,42.9619
1,DLC1.2-a-s1,1.14,42.5823,68.4516,43.4866
1,DLC1.2-a-s1,1.15,43.0921,69.4385,44.0132
1,DLC1.2-a-s1,1.16,43.6035,70.4308,44.5416
1,DLC1.2-a-s1,1.17,44.1167,71.4286,45.0718
1,DLC1.2-a-s1,1.18,44.6315,72.4318,45.6039
1,DLC1.2-a-s1,1.19,45.1482,73.4406,46.1379
1,DLC1.2-a-s1,1.2,45.6665,74.4548,46.6737
1,DLC1.2-a-s1,1.21,46.1866,75.4746,47.2115
1,DLC1.2-a-s1,1.22,46.7084,76.5,47.751
1,DLC1.2-a-s1,1.23,47.232,77.531,48.2925
1,DLC1.2-a-s1,1.24,47.7573,78.5676,48.8359
1,DLC1.2-a-s1,1.25,48.2843,79.6098,49.3811
1,DLC1.2-a-s1,1.26,48.8132,80.6577,49.9283
1,DLC1.2-a-s1,1.27,49.3438,81.7113,50.4774
1,DLC1.2-a-s1,1.28,49.8761,82.7707,51.0284
1,DLC1.2-a-s1,1.29,50.4103,83.8357,51.5813
1,DLC1.2-a-s1,1.3,50.9462,84.9066,52.1361
1,DLC1.2-a-s1,1.31,51.4839,85.9832,52.6928
1,DLC1.2-a-s1,1.32,52.0234,87.0657,53.2515
1,DLC1.2-a-s1,1.33,52.5646,88.154,53.8122
1,DLC1.2-a-s1,1.34,53.1077,89.2482,54.3747
1,DLC1.2-a-s1,1.35,53.6526,90.3482,54.9393
1,DLC1.2-a-s1,1.36,54.1993,91.4543,55.5057
1,DLC1.2-a-s1,1.37,54.7477,92.5662,56.0742
1,DLC1.2-a-s1,1.38,55.298,93.6842,56.6446
1,DLC1.2-a-s1,1.39,55.8502,94.8081,57.217
1,DLC1.2-a-s1,1.4,56.4041,95.9381,57.7913
1,DLC1.2-a-s1,1.41,56.9599,97.0741,58.3677
1,DLC1.2-a-s1,1.42,57.5175,98.2162,58.946
1,DLC1.2-a-s1,1.43,58.077,99.3644,59.5264
1,DLC1.2-a-s1,1.44,58.6383,100.5187,60.1087
1,DLC1.2-a-s1,1.45,59.2015,101.6793,60.693
1,DLC1.2-a-s1,1.46,59.7665,102.8459,61.2794
1,DLC1.2-a-s1,1.47,60.3333,104.0189,61.8678
1,DLC1.2-a-s1,1.48,60.9021,105.198,62.4582
1,DLC1.2-a-s1,1.49,61.4727,106.3834,63.0506
1,DLC1.2-a-s1,1.5,62.0451,107.5751,63.6451
1,DLC1.2-a-s1,1.51,62.6195,108.7732,64.2416
1,DLC1.2-a-s1,1.52,63.1957,109.9775,64.8401
1,DLC1.2-a-s1,1.53,63.7739,111.1883,65.4407
1,DLC1.2-a-s1,1.54,64.3539,112.4055,66.0434
1,DLC1.2-a-s1,1.55,64.9358,113.629,66.6481
1,DLC1.2-a-s1,1.56,65.5196,114.8591,67.2549
1,DLC1.2-a-s1,1.57,66.1054,116.0956,67.8638
1,DLC1.2-a-s1,1.58,66.693,117.3387,68.4747
1,DLC1.2-a-s1,1.59,67.2826,118.5882,69.0878
1,DLC1.2-a-s1,1.6,67.874,119.8444,69.7029
1,DLC1.2-a-s1,1.61,68.4675,121.1071,70.3202
1,DLC1.2-a-s1,1.62,69.0628,122.3765,70.9395
1,DLC1.2-a-s1,1.63,69.6601,123.6525,71.5609
1,DLC1.2-a-s1,1.64,70.2593,124.9352,72.1845
1,DLC1.2-a-s1,1.65,70.8605,126.2246,72.8102
1,DLC1.2-a-s1,1.66,71.4636,127.5207,73.438
1,DLC1.2-a-s1,1.67,72.0687,128.8236,74.068
1,DLC1.2-a-s1,1.68,72.6758,130.1333,74.7001
1,DLC1.2-a-s1,1.69,73.2848,131.4498,75.3343
1,DLC1.2-a-s1,1.7,73.8958,132.7732,75.9707
1,DLC1.2-a-s1,1.71,74.5087,134.1034,76.6093
1,DLC1.2-a-s1,1.72,75.1237,135.4405,77.25
1,DLC1.2-a-s1,1.73,75.7406,136.7846,77.8928
1,DLC1.2-a-s1,1.74,76.3596,138.1356,78.5379
1,DLC1.2-a-s1,1.75,76.9805,139.4936,79.1852
1,DLC1.2-a-s1,1.76,77.6035,140.8587,79.8346
1,DLC1.2-a-s1,1.77,78.2284,142.2308,80.4862
1,DLC1.2-a-s1,1.78,78.8554,143.6099,81.14
1,DLC1.2-a-s1,1.79,79.4843,144.9962,81.7961
1,DLC1.2-a-s1,1.8,80.1153,146.3896,82.4543
1,DLC1.2-a-s1,1.81,80.7484,147.7902,83.1148
1,DLC1.2-a-s1,1.82,81.3834,149.1979,83.7774
1,DLC1.2-a-s1,1.83,82.0205,150.6129,84.4424
1,DLC1.2-a-s1,1.84,82.6597,152.0352,85.1095
1,DLC1.2-a-s1,1.85,83.3009,153.4647,85.7789
1,DLC1.2-a-s1,1.86,83.9442,154.9015,86.4505
1,DLC1.2-a-s1,1.87,84.5895,156.3457,87.1244
1,DLC1.2-a-s1,1.88,85.2368,157.7973,87.8006
1,DLC1.2-a-s1,1.89,85.8863,159.2562,88.479
1,DLC1.2-a-s1,1.9,86.5378,160.7226,89.1597
1,DLC1.2-a-s1,1.91,87.1914,162.1964,89.8427
1,DLC1.2-a-s1,1.92,87.8471,163.6778,90.5279
1,DLC1.2-a-s1,1.93,88.5049,165.1666,91.2155
1,DLC1.2-a-s1,1.94,89.1648,166.663,91.9053
1,DLC1.2-a-s1,1.95,89.8268,168.167,92.5975
1,DLC1.2-a-s1,1.96,90.4909,169.6786,93.292
1,DLC1.2-a-s1,1.97,91.1571,171.1979,93.9887
1,DLC1.2-a-s1,1.98,91.8254,172.7248,94.6878
1,DLC1.2-a-s1,1.99,92.4958,174.2594,95.3893
1,DLC1.2-a-s1,2.0,93.1684,175.8018,96.093
1,DLC1.2-a-s1,2.01,93.8431,177.3519,96.7991
1,DLC1.2-a-s1,2.02,94.5199,178.9098,97.5076
1,DLC1.2-a-s1,2.03,95.1989,180.4756,98.2184
1,DLC1.2-a-s1,2.04,95.88,182.0492,98.9316
1,DLC1.2-a-s1,2.05,96.5633,183.6307,99.6471
1,DLC1.2-a-s1,2.06,97.2488,185.2201,100.365
1,DLC1.2-a-s1,2.07,97.9364,186.8175,101.0853
1,DLC1.2-a-s1,2.08,98.6262,188.4228,101.808
1,DLC1.2-a-s1,2.09,99.3181,190.0362,102.533
1,DLC1.2-a-s1,2.1,100.0123,191.6576,103.2605
1,DLC1.2-a-s1,2.11,100.7086,193.2871,103.9903
1,DLC1.2-a-s1,2.12,101.4071,194.9247,104.7226
1,DLC1.2-a-s1,2.13,102.1078,196.5704,105.4573
1,DLC1.2-a-s1,2.14,102.8107,198.2244,106.1944
1,DLC1.2-a-s1,2.15,103.5158,199.8865,106.934
1,DLC1.2-a-s1,2.16,104.2232,201.5568,107.6759
1,DLC1.2-a-s1,2.17,104.9327,203.2355,108.4204
1,DLC1.2-a-s1,2.18,105.6445,204.9224,109.1672
1,DLC1.2-a-s1,2.19,106.3585,206.6177,109.9166
1,DLC1.2-a-s1,2.2,107.0748,208.3213,110.6684
1,DLC1.2-a-s1,2.21,107.7933,210.0333,111.4226
1,DLC1.2-a-s1,2.22,108.514,211.7538,112.1794
1,DLC1.2-a-s1,2.23,109.237,213.4827,112.9386
1,DLC1.2-a-s1,2.24,109.9622,215.2201,113.7003
1,DLC1.2-a-s1,2.25,110.6897,216.9661,114.4645
1,DLC1.2-a-s1,2.26,111.4195,218.7206,115.2312
1,DLC1.2-a-s1,2.27,112.1515,220.4837,116.0004
1,DLC1.2-a-s1,2.28,112.8858,222.2554,116.7721
1,DLC1.2-a-s1,2.29,113.6224,224.0358,117.5464
1,DLC1.2-a-s1,2.3,114.3613,225.8249,118.3231
1,DLC1.2-a-s1,2.31,115.1025,227.6227,119.1024
1,DLC1.2-a-s1,2.32,115.846,229.4292,119.8843
1,DLC1.2-a-s1,2.33,116.5918,231.2446,120.6687
1,DLC1.2-a-s1,2.34,117.3399,233.0688,121.4556
1,DLC1.2-a-s1,2.35,118.0903,234.9018,122.2451
1,DLC1.2-a-s1,2.36,118.8431,236.7438,123.0372
1,DLC1.2-a-s1,2.37,119.5982,238.5946,123.8318
1,DLC1.2-a-s1,2.38,120.3556,240.4545,124.6291
1,DLC1.2-a-s1,2.39,121.1153,242.3233,125.4289
1,DLC1.2-a-s1,2.4,121.8774,244.2011,126.2313
1,DLC1.2-a-s1,2.41,122.6419,246.088,127.0363
1,DLC1.2-a-s1,2.42,123.4087,247.984,127.8439
1,DLC1.2-a-s1,2.43,124.1778,249.8892,128.6541
1,DLC1.2-a-s1,2.44,124.9494,251.8035,129.467
1,DLC1.2-a-s1,2.45,125.7233,253.727,130.2825
1,DLC1.2-a-s1,2.46,126.4995,255.6597,131.1006
1,DLC1.2-a-s1,2.47,127.2782,257.6017,131.9213
1,DLC1.2-a-s1,2.48,128.0593,259.553,132.7447
1,DLC1.2-a-s1,2.49,128.8427,261.5136,133.5708
1,DLC1.2-a-s1,2.5,129.6286,263.4836,134.3995
1,DLC1.2-a-s1,2.51,130.4168,265.4631,135.2309
1,DLC1.2-a-s1,2.52,131.2075,267.4519,136.0649
1,DLC1.2-a-s1,2.53,132.0006,269.4502,136.9017
1,DLC1.2-a-s1,2.54,132.7961,271.4581,137.7411
1,DLC1.2-a-s1,2.55,133.5941,273.4755,138.5832
1,DLC1.2-a-s1,2.56,134.3944,275.5024,139.4281
1,DLC1.2-a-s1,2.57,135.1973,277.539,140.2756
1,DLC1.2-a-s1,2.58,136.0025,279.5853,141.1258
1,DLC1.2-a-s1,2.59,136.8103,281.6412,141.9788
1,DLC1.2-a-s1,2.6,137.6204,283.7068,142.8345
1,DLC1.2-a-s1,2.61,138.4331,285.7822,143.693
1,DLC1.2-a-s1,2.62,139.2482,287.8674,144.5541
1,DLC1.2-a-s1,2.63,140.0658,289.9625,145.4181
1,DLC1.2-a-s1,2.64,140.8859,292.0673,146.2848
1,DLC1.2-a-s1,2.65,141.7084,294.1821,147.1542
1,DLC1.2-a-s1,2.66,142.5335,296.3069,148.0264
1,DLC1.2-a-s1,2.67,143.361,298.4416,148.9014
1,DLC1.2-a-s1,2.68,144.1911,300.5863,149.7792
1,DLC1.2-a-s1,2.69,145.0237,302.741,150.6598
1,DLC1.2-a-s1,2.7,145.8587,304.9059,151.5432
1,DLC1.2-a-s1,2.71,146.6964,307.0808,152.4294
1,DLC1.2-a-s1,2.72,147.5365,309.2659,153.3184
1,DLC1.2-a-s1,2.73,148.3792,311.4612,154.2102
1,DLC1.2-a-s1,2.74,149.2244,313.6668,155.1048
1,DLC1.2-a-s1,2.75,150.0721,315.8825,156.0023
1,DLC1.2-a-s1,2.76,150.9224,318.1086,156.9027
1,DLC1.2-a-s1,2.77,151.7753,320.3451,157.8058
1,DLC1.2-a-s1,2.78,152.6307,322.5919,158.7119
1,DLC1.2-a-s1,2.79,153.4887,324.8491,159.6207
1,DLC1.2-a-s1,2.8,154.3493,327.1168,160.5325
1,DLC1.2-a-s1,2.81,155.2124,329.3949,161.4471
1,DLC1.2-a-s1,2.82,156.0782,331.6836,162.3647
1,DLC1.2-a-s1,2.83,156.9465,333.9828,163.2851
1,DLC1.2-a-s1,2.84,157.8174,336.2926,164.2084
1,DLC1.2-a-s1,2.85,158.691,338.6131,165.1346
1,DLC1.2-a-s1,2.86,159.5671,340.9442,166.0637
1,DLC1.2-a-s1,2.87,160.4459,343.2861,166.9958
1,DLC1.2-a-s1,2.88,161.3273,345.6387,167.9308
1,DLC1.2-a-s1,2.89,162.2113,348.0021,168.8687
1,DLC1.2-a-s1,2.9,163.0979,350.3763,169.8095
1,DLC1.2-a-s1,2.91,163.9872,352.7614,170.7533
1,DLC1.2-a-s1,2.92,164.8791,355.1573,171.7001
1,DLC1.2-a-s1,2.93,165.7737,357.5642,172.6498
1,DLC1.2-a-s1,2.94,166.671,359.9821,173.6025
1,DLC1.2-a-s1,2.95,167.5709,362.411,174.5582
1,DLC1.2-a-s1,2.96,168.4735,364.851,175.5168
1,DLC1.2-a-s1,2.97,169.3787,367.302,176.4785
1,DLC1.2-a-s1,2.98,170.2866,369.7642,177.4431
1,DLC1.2-a-s1,2.99,171.1973,372.2375,178.4108
1,DLC1.2-a-s1,3.0,172.1106,374.7221,179.3814
1,DLC1.2-a-s2,0.0,-3.7523,-10.4736,-3.9836
1,DLC1.2-a-s2,0.01,-3.458,-10.0176,-3.6838
1,DLC1.2-a-s2,0.02,-3.1628,-9.5594,-3.383
1,DLC1.2-a-s2,0.03,-2.8668,-9.099,-3.0813
1,DLC1.2-a-s2,0.04,-2.5699,-8.6363,-2.7788
1,DLC1.2-a-s2,0.05,-2.2722,-8.1715,-2.4753
1,DLC1.2-a-s2,0.06,-1.9736,-7.7044,-2.1709
1,DLC1.2-a-s2,0.07,-1.6741,-7.235,-1.8657
1,DLC1.2-a-s2,0.08,-1.3738,-6.7633,-1.5595
1,DLC1.2-a-s2,0.09,-1.0726,-6.2894,-1.2523
1,DLC1.2-a-s2,0.1,-0.7705,-5.8133,-0.9443
1,DLC1.2-a-s2,0.11,-0.4676,-5.3348,-0.6353
1,DLC1.2-a-s2,0.12,-0.1638,-4.854,-0.3255
1,DLC1.2-a-s2,0.13,0.1409,-4.3709,-0.0147
1,DLC1.2-a-s2,0.14,0.4464,-3.8855,0.2971
1,DLC1.2-a-s2,0.15,0.7528,-3.3978,0.6097
1,DLC1.2-a-s2,0.16,1.0602,-2.9078,0.9233
1,DLC1.2-a-s2,0.17,1.3683,-2.4154,1.2379
1,DLC1.2-a-s2,0.18,1.6774,-1.9206,1.5533
1,DLC1.2-a-s2,0.19,1.9874,-1.4235,1.8697
1,DLC1.2-a-s2,0.2,2.2982,-0.924,2.1871
1,DLC1.2-a-s2,0.21,2.61,-0.4221,2.5054
1,DLC1.2-a-s2,0.22,2.9226,0.0821,2.8246
1,DLC1.2-a-s2,0.23,3.2362,0.5888,3.1448
1,DLC1.2-a-s2,0.24,3.5506,1.0978,3.4659
1,DLC1.2-a-s2,0.25,3.8659,1.6093,3.788
1,DLC1.2-a-s2,0.26,4.1822,2.1232,4.1111
1,DLC1.2-a-s2,0.27,4.4993,2.6396,4.4351
1,DLC1.2-a-s2,0.28,4.8174,3.1584,4.7601
1,DLC1.2-a-s2,0.29,5.1363,3.6797,5.086
1,DLC1.2-a-s2,0.3,5.4562,4.2034,5.4129
1,DLC1.2-a-s2,0.31,5.7769,4.7296,5.7408
1,DLC1.2-a-s2,0.32,6.0986,5.2583,6.0696
1,DLC1.2-a-s2,0.33,6.4212,5.7895,6.3994
1,DLC1.2-a-s2,0.34,6.7447,6.3232,6.7302
1,DLC1.2-a-s2,0.35,7.0692,6.8594,7.0619
1,DLC1.2-a-s2,0.36,7.3946,7.3981,7.3947
1,DLC1.2-a-s2,0.37,7.7208,7.9394,7.7284
1,DLC1.2-a-s2,0.38,8.0481,8.4832,8.0631
1,DLC1.2-a-s2,0.39,8.3762,9.0296,8.3988
1,DLC1.2-a-s2,0.4,8.7053,9.5785,8.7355
1,DLC1.2-a-s2,0.41,9.0353,10.1301,9.0732
1,DLC1.2-a-s2,0.42,9.3662,10.6842,9.4118
1,DLC1.2-a-s2,0.43,9.6981,11.2409,9.7515
1,DLC1.2-a-s2,0.44,10.031,11.8002,10.0922
1,DLC1.2-a-s2,0.45,10.3647,12.3621,10.4338
1,DLC1.2-a-s2,0.46,10.6994,12.9266,10.7765
1,DLC1.2-a-s2,0.47,11.0351,13.4938,11.1202
1,DLC1.2-a-s2,0.48,11.3717,14.0636,11.4649
1,DLC1.2-a-s2,0.49,11.7092,14.6361,11.8106
1,DLC1.2-a-s2,0.5,12.0477,15.2113,12.1573
1,DLC1.2-a-s2,0.51,12.3872,15.7891,12.505
1,DLC1.2-a-s2,0.52,12.7276,16.3696,12.8538
1,DLC1.2-a-s2,0.53,13.069,16.9528,13.2035
1,DLC1.2-a-s2,0.54,13.4113,17.5387,13.5543
1,DLC1.2-a-s2,0.55,13.7546,18.1274,13.9061
1,DLC1.2-a-s2,0.56,14.0989,18.7187,14.259
1,DLC1.2-a-s2,0.57,14.4442,19.3128,14.6129
1,DLC1.2-a-s2,0.58,14.7904,19.9097,14.9678
1,DLC1.2-a-s2,0.59,15.1375,20.5093,15.3237
1,DLC1.2-a-s2,0.6,15.4857,21.1117,15.6807
1,DLC1.2-a-s2,0.61,15.8348,21.7169,16.0388
1,DLC1.2-a-s2,0.62,16.1849,22.3248,16.3978
1,DLC1.2-a-s2,0.63,16.536,22.9356,16.758
1,DLC1.2-a-s2,0.64,16.8881,23.5491,17.1191
1,DLC1.2-a-s2,0.65,17.2412,24.1655,17.4814
1,DLC1.2-a-s2,0.66,17.5952,24.7848,17.8446
1,DLC1.2-a-s2,0.67,17.9503,25.4068,18.209
1,DLC1.2-a-s2,0.68,18.3063,26.0318,18.5744
1,DLC1.2-a-s2,0.69,18.6633,26.6596,18.9408
1,DLC1.2-a-s2,0.7,19.0213,27.2902,19.3083
1,DLC1.2-a-s2,0.71,19.3804,27.9238,19.6769
1,DLC1.2-a-s2,0.72,19.7404,28.5603,20.0466
1,DLC1.2-a-s2,0.73,20.1014,29.1996,20.4173
1,DLC1.2-a-s2,0.74,20.4634,29.8419,20.7891
1,DLC1.2-a-s2,0.75,20.8265,30.4871,21.162
1,DLC1.2-a-s2,0.76,21.1905,31.1353,21.5359
1,DLC1.2-a-s2,0.77,21.5556,31.7864,21.911
1,DLC1.2-a-s2,0.78,21.9217,32.4405,22.2871
1,DLC1.2-a-s2,0.79,22.2888,33.0975,22.6643
1,DLC1.2-a-s2,0.8,22.6569,33.7576,23.0426
1,DLC1.2-a-s2,0.81,23.026,34.4206,23.422
1,DLC1.2-a-s2,0.82,23.3962,35.0867,23.8025
1,DLC1.2-a-s2,0.83,23.7674,35.7557,24.1841
1,DLC1.2-a-s2,0.84,24.1396,36.4279,24.5668
1,DLC1.2-a-s2,0.85,24.5128,37.103,24.9506
1,DLC1.2-a-s2,0.86,24.8871,37.7812,25.3355
1,DLC1.2-a-s2,0.87,25.2624,38.4625,25.7215
1,DLC1.2-a-s2,0.88,25.6388,39.1468,26.1086
1,DLC1.2-a-s2,0.89,26.0162,39.8342,26.4969
1,DLC1.2-a-s2,0.9,26.3946,40.5247,26.8862
1,DLC1.2-a-s2,0.91,26.7741,41.2184,27.2767
1,DLC1.2-a-s2,0.92,27.1546,41.9151,27.6683
1,DLC1.2-a-s2,0.93,27.5362,42.615,28.061
1,DLC1.2-a-s2,0.94,27.9188,43.3181,28.4548
1,DLC1.2-a-s2,0.95,28.3025,44.0243,28.8498
1,DLC1.2-a-s2,0.96,28.6873,44.7336,29.2459
1,DLC1.2-a-s2,0.97,29.073,45.4462,29.6432
1,DLC1.2-a-s2,0.98,29.4599,46.1619,30.0415
1,DLC1.2-a-s2,0.99,29.8478,46.8808,30.4411
1,DLC1.2-a-s2,1.0,30.2368,47.603,30.8417
1,DLC1.2-a-s2,1.01,30.6269,48.3284,31.2435
1,DLC1.2-a-s2,1.02,31.018,49.057,31.6465
1,DLC1.2-a-s2,1.03,31.4102,49.7889,32.0506
1,DLC1.2-a-s2,1.04,31.8035,50.524,32.4559
1,DLC1.2-a-s2,1.05,32.1978,51.2624,32.8623
1,DLC1.2-a-s2,1.06,32.5932,52.0041,33.2699
1,DLC1.2-a-s2,1.07,32.9898,52.7491,33.6786
1,DLC1.2-a-s2,1.08,33.3874,53.4974,34.0885
1,DLC1.2-a-s2,1.09,33.786,54.249,34.4996
1,DLC1.2-a-s2,1.1,34.1858,55.0039,34.9118
1,DLC1.2-a-s2,1.11,34.5867,55.7622,35.3253
1,DLC1.2-a-s2,1.12,34.9886,56.5239,35.7398
1,DLC1.2-a-s2,1.13,35.3917,57.2889,36.1556
1,DLC1.2-a-s2,1.14,35.7958,58.0573,36.5726
1,DLC1.2-a-s2,1.15,36.2011,58.8291,36.9907
1,DLC1.2-a-s2,1.16,36.6075,59.6043,37.41
1,DLC1.2-a-s2,1.17,37.0149,60.3829,37.8306
1,DLC1.2-a-s2,1.18,37.4235,61.165,38.2523
1,DLC1.2-a-s2,1.19,37.8332,61.9505,38.6752
1,DLC1.2-a-s2,1.2,38.244,62.7394,39.0993
