gen,n_front,hv,f1_min,f2_min,budget,masta,cache_hit,geom_out,edge,t_s
104,7,3305.6599,17.0034,106.0317,23296,22942,355,0,0,7000.8
105,7,3305.6599,17.0034,106.0317,23520,23161,360,0,0,7068.3
106,7,3305.6599,17.0034,106.0317,23744,23383,362,0,0,7136.9
107,7,3305.6599,17.0034,106.0317,23968,23604,365,0,0,7204.6
108,7,3305.6599,17.0034,106.0317,24192,23824,369,0,0,7271.4
109,7,3305.6599,17.0034,106.0317,24416,24041,376,0,0,7337.9
110,7,3305.6599,17.0034,106.0317,24640,24260,381,0,0,7405.3
111,7,3305.6599,17.0034,106.0317,24864,24478,387,0,0,7472.7
112,7,3305.6599,17.0034,106.0317,25088,24694,395,0,0,7538.6
113,7,3305.6599,17.0034,106.0317,25312,24914,399,0,0,7605.7
114,7,3305.6599,17.0034,106.0317,25536,25131,406,0,0,7672.2
115,7,3305.6599,17.0034,106.0317,25760,25354,407,0,0,7740.8
116,8,3305.6599,17.0034,106.0317,25984,25569,416,0,0,7806.3
117,8,3305.6882,17.0034,106.0317,26208,25786,423,0,0,7872.6
118,8,3305.6882,17.0034,106.0317,26432,26000,433,0,0,7938.3
119,8,3305.6882,17.0034,106.0317,26656,26217,440,0,0,8005.3
120,8,3305.6882,17.0034,106.0317,26880,26434,447,0,0,8071.7
121,8,3305.6882,17.0034,106.0317,27104,26653,452,0,0,8138.8
122,8,3305.6882,17.0034,106.0317,27328,26867,462,0,0,8204.2
123,8,3305.6882,17.0034,106.0317,27552,27085,468,0,0,8271.4
124,8,3305.6882,17.0034,106.0317,27776,27301,476,0,0,8337.6
125,8,3305.6882,17.0034,106.0317,28000,27517,484,0,0,8404.0
126,8,3305.6882,17.0034,106.0317,28224,27738,487,0,0,8472.0
127,8,3305.6882,17.0034,106.0317,28448,27952,497,0,0,8537.4
128,8,3305.6882,17.0034,106.0317,28672,28171,502,0,0,8604.9
129,8,3305.6882,17.0034,106.0317,28896,28390,507,0,0,8672.0
130,8,3305.6882,17.0034,106.0317,29120,28604,517,0,0,8738.1
131,8,3305.6882,17.0034,106.0317,29344,28819,526,0,0,8804.3
132,9,3305.6882,17.0034,106.0317,29568,29032,537,0,0,8869.4
133,9,3305.6882,17.0034,106.0317,29792,29254,539,0,0,8939.4
134,9,3305.6882,17.0034,106.0317,30016,29473,544,0,0,9006.8
135,9,3305.6882,17.0034,106.0317,30240,29692,549,0,0,9073.8
136,6,3308.8804,17.0034,105.8356,30464,29915,550,0,0,9142.9
137,7,3309.3415,17.0034,105.8356,30688,30132,557,0,0,9210.3
138,7,3309.3415,17.0034,105.8356,30912,30350,563,0,0,9277.0
139,7,3309.3415,17.0034,105.8356,31136,30566,571,0,0,9343.3
140,7,3309.3415,17.0034,105.8356,31360,30779,582,0,0,9409.0
141,8,3309.5686,17.0034,105.8356,31584,30993,592,0,0,9475.0
142,8,3309.5686,17.0034,105.8356,31808,31208,601,0,0,9542.3
143,8,3309.5686,17.0034,105.8356,32032,31420,613,0,0,9607.3
144,8,3309.5686,17.0034,105.8356,32256,31640,617,0,0,9675.1
145,8,3309.5686,17.0034,105.8356,32480,31858,623,0,0,9742.0
146,9,3309.5686,17.0034,105.8356,32704,32074,631,0,0,9808.3
147,10,3309.5686,17.0034,105.8356,32928,32289,640,0,0,9874.5
148,10,3309.5686,17.0034,105.8356,33152,32507,646,0,0,9941.4
149,11,3309.5688,17.0034,105.8356,33376,32720,657,0,0,10007.0
150,12,3309.754,17.0021,105.8356,33600,32935,666,0,0,10073.6
