DLC,dt,k,ksel,nbin,D30_ref_UW,D30_ref_DW,D30_scr_UW,D30_scr_DW,eps_UW,eps_DW,eps_Sys,life_ref_UW,life_scr_UW,t_s
DLC1.2-e-s6,20,0.3,center,30,0.15643562620172535,0.041705937090840674,0.16124835421491945,0.03906683621008937,3.0764910334350803,-6.32787815078466,1.3512864242513523,191.77217318333032,186.04841051595835,3.1193408999824896
DLC1.2-f-s1,20,0.35,center,30,0.0749887505229293,0.019730921733498046,0.07670157263873659,0.017378345289943625,2.2841054209638445,-11.923297225189177,-0.2839796503536385,400.06000621155704,391.1262698784497,3.106537999934517
DLC1.2-f-s2,20,0.35,center,30,0.06566878843031346,0.01517337133036799,0.06791967286958094,0.013585733525594008,3.427632050279228,-10.463316096380526,1.2029178041012,456.8380309290381,441.698240473064,3.061015499930363
DLC1.2-f-s3,20,0.37,center,30,0.08883705924665207,0.027712543616769846,0.09125853627719974,0.026177119757214623,2.725750999731491,-5.540537457651784,0.9771875662688334,337.69690548520254,328.73637057769986,3.107344300020486
DLC1.2-f-s4,20,0.36,center,30,0.07865803262222029,0.021597247765731874,0.08151132415743201,0.019974625016629066,3.627463642417217,-7.513099662992273,1.5297539177639763,381.39779244269107,368.0470205840064,3.1755236000171863
DLC1.2-f-s5,20,0.35,center,30,0.08048463336101871,0.022347850599441416,0.08335318667422585,0.0209066228096797,3.5641006157536514,-6.449066693678973,1.658168676092453,372.7419601383183,359.91425399548024,3.123729999992065
DLC1.2-f-s6,20,0.38,cons,30,0.07808256884925016,0.022615147473833343,0.08070347687788776,0.0197432801568275,3.356585301000581,-12.698866192797153,0.1917344488361561,384.20867092525344,371.73119623325437,3.108609599992633
DLC1.2-g-s1,20,0.4,center,30,0.03615475779944058,0.01016525044715906,0.03682958067590242,0.00898858364289196,1.866484295663784,-11.575384299517676,-0.7162853104447531,829.7663108799526,814.5626273618964,2.9812514000805095
DLC1.2-g-s2,20,0.4,center,30,0.04046975404314603,0.011991012054632266,0.04126344667465171,0.011168984709152688,1.96119954339109,-6.8553625143093715,0.18054316553670624,741.2943495533996,727.0357281721963,2.8375471000326797
DLC1.2-g-s3,20,0.43,cons,30,0.034536730251860284,0.009143630293169133,0.03572048550675606,0.007943437736878545,3.427525553991928,-13.125996106679938,0.4219470716851026,868.640423723496,839.8542061900557,2.9465181999839842
DLC1.2-g-s4,20,0.41,cons,30,0.04191813177234695,0.011147032231396957,0.04280648842080156,0.00987817263601634,2.1192658424740385,-11.38293645376499,-0.3462353937455198,715.6807503475324,700.8283348330361,3.030928300053347
DLC1.2-g-s5,20,0.42,cons,30,0.03839692922399448,0.00971879789842548,0.0391941299028433,0.008201561492284886,2.0762094650804697,-15.611358750307968,-1.0020965203203502,781.3124800941846,765.4207421970012,3.074533800012432
DLC1.2-g-s6,20,0.41,center,30,0.04266592344963929,0.011873042444776818,0.04345656528422954,0.010353984948176667,1.853099079230014,-12.794172207043808,-0.9331671922331863,703.1372480525469,690.3444808346842,2.975290500035044
DLC1.2-h-s1,20,0.47,cons,30,0.022687715813021724,0.008414257331065593,0.02312392705086821,0.007566283809496389,1.922675872007007,-10.077817782425901,-1.0215302876531385,1322.3014713002246,1297.3574918311126,3.158368800068274
DLC1.2-h-s2,20,0.5,cons,30,0.018502781881611103,0.005254837380694279,0.019305450031708745,0.004553890320978435,4.338094429440198,-13.339081858004775,0.9176985569534502,1621.3778118313846,1553.9653284811134,3.0259293999988586
DLC1.2-h-s3,20,0.47,cons,30,0.018218866685567645,0.005715872048499287,0.01870927189622659,0.004953935737071613,2.6917437792517873,-13.33018487752401,-0.7005985608394383,1646.6446853011423,1603.4830305743005,3.1721086999750696
DLC1.2-h-s4,20,0.47,cons,30,0.01902923300896281,0.00589061749309573,0.019218889113718586,0.00500072658529569,0.9966565897135737,-15.106920604555674,-2.371970258528422,1576.5217644804673,1560.9643108136659,3.001410399971064
DLC1.2-h-s5,20,0.47,cons,30,0.018538266774670988,0.005617750712340861,0.019187835533397552,0.004792092408541051,3.503934680744125,-14.697311185169449,-0.22838015584925042,1618.2742628879032,1563.4905744206137,3.098802699998487
DLC1.2-h-s6,20,0.49,cons,30,0.01709656843709921,0.004670869334834269,0.017448394971307544,0.004014274849491784,2.057878079468134,-14.057222291485527,-0.954102638118437,1754.7380990737652,1719.3558518896748,3.1255359000642784
DLC1.2-i-s1,20,0.59,cons,30,0.007420796505717121,0.0024954432387937994,0.007733238269036535,0.0021499564221503635,4.210353471877348,-13.844707476112772,0.1509327859256615,4042.692718616854,3879.3580329883753,3.0102057000040077
DLC1.2-i-s2,20,0.48,cons,30,0.007805125970617884,0.003072573827510237,0.00791625426502801,0.0026926598826624787,1.4237860455867501,-12.364680758724333,-2.1298904339398628,3843.627907215581,3789.671098935306,3.015304400003515
DLC1.2-i-s3,20,0.48,cons,30,0.00810918292834983,0.002801979139171518,0.008140656241691007,0.0024535613258048665,0.3881194149800926,-12.434704045286749,-2.571091044530782,3699.5095887058524,3685.2065864616698,3.0170053000329062
DLC1.2-i-s4,20,0.56,cons,30,0.0063393624065108895,0.0026141362365741604,0.006593746261966747,0.002340367410041589,4.0127672018654525,-10.472630412382289,0.13361214288321044,4732.337114721234,4549.765612462583,3.0137388000730425
DLC1.2-i-s5,20,0.55,cons,30,0.007972027730817195,0.00416772874313534,0.008206961875042263,0.003909926952873523,2.9469810211132597,-6.185666250147426,-0.012077610323235621,3763.158008599246,3655.433089220426,3.121874399948865
DLC1.2-i-s6,20,0.57,cons,30,0.006872727184712363,0.002856077911080094,0.007055153987292963,0.0025838013820515602,2.6543582725993886,-9.53323184820144,-0.6337299474742042,4365.079420980328,4252.2105192931285,3.2006973000243306
DLC1.2-j-s1,20,0.57,cons,30,0.0026634882697725536,0.0016805928834724177,0.002725069585841996,0.0015491438538885593,2.3120550883710678,-7.821586707677842,-1.455552897798995,11263.424862975584,11008.893187852505,3.2463702999521047
DLC1.2-j-s2,20,0.59,cons,30,0.002779167191814867,0.0015918158825367482,0.002801978036855492,0.0015999904047650864,0.8207798763531393,0.5135344054559399,0.7138085334174704,10794.600658915104,10706.72203900191,3.175129699986428
DLC1.2-j-s3,20,0.59,cons,30,0.0028031146109781845,0.0014797573673799684,0.0028769677532935706,0.0014009120167711951,2.6346815084244524,-5.328262075043789,0.03420750252403071,10702.38080259269,10427.645553432365,3.2086037000408396
DLC1.2-j-s4,20,0.57,cons,30,0.0026577727984885137,0.0013878705465751224,0.0026727402652023087,0.0012989157343832876,0.5631582474734831,-6.40944592500724,-1.6960371456609002,11287.64656522225,11224.435232478228,3.1309258000110276
DLC1.2-j-s5,20,0.59,cons,30,0.002817885591636277,0.001816816489395464,0.0028329822008810552,0.0017932620847461137,0.5357424477979711,-1.2964658118656769,-0.1581827004011105,10646.280349011522,10589.547647235491,3.155590099922847
DLC1.2-j-s6,20,0.62,cons,30,0.0028165319046716524,0.0010695202150316774,0.002829090444735224,0.0009790930571481852,0.44588666092302276,-8.454927416291413,-1.7852116599354595,10651.397184686733,10604.114851056915,3.1789453999954276
DLC1.2-k-s1,20,0.63,center,30,0.0011151803160194152,0.0009408600401186806,0.001089056808783377,0.0010087978218298965,-2.3425366158976724,7.220816998737267,1.9971952601474996,26901.47913216727,27546.772361226995,3.4236479999381118
DLC1.2-k-s2,20,0.65,center,30,0.0007652873593390042,0.0006631786152405966,0.0007206965886491542,0.0007510867242654166,-5.826670223373876,13.255570521212846,3.0022671744989404,39200.96109507371,41626.39378692057,3.2891759000485763
DLC1.2-k-s3,20,0.64,center,30,0.0011049417650229431,0.0009892536013143354,0.0010627436221571998,0.00108449704923039,-3.8190377268314313,9.627809066301385,2.5140653938841018,27150.752147899013,28228.821490459562,3.419005499978084
DLC1.2-k-s4,20,0.61,center,30,0.0017092169272022164,0.0013681826332043803,0.0016613576050520666,0.0014450852561972369,-2.8000730269205687,5.620786372119424,0.8967901292587399,17551.897317742114,18057.521095261007,3.5321442999411374
DLC1.2-k-s5,20,0.51,center,30,0.0011502175601712618,0.0013417506762583666,0.0010916659522267442,0.0014270125833764327,-5.090481137829228,6.354526860074272,1.1467295430619862,26082.022252845058,27480.934015398198,3.3188346999231726
DLC1.2-k-s6,20,0.59,center,30,0.0010122721682982389,0.0010044204051254245,0.0010074853314645696,0.001045646141631676,-0.4728804153251165,4.104430405424053,1.8089661791153455,29636.29835880394,29777.10847302298,3.3845155999879353
DLC2.4.1-a-s1,20,0.42,center,3,6.200964464045622e-05,1.2765414340402157e-05,6.446817960923538e-05,1.2206690388689632e-05,3.9647622285762463,-4.376857161182612,2.764425860800457,483795.70910212013,465345.8525095744,0.39928309997776523
DLC2.4.1-a-s2,20,0.5,center,3,7.503651823156762e-05,1.789668329725321e-05,7.903440946286886e-05,1.6358576694206584e-05,5.3279274219034,-8.594366774555906,3.030270666547419,399805.33088459715,379581.5038523732,0.4427540000178851
DLC2.4.1-a-s3,20,0.43,center,3,8.336489985103049e-05,1.8988040467298873e-05,8.51992063782282e-05,1.7997876773150407e-05,2.2003343499188865,-5.2146702333699,1.024638588901139,359863.68427969946,352115.95594939956,0.3898322000168264
DLC2.4.1-a-s4,20,0.51,center,3,8.248975278455114e-05,1.708337179258359e-05,8.332052668792371e-05,1.602102602785688e-05,1.0071237642600428,-6.218595354740842,-0.0391578201492937,363681.53603702475,360055.3332117634,0.441488099982962
DLC2.4.1-a-s5,20,0.52,center,3,7.752681804163773e-05,1.7721784453954382e-05,8.034428855734129e-05,1.620741193711614e-05,3.6341882549473015,-8.54525976643582,1.7014209426557514,386962.8698534712,373393.06301267655,0.4474769000080414
DLC2.4.1-a-s6,20,0.38,center,3,6.085451909977861e-05,1.2498692696035373e-05,6.320054227858088e-05,1.1813676449594154e-05,3.855133872565264,-5.480703167128098,2.515460125061275,492979.00047178485,474679.4713843336,0.44286700000520796
DLC2.4.1-b-s1,20,0.75,cons,3,7.311346847993481e-05,1.608552583195047e-05,6.961419490810975e-05,1.3916489534235761e-05,-4.786086126915712,-13.484397839244899,-6.119175386578702,410321.1162555251,430946.5912749517,0.3518536000046879
DLC2.4.1-b-s2,20,0.85,cons,3,5.117770991375782e-05,1.389106786874661e-05,5.1012860462781714e-05,1.3724605982632886e-05,-0.3221118163628356,-1.1983375769709204,-0.48623341263761555,586192.7008956543,588086.9986086664,0.3921204000362195
DLC2.4.1-b-s3,20,0.57,cons,3,7.609450288744648e-05,1.595268676633211e-05,7.504232565266651e-05,1.3501064885959864e-05,-1.3827243688499746,-15.368081353834096,-3.4233867203262713,394246.6125887417,399774.3905066993,0.3895203999709338
DLC2.4.1-b-s4,20,0.71,cons,3,6.078624389462268e-05,1.265101452080475e-05,6.16096993056186e-05,1.0785353758032805e-05,1.3546739496249183,-14.747123716472244,-0.9760326623884708,493532.7152637882,486936.3158418158,0.3835362999816425
DLC2.4.1-b-s5,20,0.66,cons,3,0.00010573737534595523,3.347183113347075e-05,0.00010335351992309848,2.7156200235814202e-05,-2.2545059540745704,-18.86849534007453,-5.79743264277639,283721.8145603194,290265.87601778714,0.34179279999807477
DLC2.4.1-b-s6,20,0.6,cons,3,7.506836631378155e-05,1.7604078998338584e-05,7.561158107771956e-05,1.580041708591059e-05,0.7236267293568188,-10.245704490409402,-1.0605115115471575,399635.71172711666,396764.6169065507,0.34799979999661446
DLC2.4.2-a-s1,20,0.31,cons,15,9.10336914459261e-05,2.682921778828021e-05,9.329455729701946e-05,2.3549310261116753e-05,2.4835484700038934,-12.225132887013269,-0.46365503846769185,329548.319127759,321562.16685277555,1.6626217999728397
DLC2.4.2-a-s2,20,0.23,center,15,5.6351561893994505e-05,1.1493518576562558e-05,5.720488973795644e-05,1.1021983546714384e-05,1.514293154051649,-4.10261685059371,0.7121024867837722,532372.1116450041,524430.6935547588,1.867256700003054
DLC2.4.2-a-s3,20,0.29,center,15,6.040813012196485e-05,1.3430362885445167e-05,6.205280492659416e-05,1.2357460074885328e-05,2.722605055492844,-7.988636045885045,1.0657728296212587,496621.89409653284,483459.2092249291,1.787423099973239
DLC2.4.2-a-s4,20,0.26,center,15,4.5926323662744074e-05,7.6188696949052025e-06,4.759574463204046e-05,7.079735968254055e-06,3.6349980493880274,-7.0762954117940975,2.3889808550934255,653220.149304838,630308.4494617746,1.7002958999946713
DLC2.4.2-a-s5,20,0.28,center,15,6.233468527545294e-05,1.4208689218088077e-05,6.462945300552074e-05,1.290759402389e-05,3.6813657114451948,-9.157038867045841,1.6502298600912235,481272.98417296796,464184.64964321075,1.6540892999619246
DLC2.4.2-a-s6,20,0.27,center,15,5.487611195676081e-05,9.709670607730154e-06,5.662771924223238e-05,8.821695783405767e-06,3.1919303737329985,-9.14526208147003,1.663707734847919,546685.9609813148,529775.8836387375,1.7139678000239655
DLC2.4.2-b-s1,20,0.46,center,15,3.152634931356256e-05,1.4704843017281008e-05,3.379472744823178e-05,1.4358354714631546e-05,7.1951817576714205,-2.356286988186629,4.362670739771057,951584.9647423043,887712.4411183754,1.7198570999898948
DLC2.4.2-b-s2,20,0.57,center,15,4.496612774801317e-05,1.8640274509360363e-05,4.733344302345142e-05,1.8720538000021916e-05,5.264663412212212,0.43059178458584313,3.9584750388523826,667168.855813375,633801.3481321537,1.6549633999820799
DLC2.4.2-b-s3,20,0.5,cons,15,4.334433484403356e-05,8.454691556704623e-06,4.6127132556654896e-05,7.1672901317806415e-06,6.420210905611334,-15.227065544491259,3.485391953874095,692131.9731390356,650376.4343719608,1.654024300049059
DLC2.4.2-b-s4,20,0.54,cons,15,3.648023203496827e-05,9.15050042717685e-06,3.9124081558003156e-05,7.569263817700127e-06,7.247348428323086,-17.280329333469822,3.0286869490916413,822363.1903230052,766791.1630212633,1.627134100010153
DLC2.4.2-b-s5,20,0.58,center,15,4.72389102230934e-05,1.9470886175571558e-05,5.109599670164199e-05,2.035334875288659e-05,8.165062361373,4.53221578801164,7.1874778792407,635069.6884902752,587130.1459324687,1.7086326000280678
DLC2.4.2-b-s6,20,0.48,cons,15,3.205111098714968e-05,1.464052379605663e-05,3.4924484826780156e-05,1.3592411233173251e-05,8.964974227515853,-7.158982680426263,4.275661388213181,936004.9956467332,858996.2070677689,1.703677700017579
DLC4.1-a-y1,20,0.12,center,10,0.014175594745973793,0.0018009586275459727,0.014443467248174772,0.0018155636556072621,1.8896738161696014,0.8109585549552767,1.7933055147230093,2116.313321423125,2077.063594532062,1.3363905000151135
DLC4.1-a-y2,20,0.12,center,10,0.013797401701641909,0.0017387710587529694,0.014065487432222586,0.001754490315306011,1.94301605749998,0.9040440645656567,1.8509634495210037,2174.322430318888,2132.880225058755,1.2700285000028089
DLC4.1-a-y3,20,0.11,center,10,0.01367033415229141,0.0017141661076942897,0.013921733622029456,0.0017283142823976126,1.8390148107382265,0.8253677773593093,1.7496640845770184,2194.533042557078,2154.9040381385144,1.2651062000077218
DLC4.1-b-y1,20,0.19,center,10,0.000656776166057542,9.078585160836008e-05,0.00066825009764345,9.011201613655475e-05,1.747007912114551,-0.7422252034515076,1.5048374704716538,45677.66242201246,44893.3716669754,1.2635005000047386
DLC4.1-b-y2,20,0.17,center,10,0.0005647183730343391,7.084264858575788e-05,0.0005752529939308754,7.049801334494237e-05,1.8654645217105026,-0.4864798926854319,1.6582102906427698,53123.82495863257,52150.967168377596,1.2533983000321314
DLC4.1-b-y3,20,0.16,center,10,0.0005482416739919047,6.640749720936234e-05,0.0005599045710225361,6.65108021418182e-05,2.1273277067229257,0.15556215306560262,1.95968341718058,54720.393255699455,53580.55917495359,1.2136821000021882
DLC4.1-c-y1,20,0.21,center,10,0.0005306584484238894,8.822501012990469e-05,0.0005463964402433055,8.585695046484032e-05,2.9657479054860048,-2.684113792197451,2.3052131443149326,56533.53883105623,54905.18932854187,1.2076863999827765
DLC4.1-c-y2,20,0.31,center,10,0.0003843471220020858,6.357260878208558e-05,0.0004001546332067049,5.958020471452107e-05,4.11282153545911,-6.280069583505199,2.907133682497398,78054.44163007729,74971.01747789366,1.1129011999582872
DLC4.1-c-y3,20,0.55,cons,10,0.0006326935904949815,0.0001516227870653129,0.0006680840515248752,0.00013326370961557008,5.593617757721603,-12.108389382022422,2.665189041162175,47416.31723585156,44904.52949973315,1.2102516000159085
DLC6.4-a-s1,20,3.0,center,30,0.010979690373358815,0.0015562277727117137,0.01101607258711689,0.0015641242344593593,0.3313591961240814,0.5074104116447042,0.3489536877560706,2732.3174861826865,2723.2936023936963,3.7088273999397643
DLC6.4-a-s2,20,3.0,center,30,0.016968331228602952,0.002405704402561082,0.017091025479692663,0.0024263617721796463,0.723077888077106,0.8586827873188652,0.7366336732658185,1767.9994335229617,1755.3071953257347,3.7704619000433013
DLC6.4-a-s3,20,3.0,center,30,0.0184758464937276,0.00261973824493237,0.018602844154382098,0.0026448143150467063,0.6873712698230783,0.9571975430310076,0.7143497276657085,1623.7415703894678,1612.6566320200657,3.8566512999823317
DLC6.4-a-s4,20,3.0,center,30,0.011706272769990414,0.0016605920147954366,0.011799700377203976,0.00167771246822191,0.7980986693994385,1.030984930310086,0.8213935709450837,2562.72859768879,2542.4374383232193,3.614490600011777
DLC6.4-a-s5,20,3.0,center,30,0.01199142661017657,0.0016996534849141858,0.012035485763975949,0.001708308693550655,0.36742211941644953,0.5092337181249684,0.38159465826193006,2501.787399886214,2492.6289298429974,3.6515216000261717
DLC6.4-a-s6,20,3.0,center,30,0.011714391239418562,0.0016605805146116994,0.011798556254060554,0.0016756445098625313,0.7184753601090055,0.9071523553529248,0.7373343054938308,2560.9525400731823,2542.6839821758103,3.6683263999875635
DLC6.4-b-s1,20,0.36,center,30,0.0007184363909783557,0.00012027213868356255,0.0007471242745920928,0.00011167419953957539,3.993100011912021,-7.148737220519907,2.6855359929006895,41757.35023548356,40153.96235971464,3.521211299987044
DLC6.4-b-s2,20,0.37,center,30,0.0007838546773348455,0.00013221588921970845,0.0008161783608342281,0.00012247436962943377,4.1236831818475705,-7.367888721821325,2.765218204079667,38272.40031532613,36756.67162914801,3.434654099983163
DLC6.4-b-s3,20,0.28,center,30,0.000664089336580527,0.00010459749477878931,0.0006866638818830181,9.952765827257096e-05,3.3993235637135966,-4.8469961129952726,2.487152111097557,45174.64495736896,43689.49757155114,3.6538331000483595
DLC6.4-b-s4,20,0.5,cons,30,0.0009965206449389996,0.00020539830593844767,0.0010458331920224371,0.00017482380513808273,4.948472200137521,-14.88546882637255,2.109480855274537,30104.745097214116,28685.26284003844,3.385436400072649
DLC6.4-b-s5,20,0.61,cons,30,0.0014054192588830042,0.0003802846542702525,0.0014791699176633375,0.0002927546894638619,5.247591301612631,-23.016959486402698,0.04650519824782595,21345.943433166933,20281.645564690338,3.291740699962247
DLC6.4-b-s6,20,0.3,center,30,0.000648646945609839,0.00010126880649527309,0.0006690507989964451,9.587622937645471e-05,3.1456023226044794,-5.325013007900015,2.2169807411343667,46250.12143053394,44839.644530727775,3.6572983999503776
