n,life_UW_ref,life_Sys_ref,life_UW_scr,life_Sys_scr,bias_Sys_life_pct,vs_final_scr_Sys_pct
20,7.31691636766977,6.660663976202194,7.145962382109424,6.547742446203976,1.724587228743002,69.02507199523154
21,7.017110464234858,6.38238454225213,6.852715678455864,6.273679756654948,1.7327117387825108,61.950348727964496
22,6.740962113287965,6.125242384036797,6.582319242703942,6.020658875350761,1.737077466956527,55.41880399630954
23,6.488762857780231,5.8736150575579575,6.336335757421221,5.776878927160091,1.6745396886034714,49.125807038585556
24,6.256608177107777,5.643314703471092,6.108597934196741,5.552143096172647,1.6420975778036917,43.32441971697776
25,6.043049511511856,5.449946465878104,5.899455054005231,5.361308113139674,1.6532971220436288,38.398157419495796
26,5.848737226492958,5.275694418827501,5.709491018457527,5.189714219827652,1.656742459370042,33.968589456293245
27,5.671461076919856,5.099633331170637,5.5363044840353925,5.017384256851808,1.6392819466938047,29.520020405472614
28,5.50855144011374,4.942433909415198,5.376319553400653,4.8630987107470025,1.63137134133986,25.537254474704053
29,5.35682660108154,4.7944903373898615,5.2285437382904165,4.720151206858696,1.5749311255780496,21.847171620228423
30,5.232210382920029,4.676937773530445,5.105823817198582,4.6043488490143005,1.5765296439622212,18.857820399913685
31,5.152380399916592,4.598456973238219,5.027734716150333,4.527514386121153,1.5669212964741996,16.87439623060194
32,5.082130541854061,4.531079914295539,4.958468593977811,4.461097231996894,1.568732503669712,15.159887092558577
33,5.015301583068849,4.46723694722428,4.892554253543714,4.398240106509391,1.568737473262849,13.537277430033123
34,4.950677480377962,4.405009792907621,4.82899722323713,4.337740826703754,1.5507834352331606,11.975533789561155
35,4.890162514966916,4.347847899652027,4.770103666011023,4.282427751949827,1.5276415970453705,10.547668151996215
36,4.838370812050928,4.3000224180782,4.719139495128162,4.235458467093065,1.5243674678138808,9.335191207506544
37,4.805304938748047,4.268537965303184,4.6870988632736115,4.205172831182408,1.506837808208683,8.553390177261711
38,4.773255802772498,4.238296437121055,4.6559600749426435,4.175906943309354,1.494034581198278,7.797913179595839
39,4.742717054279559,4.208926549641172,4.626332891023973,4.147335544780487,1.485074072152126,7.060363904708611
40,4.714101551019035,4.182201730107826,4.598538543495124,4.121628595367744,1.46964078248486,6.396758240471501
41,4.687470903849521,4.156881396434313,4.5727236518521135,4.097196403893487,1.4567276414698682,5.766059498597231
42,4.662311529450045,4.133234863172141,4.5479615311081405,4.0741121363202675,1.4511806468162858,5.170156403663717
43,4.645930412588445,4.116764954471958,4.532074083955183,4.05825800641386,1.4416764031668583,4.7608939027530495
44,4.632279318230567,4.103572072794528,4.518953839347399,4.045727919965111,1.4297588462131916,4.4374390965344235
45,4.619057354350295,4.0908540470169825,4.505930357388834,4.033380589812612,1.4249450535249508,4.118702007358777
46,4.605935748000916,4.078393885777784,4.492902585288134,4.021146955845991,1.4236467992935875,3.802899900150014
47,4.592907420795112,4.067179783253361,4.480420020621772,4.010164903580861,1.4217589810730402,3.519406438087369
48,4.580132276461569,4.054815282207447,4.467935804295983,3.998216704534045,1.4155955481157,3.2109726197608213
49,4.568208560049112,4.043580991748254,4.45635547311955,3.987390683031207,1.4091999802319455,2.931506975078979
50,4.556435508938023,4.033454683054933,4.445070375133637,3.9774689001125862,1.4075731161785399,2.675383572865253
51,4.5466465511393395,4.025123547077503,4.43557790893688,3.9692197523771133,1.4084328454454953,2.4624379963794185
52,4.537159062845328,4.0170536935167105,4.426372740772712,3.9612248778934616,1.4093826365378703,2.2560562936330797
53,4.527797919055378,4.00909364900599,4.417299198557245,3.953346736898865,1.4101194713534104,2.0526879785625507
54,4.5196182000744,4.0020538490588935,4.409484953076871,3.946473572893982,1.4083529292242103,1.8752623925220036
55,4.511655943065073,3.9952004298155863,4.401851327612263,3.9397584747815593,1.4072424842515474,1.7019171592247861
56,4.503727180137724,3.98837466980622,4.394243350466183,3.9330647644994614,1.4062800543229281,1.5291240367642844
57,4.496315823336602,3.9819942698123345,4.387164323937087,3.926836962399997,1.404624330994042,1.3683579854293804
58,4.49085771757104,3.9766018181298777,4.38194770332645,3.921723012284749,1.399354459078861,1.2363451896434174
59,4.485504829402567,3.970723572708282,4.3767011360871315,3.9160019493331273,1.397384988137551,1.0886602302498716
60,4.4802763573124205,3.9654054400443433,4.3716523033248595,3.9109327229287074,1.3928318632605796,0.9578019435950713
61,4.475316629556078,3.9605395248574964,4.366731429471681,3.9061859575154965,1.3914741370011807,0.8352677461515468
62,4.4707329911449625,3.9558172526673436,4.362251693229633,3.9016163693011676,1.389190485067715,0.7173072455268992
63,4.466513387116109,3.951479756958724,4.358073233510735,3.89738495147415,1.3879769680978926,0.6080763604195738
64,4.464640303275603,3.9492836044211885,4.356280428967276,3.895255451127059,1.387024650167601,0.5531049023272505
65,4.462769688456735,3.9473996444470965,4.354491558644625,3.893454669153395,1.3855298154898277,0.5066190630861556
66,4.4609095404908325,3.9453547790274412,4.352673920928701,3.891463720690397,1.3848531607917325,0.4552242182122468
67,4.459066814268532,3.9432779527910613,4.350905118939197,3.889432857754643,1.3843945121475354,0.40279901108954963
68,4.457302217031109,3.941225630430961,4.34918624526363,3.887462478482854,1.3829883181043279,0.3519351444960961
69,4.455542797946129,3.9392989396354676,4.347501697739104,3.8856193948380264,1.3814926101293867,0.3043573192655247
70,4.454412047056008,3.9378649557363383,4.3464552516911565,3.884221497008187,1.3810607548892406,0.26827163274505406
71,4.45348270668358,3.9369931779675706,4.34552398477375,3.883371983068307,1.3807895595130848,0.2463420660235638
72,4.452722408189456,3.9358559117885643,4.3448369414174985,3.8822650077362235,1.3804030365147657,0.2177663261040852
73,4.451985517270697,3.9349019505848615,4.344151756569576,3.8813256743803195,1.3803602351172506,0.19351813836401277
74,4.45125563231205,3.933933736197513,4.34348333508531,3.8803697969553523,1.3803823358327527,0.16884287785994267
