DLC,scale_factor,hours_30y,n_bins,rev_30y_total,file
DLC1.2-d-s3,38180.0,6361.528,30,2201820.746,DLC1.2-d-s3_30y.csv
DLC1.2-d-s4,38180.0,6361.528,30,2195756.617,DLC1.2-d-s4_30y.csv
DLC1.2-d-s5,38180.0,6361.528,30,2231423.991,DLC1.2-d-s5_30y.csv
DLC1.2-d-s6,38180.0,6361.528,30,2196936.761,DLC1.2-d-s6_30y.csv
DLC1.2-e-s1,28490.0,4748.072,30,1749253.521,DLC1.2-e-s1_30y.csv
DLC1.2-e-s2,28490.0,4748.072,30,1732417.071,DLC1.2-e-s2_30y.csv
DLC1.2-e-s3,28490.0,4748.072,30,1729178.613,DLC1.2-e-s3_30y.csv
DLC1.2-e-s4,28490.0,4748.072,30,1754406.508,DLC1.2-e-s4_30y.csv
DLC1.2-e-s5,28490.0,4748.072,30,1748415.346,DLC1.2-e-s5_30y.csv
DLC1.2-e-s6,28490.0,4748.072,30,1748300.246,DLC1.2-e-s6_30y.csv
DLC1.2-f-s1,18970.0,3160.389,30,1169273.239,DLC1.2-f-s1_30y.csv
DLC1.2-f-s2,18970.0,3160.389,30,1171495.954,DLC1.2-f-s2_30y.csv
DLC1.2-f-s3,18970.0,3160.389,30,1172050.258,DLC1.2-f-s3_30y.csv
DLC1.2-f-s4,18970.0,3160.389,30,1171649.991,DLC1.2-f-s4_30y.csv
DLC1.2-f-s5,18970.0,3160.389,30,1172313.561,DLC1.2-f-s5_30y.csv
DLC1.2-f-s6,18970.0,3160.389,30,1172662.799,DLC1.2-f-s6_30y.csv
DLC1.2-g-s1,11340.0,1890.208,30,701251.312,DLC1.2-g-s1_30y.csv
DLC1.2-g-s2,11340.0,1890.208,30,701305.97,DLC1.2-g-s2_30y.csv
DLC1.2-g-s3,11340.0,1890.208,30,700911.112,DLC1.2-g-s3_30y.csv
DLC1.2-g-s4,11340.0,1890.208,30,701135.87,DLC1.2-g-s4_30y.csv
DLC1.2-g-s5,11340.0,1890.208,30,701324.795,DLC1.2-g-s5_30y.csv
DLC1.2-g-s6,11340.0,1890.208,30,701776.467,DLC1.2-g-s6_30y.csv
DLC1.2-h-s1,6126.0,1020.794,30,379097.831,DLC1.2-h-s1_30y.csv
DLC1.2-h-s2,6126.0,1020.794,30,378825.469,DLC1.2-h-s2_30y.csv
DLC1.2-h-s3,6126.0,1020.794,30,379206.016,DLC1.2-h-s3_30y.csv
DLC1.2-h-s4,6126.0,1020.794,30,378921.035,DLC1.2-h-s4_30y.csv
DLC1.2-h-s5,6126.0,1020.794,30,378979.905,DLC1.2-h-s5_30y.csv
DLC1.2-h-s6,6126.0,1020.794,30,379000.06,DLC1.2-h-s6_30y.csv
DLC1.2-i-s1,2997.0,499.423,30,185401.343,DLC1.2-i-s1_30y.csv
DLC1.2-i-s2,2997.0,499.423,30,185469.555,DLC1.2-i-s2_30y.csv
DLC1.2-i-s3,2997.0,499.423,30,185477.677,DLC1.2-i-s3_30y.csv
DLC1.2-i-s4,2997.0,499.423,30,185345.599,DLC1.2-i-s4_30y.csv
DLC1.2-i-s5,2997.0,499.423,30,185436.498,DLC1.2-i-s5_30y.csv
DLC1.2-i-s6,2997.0,499.423,30,185480.254,DLC1.2-i-s6_30y.csv
DLC1.2-j-s1,1332.0,221.886,30,82465.039,DLC1.2-j-s1_30y.csv
DLC1.2-j-s2,1332.0,221.886,30,82388.689,DLC1.2-j-s2_30y.csv
DLC1.2-j-s3,1332.0,221.886,30,82369.561,DLC1.2-j-s3_30y.csv
DLC1.2-j-s4,1332.0,221.886,30,82432.725,DLC1.2-j-s4_30y.csv
DLC1.2-j-s5,1332.0,221.886,30,82351.286,DLC1.2-j-s5_30y.csv
DLC1.2-j-s6,1332.0,221.886,30,82338.952,DLC1.2-j-s6_30y.csv
DLC1.2-k-s1,538.2,89.677,30,33311.372,DLC1.2-k-s1_30y.csv
DLC1.2-k-s2,538.2,89.677,30,33322.545,DLC1.2-k-s2_30y.csv
DLC1.2-k-s3,538.2,89.677,30,33322.314,DLC1.2-k-s3_30y.csv
DLC1.2-k-s4,538.2,89.677,30,33306.093,DLC1.2-k-s4_30y.csv
DLC1.2-k-s5,538.2,89.677,30,33317.529,DLC1.2-k-s5_30y.csv
DLC1.2-k-s6,538.2,89.677,30,33322.605,DLC1.2-k-s6_30y.csv
DLC2.4.1-a-s1,50.0,0.83,3,188.24,DLC2.4.1-a-s1_30y.csv
DLC2.4.1-a-s2,50.0,0.83,3,181.415,DLC2.4.1-a-s2_30y.csv
DLC2.4.1-a-s3,50.0,0.83,3,190.374,DLC2.4.1-a-s3_30y.csv
DLC2.4.1-a-s4,50.0,0.83,3,174.781,DLC2.4.1-a-s4_30y.csv
DLC2.4.1-a-s5,50.0,0.83,3,186.215,DLC2.4.1-a-s5_30y.csv
DLC2.4.1-a-s6,50.0,0.83,3,190.593,DLC2.4.1-a-s6_30y.csv
DLC2.4.1-b-s1,50.0,0.83,3,133.654,DLC2.4.1-b-s1_30y.csv
DLC2.4.1-b-s2,50.0,0.83,3,138.64,DLC2.4.1-b-s2_30y.csv
DLC2.4.1-b-s3,50.0,0.83,3,140.664,DLC2.4.1-b-s3_30y.csv
DLC2.4.1-b-s4,50.0,0.83,3,132.17,DLC2.4.1-b-s4_30y.csv
DLC2.4.1-b-s5,50.0,0.83,3,131.769,DLC2.4.1-b-s5_30y.csv
DLC2.4.1-b-s6,50.0,0.83,3,136.215,DLC2.4.1-b-s6_30y.csv
DLC2.4.2-a-s1,25.0,2.08,15,526.841,DLC2.4.2-a-s1_30y.csv
DLC2.4.2-a-s2,25.0,2.08,15,379.194,DLC2.4.2-a-s2_30y.csv
DLC2.4.2-a-s3,25.0,2.08,15,410.98,DLC2.4.2-a-s3_30y.csv
DLC2.4.2-a-s4,25.0,2.08,15,414.858,DLC2.4.2-a-s4_30y.csv
DLC2.4.2-a-s5,25.0,2.08,15,492.361,DLC2.4.2-a-s5_30y.csv
DLC2.4.2-a-s6,25.0,2.08,15,481.099,DLC2.4.2-a-s6_30y.csv
DLC2.4.2-b-s1,25.0,2.08,15,418.818,DLC2.4.2-b-s1_30y.csv
DLC2.4.2-b-s2,25.0,2.08,15,359.379,DLC2.4.2-b-s2_30y.csv
DLC2.4.2-b-s3,25.0,2.08,15,296.258,DLC2.4.2-b-s3_30y.csv
DLC2.4.2-b-s4,25.0,2.08,15,323.784,DLC2.4.2-b-s4_30y.csv
DLC2.4.2-b-s5,25.0,2.08,15,456.733,DLC2.4.2-b-s5_30y.csv
DLC2.4.2-b-s6,25.0,2.08,15,392.548,DLC2.4.2-b-s6_30y.csv
DLC4.1-a-y1,10000.0,555.0,10,28506.5,DLC4.1-a-y1_30y.csv
DLC4.1-a-y2,10000.0,555.0,10,28431.2,DLC4.1-a-y2_30y.csv
DLC4.1-a-y3,10000.0,555.0,10,28590.6,DLC4.1-a-y3_30y.csv
DLC4.1-b-y1,500.0,27.8,10,3570.33,DLC4.1-b-y1_30y.csv
DLC4.1-b-y2,500.0,27.8,10,3574.93,DLC4.1-b-y2_30y.csv
DLC4.1-b-y3,500.0,27.8,10,3615.545,DLC4.1-b-y3_30y.csv
DLC4.1-c-y1,500.0,27.8,10,3624.775,DLC4.1-c-y1_30y.csv
DLC4.1-c-y2,500.0,27.8,10,3672.11,DLC4.1-c-y2_30y.csv
DLC4.1-c-y3,500.0,27.8,10,3773.845,DLC4.1-c-y3_30y.csv
