idx,dmg_UW,dmg_DW
224,1.6616336383039506e-09,2.2982586089888751e-10
225,1.685477966345531e-09,2.342110135892154e-10
226,1.709999014178007e-09,2.387016607063887e-10
227,1.7346568447668548e-09,2.4320976713015894e-10
228,1.7589616853125864e-09,2.476404807266414e-10
229,1.7834877923994128e-09,2.5206412732211857e-10
230,1.8090447830776427e-09,2.5660811039676686e-10
231,1.8344412760974926e-09,2.6108903073646723e-10
232,1.8586965559623784e-09,2.6535236215610545e-10
233,1.8816126833747766e-09,2.693532186915165e-10
234,1.9043677522107417e-09,2.7328826395204154e-10
235,1.9275252292930934e-09,2.7726025554471144e-10
236,1.950247238566642e-09,2.8112992496969827e-10
237,1.9719943079948256e-09,2.848107978376878e-10
238,1.992714158598985e-09,2.882534888686797e-10
239,2.012238701903699e-09,2.913781930919125e-10
240,2.028979602683552e-09,2.9389260906062464e-10
241,2.0412516527475928e-09,2.9552987607721624e-10
242,2.0487893590375265e-09,2.9626407645381276e-10
243,2.0524873670383264e-09,2.9625096654463204e-10
244,2.0525705292508276e-09,2.955335479506381e-10
245,2.0477840587563518e-09,2.9392104077436026e-10
246,2.0372250457711385e-09,2.9128632558258894e-10
247,2.0214013714316525e-09,2.877368898907786e-10
248,2.001166391059911e-09,2.83447794373239e-10
249,1.9776810762632806e-09,2.786402960450123e-10
250,1.951354493788956e-09,2.7340364076201645e-10
251,1.9221995836640797e-09,2.677456982499685e-10
252,1.8929402907139525e-09,2.621218519081941e-10
253,1.865414557216786e-09,2.5684920856342607e-10
254,1.8396876792155845e-09,2.519575491175497e-10
255,1.8152292217049336e-09,2.473582644005729e-10
256,1.7919340012034939e-09,2.430057426023727e-10
257,1.7697107173996022e-09,2.3885718434671825e-10
258,1.7477476509639046e-09,2.347817317621839e-10
259,1.7251545055983042e-09,2.3066025290540046e-10
260,1.7021854164802377e-09,2.2655060578363538e-10
261,1.6800251496274496e-09,2.226415486603114e-10
262,1.6593563034250123e-09,2.1903172824435503e-10
263,1.639755849534534e-09,2.156447987794356e-10
264,1.6205502293760793e-09,2.1236760245635685e-10
265,1.6016407774383786e-09,2.0917941916181594e-10
266,1.583116949406519e-09,2.0608776035184756e-10
267,1.5645271594089205e-09,2.0301834301776817e-10
268,1.5454862183991505e-09,1.9990754530728572e-10
269,1.5266301174047329e-09,1.96845748037671e-10
270,1.509533160220089e-09,1.940688251431614e-10
271,1.4951799861904488e-09,1.917362054489536e-10
272,1.4835899584351729e-09,1.8986848380748764e-10
273,1.4746046422663033e-09,1.8844364671499005e-10
274,1.4685101511770002e-09,1.8748950336120852e-10
275,1.4655946275877546e-09,1.8702886011294555e-10
